Name         , RA_deg, DEC_deg, 2MASS           , RAJ2000   , DEJ2000   , errHalfMaj, errHalfMin, errPosAng, Jmag  , Hmag  , Kmag  , e_Jmag, e_Hmag, e_Kmag, Qfl, Rfl, X, MeasureJD   , angDist
SDSS 92278782,  53.88, -58.18 , 03353201-5810421,  53.883391, -58.178368,       0.1 ,       0.09,       5.0, 15.79 , 15.278, 15.437,  0.088,  0.109,  0.212, AAC, 222, 0, 2451484.7115,  8.714072
SDSS 96041179,  96.65, -65.1  , 06263634-6505446,  96.651421, -65.095749,       0.26,       0.25,       8.0, 15.969, 15.491, 15.203,  0.108,  0.14 ,  0.197, ABC, 222, 0, 2451159.8297, 15.448687
SDSS 98320880,  90.49, -64.07 , 06015797-6404064,  90.491551, -64.068466,       0.07,       0.06,       0.0, 15.061, 14.422, 14.258,  0.054,  0.068,  0.081, AAA, 222, 0, 2451159.6811,  6.038437
SDSS 98332219, 102.15, -61.9  , 06483772-6154077, 102.157201, -61.902153,       0.06,       0.06,      17.0, 13.985, 13.412, 13.051,  0.03 ,  0.033,  0.037, AAA, 222, 0, 2451160.7161, 14.457113
SDSS 98357416,  94.57, -60.84 , 06181734-6050215,  94.572269, -60.839317,       0.22,       0.22,      45.0, 15.899, 15.539, 15.278,  0.073,  0.125,  0.199, ABC, 222, 0, 2451159.7872,  4.679084
