Name,Teff,logg,Vmic,Fe/H,Tphot
SDSS J135751.2+125137.0,5102,2.20,2.00,-2.86,5190
SDSS J135759.7+125426.4,4936,1.80,2.05,-2.63,5005
SDSS J135756.2+125207.7,5013,2.00,2.00,-2.92,5052
SDSS J135801.4+125105.2,5192,2.60,1.65,-2.87,5217
