Name,Species,N,l_logepsX,logepsX,e_logepsX,logepsX_mgtriplets
BooI-007,Fe I,22,,5.17,0.26,
BooI-007,Mg I,4,,5.68,0.18,5.57
BooI-007,Ca I,5,,4.24,0.22,
BooI-007,Ba I,1,,-0.90,,
BooI-033,Fe I,25,,4.98,0.36,
BooI-033,Mg I,4,,5.53,0.30,5.77
BooI-033,Ca I,5,,4.22,0.28,
BooI-033,Ba I,2,,-0.74,0.24,
BooI-094,Fe I,25,,4.55,0.22,
BooI-094,Mg I,4,,5.14,0.04,5.12
BooI-094,Ca I,4,,3.61,0.03,
BooI-094,Ba I,,,,,
BooI-117,Fe I,21,,5.21,0.30,
BooI-117,Mg I,3,,5.66,0.23,5.53
BooI-117,Ca I,4,,4.34,0.28,
BooI-117,Ba I,2,,-0.57,0.11,
BooI-121,Fe I,26,,5.06,0.22,
BooI-121,Mg I,4,,5.53,0.30,5.78
BooI-121,Ca I,5,,4.28,0.29,
BooI-121,Ba I,1,,-0.69,,
BooI-127,Fe I,29,,5.47,0.34,
BooI-127,Mg I,3,,6.28,0.11,6.33
BooI-127,Ca I,5,,4.33,0.18,
BooI-127,Ba I,2,,-0.49,0.43,
BooI-911,Fe I,29,,5.24,0.29,
BooI-911,Mg I,4,,5.63,0.24,5.45
BooI-911,Ca I,4,,4.48,0.05,
BooI-911,Ba I,2,,-0.64,0.09,
