Name,Teff,Teff(V-J),e_Teff(V-J),Teff(V-H),e_Teff(V-H),Teff(V-K),e_Teff(V-K),D_Tavg
BD+10 2495,4710,4946,119,4916,69,4964,74,-232
BD+30 2611,4330,4258,209,4141,78,4244,40,+116
HD 128279,5050,5274,157,5282,94,5305,82,-237
HD 175305,4770,5063,152,5028,85,5042,66,-274
HD 237846,4600,4968,123,4984,85,4985,65,-379
