Name,Simbad_Identifier,System,RA_hms,DEC_dms,Dates,Slit,t_exp,gmag,(g-r)_0,SNR5300,SNR6000,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,Fe/H,e_Fe/H
BooI-980,SDSS J135912.68+134255.7,Bootes I,13:59:12.68,+13:42:55.8,2010-03-07/08/18/24,1.0,7.0,18.51,0.61,25,37,4720,100,1.35,0.3,2.2,0.3,-3.06,
BooI-127,2MASS J14001456+1435527,Bootes I,14:00:14.57,+14:35:52.7,2011-03-10/12,1.0,3.7,18.15,0.76,30,43,4765,100,1.35,0.3,2.3,0.3,-1.99,
