Name,Species,N,l_logepsX,logepsX,e_logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
BooI-980,C-H,2,,4.97,0.20,,-3.46,,-0.40
BooI-980,Na I,2,,3.51,0.10,,-2.73,,0.33
BooI-980,Mg I,7,,4.83,0.13,,-2.77,,0.29
BooI-980,Al I,2,,2.62,0.20,,-3.83,,-0.77
BooI-980,Si I,2,,4.88,0.10,,-2.62,,0.44
BooI-980,Ca I,8,,3.57,0.11,,-2.77,,0.30
BooI-980,Sc II,6,,0.08,0.10,,-3.07,,-0.01
BooI-980,Ti I,8,,2.28,0.15,,-2.67,,0.40
BooI-980,Ti II,31,,2.32,0.19,,-2.63,,0.43
BooI-980,Cr I,6,,2.13,0.17,,-3.51,,-0.45
BooI-980,Mn I,3,,1.93,0.10,,-3.50,,-0.44
BooI-980,Fe I,125,,4.44,0.20,,-3.06,,0.00
BooI-980,Fe II,11,,4.46,0.18,,-3.04,,0.02
BooI-980,Co I,4,,2.45,0.10,,-2.54,,0.53
BooI-980,Ni I,5,,3.23,0.21,,-2.99,,0.07
BooI-980,Zn I,1,,1.90,0.15,,-2.66,,0.40
BooI-980,Sr II,2,,-1.14,0.20,,-4.01,,-0.95
BooI-980,Ba II,2,,-2.11,0.20,,-4.29,,-1.23
BooI-980,Eu II,1,<,-2.44,,<,-2.96,<,0.10
BooI-127,C-H,2,,6.29,0.20,,-2.14,,-0.15
BooI-127,Na I,2,,4.23,0.10,,-2.01,,-0.02
BooI-127,Mg I,6,,6.02,0.11,,-1.58,,0.41
BooI-127,Al I,1,,3.57,0.20,,-2.88,,-0.89
BooI-127,Si I,1,,6.28,0.20,,-1.23,,0.76
BooI-127,Ca I,21,,4.60,0.13,,-1.74,,0.24
BooI-127,Sc II,9,,1.07,0.10,,-2.08,,-0.09
BooI-127,Ti I,22,,3.11,0.12,,-1.84,,0.15
BooI-127,Ti II,46,,3.30,0.22,,-1.65,,0.33
BooI-127,Cr I,20,,3.57,0.18,,-2.07,,-0.09
BooI-127,Cr II,2,,3.64,0.11,,-2.00,,-0.01
BooI-127,Mn I,7,,2.94,0.14,,-2.49,,-0.50
BooI-127,Fe I,204,,5.51,0.21,,-1.99,,0.00
BooI-127,Fe II,26,,5.53,0.17,,-1.97,,0.01
BooI-127,Co I,4,,2.88,0.16,,-2.11,,-0.12
BooI-127,Ni I,16,,4.17,0.44,,-2.05,,-0.07
BooI-127,Zn I,1,<,2.52,,<,-2.04,<,-0.05
BooI-127,Sr II,1,,-0.32,0.99,,-3.19,,-1.20
BooI-127,Ba II,3,,-0.53,0.10,,-2.71,,-0.72
BooI-127,Eu II,1,<,-1.37,,<,-1.89,<,0.10
