Name,Instrument,t_exp,Date,UT at Mid-exposure,HJD,RV_helo
BD+44 493,McDonald-Smith/Tull,7200,2008 Aug 14,10:56,2454692.956,-149.7
BD+44 493,McDonald-Smith/Tull,3600,2008 Nov 04,09:01,2454774.881,-150.0
BPS CS 22877-001,Magellan-Baade/MIKE,1000,2003 Jan 14,06:58,2452653.790,+169.8
BPS CS 22877-001,Magellan-Baade/MIKE,1600,2003 Jan 15,07:52,2452654.828,+167.0
BPS CS 22877-001,Magellan-Baade/MIKE,1200,2003 Jan 20,08:31,2452659.856,+166.6
BPS CS 22877-001,Magellan-Clay/MIKE,1800,2006 Aug 02,23:07,2453950.461,+166.7
BPS CS 22878-101,Magellan-Clay/MIKE,2400,2006 Aug 05,23:59,2453953.501,-128.8
BPS CS 22891-200,Magellan-Clay/MIKE,4100,2006 Aug 06,01:05,2453953.549,+137.2
BPS CS 22893-010,Magellan-Clay/MIKE,3600,2012 Aug 27,02:48,2456166.622,-51.6
BPS CS 22943-201,Magellan-Clay/MIKE,2200,2005 Aug 21,01:26,2453603.564,+37.2
BPS CS 22943-201,Magellan-Clay/MIKE,5100,2006 Jun 12,05:54,2453898.750,+37.6
BPS CS 22943-201,Magellan-Clay/MIKE,1500,2007 Aug 03,06:22,2454315.771,+35.4
BPS CS 22943-201,Magellan-Clay/MIKE,1800,2007 Aug 04,04:04,2454316.675,+36.4
BPS CS 22948-066,Magellan-Clay/MIKE,1500,2007 Aug 22,02:48,2454334.622,-171.2
BPS CS 22948-066,Magellan-Clay/MIKE,900,2009 May 15,10:32,2454966.940,-170.8
BPS CS 22949-037,Magellan-Clay/MIKE,5000,2006 Aug 06,08:32,2453953.860,-125.4
BPS CS 22949-037,Magellan-Clay/MIKE,1350,2009 Jul 25,08:04,2455037.840,-125.3
BPS CS 22957-027,Magellan-Clay/MIKE,1000,2008 Sep 11,06:13,2454720.765,-74.8
BPS CS 22958-042,Magellan-Baade/MIKE,4800,2003 Jan 16,01:30,2452655.561,+165.2
BPS CS 22958-042,Magellan-Baade/MIKE,2400,2003 Jan 17,01:10,2452656.547,+165.7
BPS CS 22958-042,Magellan-Baade/MIKE,2400,2003 Jan 19,01:14,2452658.550,+165.6
BPS CS 22960-064,Magellan-Clay/MIKE,3000,2006 Jul 22,06:58,2453938.795,-86.4
BPS CS 29498-043,Magellan-Clay/MIKE,6000,2013 Apr 22,08:54,2456404.870,-32.3
BPS CS 29498-043,Magellan-Clay/MIKE,3300,2013 Apr 23,09:20,2456405.888,-32.3
BPS CS 29502-092,Magellan-Clay/MIKE,1800,2009 Oct 26,01:32,2455130.567,-66.6
BPS CS 30314-067,Magellan-Clay/MIKE,1800,2013 Apr 21,09:34,2456403.898,+145.6
BPS CS 30492-001,Magellan-Clay/MIKE,1650,2008 Sep 10,01:18,2454719.558,-116.2
HE 1012-1540,Magellan-Clay/MIKE,1800,2013 Apr 21,23:40,2456404.489,+225.4
HE 1012-1540,Magellan-Clay/MIKE,5400,2013 Apr 23,01:45,2456405.576,+225.8
