Name,C12/C13,e_C12/C13
BD+44 493,>15,
CS 22877-001,35,15
CS 22878-101,,
CS 22891-200,>6,
CS 22893-010,>5,
CS 22943-201,>12,
CS 22948-066,,
CS 22949-037,>4,
CS 22957-027,6,2
CS 22958-042,7,2
CS 22960-064,15,5
CS 29498-043,8,3
CS 29502-092,12,6
CS 30314-067,5,1
CS 30492-001,,
HE 1012-1540,>30,
