Name,[Fe/H],[Ca/H],logepsBa_EW,e_logepsBa_EW,logepsBa_SYN,l_logepsBa_1sig,logepsBa_1sig,l_logepsBa_2sig,logepsBa_2sig,l_logepsBa_3sig,logepsBa_3sig
12175,-3.17,-2.89,-1.67,0.16,-1.97,<,-2.70,<,-2.45,<,-2.23
12729,-2.35,,,,,<,-1.65,<,-1.17,<,-0.70
40789,-2.88,-3.06,,,,<,-2.12,<,-1.75,<,-1.49
40993,-2.38,-2.68,,,,<,-2.12,<,-1.75,<,-1.51
41460,-3.10,-2.78,,,,<,-2.08,<,-1.70,<,-1.42
41743,-2.42,-2.51,,,,<,-2.14,<,-1.76,<,-1.50
42096,-2.60,-2.40,,,,<,-2.26,<,-1.87,<,-1.63
42149,-2.95,-3.08,-2.03,0.42,-1.95,<,-2.49,<,-2.20,<,-1.99
42241,-2.03,-2.28,-1.69,0.15,-2.64,<,-2.68,<,-2.52,<,-2.37
42324,-2.70,-2.60,,,,<,-1.88,<,-1.48,<,-1.18
42795,-3.17,-3.11,,,,<,-2.24,<,-1.89,<,-1.64
