Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,logg,M/H,Vmic,Reference
BD +17 3248,BD+17  3248,,,17:28:14.4690,+17:30:35.848,262.06028757481,17.509957659659996,5200,1.80,-2.08,1.90,Cowan+2002
HD 108317,HD 108317,,,12:26:36.8320,+05:18:09.024,186.65346649466997,5.3025066065,5100,2.67,-2.37,1.50,Roederer+2012d
HD 128279,HD 128279,,,14:36:48.5109,-29:06:46.613,219.2021285524996,-29.112948016248332,5080,2.57,-2.49,1.60,Roederer+2012d
