## Tellurium abundances are derived from the 2385 Å line.
Name,Ion,l_logepsX,logepsX,e_logepsX,Reference
BD +17 3248,Te I,,+0.70,0.30,Cowan+2002
HD 108317,Te I,,-0.02,0.25,Roederer+2012a
HD 128279,Te I,,-0.26,0.25,Roederer+2012a
## the following abundances have been pasted over from the appropriate references...
HD 108317,Fe I,,+4.97,0.15,Roederer+2012d
HD 108317,Fe II,,+5.13,0.22,Roederer+2012d
HD 108317,Cu I,,+0.70,0.16,Roederer+2012d
HD 108317,Zn I,,+2.26,0.15,Roederer+2012d
HD 108317,Ge I,,+0.17,0.17,Roederer+2012d
HD 108317,Rb I,<,+1.40,,Roederer+2012d
HD 108317,Sr II,,+0.48,0.19,Roederer+2012d
HD 108317,Y II,,-0.42,0.20,Roederer+2012d
HD 108317,Zr II,,+0.45,0.20,Roederer+2012d
HD 108317,Nb II,,-0.86,0.19,Roederer+2012d
HD 108317,Mo I,,-0.23,0.19,Roederer+2012d
HD 108317,Mo II,<,+0.24,,Roederer+2012d
HD 108317,Ru I,,-0.04,0.16,Roederer+2012d
HD 108317,Rh I,,-0.84,0.27,Roederer+2012d
HD 108317,Pd I,,-0.67,0.18,Roederer+2012d
HD 108317,Ag I,,-1.34,0.21,Roederer+2012d
HD 108317,Cd I,,-0.87,0.28,Roederer+2012d
HD 108317,Sn I,<,+0.80,,Roederer+2012d
# HD 108317,Te I,,+0.02,0.24,Roederer+2012d
HD 108317,Ba II,,-0.32,0.19,Roederer+2012d
HD 108317,La II,,-1.12,0.17,Roederer+2012d
HD 108317,Ce II,,-0.68,0.17,Roederer+2012d
HD 108317,Pr II,,-0.90,0.23,Roederer+2012d
HD 108317,Nd II,,-0.71,0.18,Roederer+2012d
HD 108317,Sm II,,-1.05,0.20,Roederer+2012d
HD 108317,Eu II,,-1.37,0.18,Roederer+2012d
HD 108317,Gd II,,-0.82,0.19,Roederer+2012d
HD 108317,Tb II,,-1.30,0.29,Roederer+2012d
HD 108317,Dy II,,-0.75,0.18,Roederer+2012d
HD 108317,Ho II,,-1.50,0.20,Roederer+2012d
HD 108317,Er II,,-0.94,0.18,Roederer+2012d
HD 108317,Tm II,,-1.80,0.19,Roederer+2012d
HD 108317,Yb II,,-1.13,0.22,Roederer+2012d
HD 108317,Lu II,,-1.64,0.26,Roederer+2012d
HD 108317,Hf II,,-0.99,0.27,Roederer+2012d
HD 108317,Os I,,-0.50,0.23,Roederer+2012d
HD 108317,Os II,,-0.88,0.26,Roederer+2012d
HD 108317,Ir I,,-0.07,0.34,Roederer+2012d
HD 108317,Pt I,,-0.46,0.19,Roederer+2012d
HD 108317,Au I,,-1.64,0.30,Roederer+2012d
HD 108317,Pb I,<,-0.26,,Roederer+2012d
HD 108317,Bi I,<,+1.04,,Roederer+2012d
HD 108317,Th II,,-1.99,0.21,Roederer+2012d
HD 128279,Fe I,,+5.02,0.15,Roederer+2012d
HD 128279,Fe II,,+5.04,0.22,Roederer+2012d
HD 128279,Cu I,,+0.79,0.16,Roederer+2012d
HD 128279,Zn I,,+2.18,0.15,Roederer+2012d
HD 128279,Ge I,,-0.03,0.28,Roederer+2012d
HD 128279,Rb I,<,+1.60,,Roederer+2012d
HD 128279,Sr II,,-0.18,0.19,Roederer+2012d
HD 128279,Y II,,-0.89,0.21,Roederer+2012d
HD 128279,Zr II,,+0.00,0.20,Roederer+2012d
HD 128279,Nb II,,-0.88,0.27,Roederer+2012d
