Name,Species,N,e_stat,e_sys,e_tot
TucII-052,Sr II,2,0.20,0.23,0.30
TucII-052,Ba II,2,0.20,0.19,0.28
TucII-052,Eu I,1,0.20,0.16,0.26
TucII-078,C-H,2,0.20,0.39,0.44
TucII-078,Na I,2,0.20,0.21,0.29
TucII-078,Mg I,5,0.20,0.25,0.32
TucII-078,Al I,2,,,
TucII-078,Si I,2,,,
TucII-078,Ca I,8,0.20,0.15,0.25
TucII-078,Sc II,6,0.20,0.23,0.30
TucII-078,Ti I,1,0.36,0.25,0.44
TucII-078,Ti II,20,0.25,0.25,0.35
TucII-078,Cr I,5,0.26,0.28,0.38
TucII-078,Mn I,2,0.20,0.28,0.34
TucII-078,Fe I,83,0.20,0.23,0.30
TucII-078,Fe II,9,0.20,0.25,0.32
TucII-078,Co I,1,0.42,0.29,0.51
TucII-078,Ni I,2,0.24,0.27,0.36
TucII-078,Sr II,1,,,
TucII-078,Ba II,1,,,
TucII-078,Eu I,1,,,
TucII-203,C-H,2,0.20,0.43,0.47
TucII-203,Na I,2,0.26,0.24,0.35
TucII-203,Mg I,2,0.20,0.29,0.35
TucII-203,Al I,2,,,
TucII-203,Si I,1,,,
TucII-203,Ca I,4,0.20,0.19,0.28
TucII-203,Sc II,5,0.20,0.20,0.28
TucII-203,Ti II,14,0.28,0.17,0.33
TucII-203,V II,1,0.21,0.13,0.25
TucII-203,Cr I,3,0.20,0.29,0.35
TucII-203,Mn I,3,0.20,0.28,0.34
TucII-203,Fe I,59,0.20,0.25,0.32
TucII-203,Fe II,4,0.20,0.13,0.24
TucII-203,Co I,2,0.20,0.25,0.32
TucII-203,Ni I,3,0.20,0.27,0.34
TucII-203,Sr II,1,0.30,0.22,0.37
TucII-203,Ba II,1,0.20,0.18,0.27
TucII-203,Eu I,1,,,
TucII-206,C-H,2,0.28,0.51,0.58
TucII-206,Na I,2,0.46,0.32,0.56
TucII-206,Mg I,3,0.28,0.31,0.42
TucII-206,Al I,2,,,
TucII-206,Si I,1,,,
TucII-206,Ca I,2,0.32,0.27,0.42
TucII-206,Sc II,5,0.28,0.26,0.38
TucII-206,Ti II,9,0.28,0.29,0.40
TucII-206,Cr I,3,0.28,0.29,0.40
TucII-206,Mn I,3,0.28,0.24,0.37
TucII-206,Fe I,46,0.28,0.27,0.39
TucII-206,Fe II,3,0.34,0.29,0.45
TucII-206,Sr II,2,0.28,0.25,0.38
TucII-206,Ba II,1,0.28,0.29,0.40
TucII-206,Eu I,1,,,
