Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-47:29:02.0,21:41:13.45,Jhelum2_14,Gaia DR3 6562728071447798784,21 41 13.4388,-47 29 01.870,14,14,0.0285,0.0243,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,21 41 13.4388,-47 29 01.870,5.226,-6.882,0.0186,-118.8,1
True,-46:06:32.6,21:33:27.15,Jhelum2_15,Gaia DR3 6563842426481787264,21 33 27.1472,-46 06 32.457,14,14,0.0242,0.0213,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,21 33 27.1472,-46 06 32.457,4.983,-6.854,0.0422,-130.5,1
True,-53:57:27.4,01:23:48.36,Phoenix_1,Gaia DR3 4914426859986001920,01 23 48.3577,-53 57 27.373,14,14,0.0292,0.0355,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 23 48.3577,-53 57 27.373,2.724,-0.03,0.0391,63.1,1
True,-53:40:01.2,01:24:36.27,Phoenix_2,Gaia DR3 4914446067079706624,01 24 36.2660,-53 40 01.254,14,14,0.0492,0.0456,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 24 36.2660,-53 40 01.254,2.682,-0.102,0.0695,60.9,1
True,-53:17:35.1,01:25:55.15,Phoenix_3,Gaia DR3 4914527911976567424,01 25 55.1470,-53 17 35.127,14,14,0.0404,0.043,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 25 55.1470,-53 17 35.127,2.771,-0.031,0.0332,59.1,1
True,-49:09:11.7,01:39:20.84,Phoenix_6,Gaia DR3 4917862490225433984,01 39 20.8312,-49 09 11.717,14,14,0.0177,0.0199,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 39 20.8312,-49 09 11.717,2.647,-0.076,0.0559,49.7,1
True,-47:29:05.2,01:42:44.22,Phoenix_7,Gaia DR3 4954034292475361280,01 42 44.2178,-47 29 05.205,14,14,0.019,0.0245,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 42 44.2178,-47 29 05.205,2.755,-0.058,0.0397,40.9,1
True,-47:06:51.6,01:41:53.37,Phoenix_8,Gaia DR3 4954245123830234240,01 41 53.3680,-47 06 51.592,14,14,0.0441,0.0487,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 41 53.3680,-47 06 51.592,2.645,-0.18,0.0423,33.1,1
True,-44:20:53.8,01:48:16.06,Phoenix_9,Gaia DR3 4955727815260641408,01 48 16.0591,-44 20 53.819,14,14,0.0271,0.0312,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 48 16.0591,-44 20 53.819,2.731,-0.145,0.0247,31.2,1
True,-43:02:41.0,01:51:02.50,Phoenix_10,Gaia DR3 4956084950380306816,01 51 02.5002,-43 02 40.974,14,14,0.023,0.0282,90,A,O,2020yCat.1350....0G,,,,,,,,,RGB*,,01 51 02.5002,-43 02 40.974,2.759,-0.144,0.0757,29.2,1
