Name,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,M/H
AliqaUma_0,5131,62,1.97,0.16,2.31,0.26,-2.40
AliqaUma_10,4785,39,1.45,0.16,1.75,0.18,-2.28
AliqaUma_5,4575,55,1.13,0.16,1.87,0.19,-2.34
AliqaUma_7,5092,58,1.82,0.16,1.90,0.17,-2.37
AliqaUma_9,4618,52,1.14,0.16,2.06,0.17,-2.46
ATLAS_0,4833,41,1.52,0.16,1.92,0.23,-2.47
ATLAS_1,5088,57,1.97,0.16,2.06,0.23,-2.43
ATLAS_12,4590,54,1.16,0.16,2.20,0.55,-2.16
ATLAS_22,4781,44,1.51,0.16,1.70,0.17,-2.18
ATLAS_25,4937,43,1.75,0.16,1.84,0.25,-2.36
ATLAS_26,5042,47,1.75,0.16,1.91,0.16,-2.26
ATLAS_27,5002,44,1.86,0.16,2.33,0.42,-2.55
Chenab_10,4528,63,0.85,0.17,2.23,0.16,-1.94
Chenab_12,4263,57,0.62,0.17,2.44,0.21,-1.80
Chenab_16,4819,41,1.41,0.16,1.95,0.18,-2.15
Elqui_0,4374,75,0.91,0.17,2.27,0.20,-2.02
Elqui_1,4316,54,0.56,0.17,2.41,0.25,-2.91
Elqui_3,4380,74,0.99,0.17,2.32,0.29,-1.81
Elqui_4,4645,50,1.20,0.16,2.13,0.15,-2.03
Indus_0,5040,47,1.93,0.16,1.73,0.23,-2.41
Indus_12,4741,46,1.45,0.16,1.90,0.20,-2.14
Indus_13,5063,58,2.29,0.16,1.59,0.16,-1.91
Indus_14,4969,51,2.08,0.16,1.52,0.22,-1.98
Indus_15,4937,52,2.18,0.16,1.59,0.14,-1.71
Indus_6,5251,66,2.43,0.16,1.73,0.34,-2.45
Indus_8,5206,65,2.50,0.16,1.66,0.21,-2.02
Jhelum_0,5122,58,2.27,0.16,1.63,0.19,-2.02
Jhelum1_5,5011,53,2.07,0.16,1.67,0.15,-2.12
Jhelum1_8,5199,66,2.44,0.16,1.52,0.21,-2.42
Jhelum2_10,5116,58,2.31,0.16,1.47,0.17,-2.01
Jhelum2_11,5220,65,2.44,0.16,1.67,0.25,-2.17
Jhelum2_14,5188,66,2.31,0.16,1.73,0.26,-2.48
Jhelum2_15,5001,52,1.98,0.16,1.68,0.21,-2.14
Jhelum2_2,4967,51,2.09,0.16,1.49,0.22,-1.62
Phoenix_1,5088,57,2.15,0.16,1.47,0.19,-2.52
Phoenix_10,5279,68,2.12,0.16,1.80,0.33,-2.93
Phoenix_2,5252,66,2.51,0.16,1.64,0.30,-2.67
Phoenix_3,5272,67,2.49,0.16,1.49,0.38,-2.76
Phoenix_6,4905,43,1.64,0.16,2.11,0.59,-2.68
Phoenix_7,4980,45,1.82,0.16,1.58,0.18,-2.62
Phoenix_8,5292,71,2.56,0.17,1.53,0.07,-2.79
Phoenix_9,5153,64,2.20,0.16,1.55,0.27,-2.70
