Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
J220403.6-402918,CD-41 14740,,,22:04:03.6158,-40:29:18.947,331.015,-40.489,10.3,20081015,LCO,220
J222235.9-013827,BPS CS 29502-0092,,,22:22:35.9982,-01:38:27.621,335.65,-1.641,10.8,20081015,LCO,180
J223203.2-213556,HD 213487,,,22:32:03.3054,-21:35:56.673,338.014,-21.599,9.0,20080912,AAT,230
J224923.5-213029,TYC 6393-564-1,DW,Atari,22:49:23.5855,-21:30:29.532,342.348,-21.508,11.2,20081015,LCO,160
J225822.1-530715,HD 217007,,,22:58:22.2307,-53:07:15.783,344.593,-53.121,9.4,20080911,AAT,200
J225939.5-130249,TYC 5826-262-1,,,22:59:39.5363,-13:02:50.014,344.915,-13.047,9.2,20080909,AAT,180
J230028.8-284922,TYC 6977-302-1,,,23:00:28.8522,-28:49:22.865,345.12,-28.823,10.8,20081016,LCO,250
J230222.8-683323,TYC 9338-874-1,,,23:02:22.8948,-68:33:23.351,345.595,-68.556,10.7,20081016,LCO,150
J230955.6-142048,2MASS J23095566-1420482,,,23:09:55.6667,-14:20:48.307,347.482,-14.347,10.6,20081016,LCO,200
J231348.3-172808,BD-18  6272,,,23:13:48.3853,-17:28:08.903,348.452,-17.469,9.6,20080910,AAT,180
J232143.5-492914,HD 220127,,,23:21:43.5876,-49:29:15.114,350.432,-49.488,9.4,20080912,AAT,200
J234945.3-431707,CD-43 15514,,,23:49:45.3590,-43:17:07.761,357.439,-43.285,9.3,20080908,AAT,200
J235210.2-534929,TYC 8833-786-1,,,23:52:10.3243,-53:49:29.259,358.043,-53.825,10.3,20081015,LCO,250
J235221.1-270333,HD 223750,,,23:52:21.1105,-27:03:33.776,358.088,-27.059,9.2,20080911,AAT,160
T4683_01164_1,BD-07   163,,,01:02:06.1760,-06:24:36.394,15.526,-6.41,9.7,20071219,APO,150
T4687_02037_1,BD-06   309,,,01:39:12.4312,-06:11:01.455,24.802,-6.184,9.9,20071219,APO,140
T4701_00802_1,BD-05   496,,,02:39:02.8973,-04:29:16.210,39.762,-4.488,9.3,20061202,APO,120
T4944_01332_1,BD-03  3281,,,12:25:04.3235,-04:02:33.769,186.268,-4.043,9.2,20080324,APO,160
T4954_00606_1,HD 109631,,,12:36:12.9348,-06:24:49.340,189.054,-6.414,9.5,20080228,APO,150
T4956_00959_1,TYC 4956-959-1,,,12:59:06.1488,-07:19:23.302,194.776,-7.323,9.1,20080327,APO,150
T4968_00858_1,TYC 4968-858-1,,,13:55:24.3281,-02:07:20.284,208.851,-2.122,10.5,20080327,APO,160
T4995_00333_1,TYC 4995-333-1,,,14:52:38.7231,-03:54:12.746,223.161,-3.904,9.9,20070506,LCO,130
T5008_00508_1,BD-03  3720,,,15:05:05.2819,-03:50:39.444,226.272,-3.844,9.3,20070506,LCO,120
T5008_00508_1,BD-03  3720,,,15:05:05.2819,-03:50:39.444,226.272,-3.844,9.3,20070612,LCO,200
T5271_00001_1,BD-12   106,,,00:37:43.2627,-12:04:39.174,9.43,-12.078,10.7,20070923,AAT,100
T5277_01245_1,BD-09   328,,,01:43:29.4375,-08:24:36.928,25.873,-8.41,9.8,20070923,AAT,100
T5295_00511_1,BD-08   619,,,03:17:29.3068,-07:38:07.118,49.372,-7.635,9.2,20071219,APO,130
T5310_00259_1,TYC 5310-259-1,,,03:44:53.0189,-13:56:10.396,56.221,-13.936,9.7,20061202,APO,110
T5311_00017_1,TYC 5311-17-1,,,03:55:10.7057,-13:32:42.770,58.795,-13.545,10.1,20061103,APO,100
T5481_00786_1,TYC 5481-786-1,,,10:08:00.6527,-10:08:52.252,152.003,-10.148,9.8,20071219,APO,100
T5492_00011_1,BD-08  2952,,,10:34:08.5787,-09:24:20.142,158.536,-9.406,9.5,20070224,APO,100
T5495_00660_1,BD-09  3107,,,10:36:10.7506,-10:27:48.033,159.045,-10.463,9.7,20070421,APO,130
T5495_00660_1,BD-09  3107,,,10:36:10.7506,-10:27:48.033,159.045,-10.463,9.7,20070224,APO,120
T5496_00376_1,BD-12  3141,,,10:20:05.9491,-13:05:40.837,155.025,-13.095,9.1,20070421,APO,130
T5499_00076_1,BD-07  3132,,,10:52:58.5459,-07:48:38.325,163.244,-7.811,10.5,20060412,APO,100
T5507_01406_1,BD-13  3301,,,11:06:36.2917,-13:58:37.386,166.651,-13.977,10.1,20060412,APO,100
T5551_00318_1,BD-14  3751,,,13:35:48.8310,-14:53:23.842,203.953,-14.89,9.2,20080228,APO,160
T5552_00154_1,BD-13  3753,,,13:42:12.6136,-14:17:35.376,205.553,-14.293,9.1,20070622,AAT,160
T5762_00685_1,TYC 5762-685-1,,,20:27:46.7485,-12:55:49.591,306.945,-12.93,10.0,20070506,LCO,100
T5762_00685_1,TYC 5762-685-1,,,20:27:46.7485,-12:55:49.591,306.945,-12.93,10.0,combo,LCO,150
T5789_00559_1,TYC 5789-559-1,,,21:54:12.8186,-08:12:07.846,328.553,-8.202,9.2,20070505,LCO,100
T5789_00559_1,TYC 5789-559-1,,,21:54:12.8186,-08:12:07.846,328.553,-8.202,9.2,20061202,LCO,120
T5843_00314_1,BD-18    48,,,00:23:38.3758,-17:39:10.342,5.91,-17.653,9.9,20071219,APO,130
T5866_00288_1,HD  17492,,,02:47:50.6740,-18:16:36.843,41.961,-18.277,9.3,20061202,APO,100
T5875_00738_1,BD-19   637,,,03:15:40.6276,-19:03:22.725,48.919,-19.056,9.2,combo,APO,200
T5911_00452_1,TYC 5911-452-1,,,04:53:22.6466,-22:10:39.458,73.344,-22.178,10.3,20071219,APO,130
T6090_00859_1,HD  97878,,,11:15:22.3663,-22:24:03.562,168.843,-22.401,9.3,20070421,APO,100
T6092_00035_1,BD-19  3314,,,11:38:32.3150,-20:08:48.020,174.635,-20.147,10.3,20070505,LCO,120
T6092_00035_1,BD-19  3314,,,11:38:32.3150,-20:08:48.020,174.635,-20.147,10.3,20070417,LCO,130
T6105_00098_1,TYC 6105-98-1,,,12:25:28.1132,-18:55:50.424,186.367,-18.931,9.4,20070505,LCO,100
T6117_01347_1,TYC 6117-1347-1,,,12:50:49.8130,-21:12:46.288,192.708,-21.213,9.9,20070505,LCO,130
T6122_00253_1,BD-14  3753,,,13:36:09.7297,-15:36:41.314,204.041,-15.611,9.9,20080228,APO,130
T6141_00148_1,BD-17  3995,,,14:04:41.3342,-18:06:52.727,211.172,-18.115,9.7,20070421,APO,150
T6170_00280_1,TYC 6170-280-1,,,15:15:52.6897,-15:40:22.968,228.97,-15.673,9.8,20080228,APO,160
T6333_00173_1,BD-18  5677,,,20:25:37.1266,-17:43:58.493,306.405,-17.733,9.7,20070506,LCO,130
T6333_01571_1,HD 195316,,,20:31:05.4093,-18:17:22.068,307.773,-18.289,9.4,20070505,LCO,150
T6338_00797_1,TYC 6338-797-1,,,20:36:06.4009,-18:57:11.105,309.027,-18.953,10.2,20070505,LCO,150
T6340_00478_1,BD-22  5393,,,20:20:01.9603,-22:07:29.472,305.008,-22.125,9.7,20070506,LCO,200
T6412_00004_1,HD    606,,,00:10:20.5678,-22:46:09.007,2.586,-22.769,9.3,20061202,APO,160
T6444_00154_1,CD-29  1141,,,03:05:24.2101,-28:57:39.229,46.351,-28.961,9.2,20080912,AAT,170
T6501_01104_1,CD-30  2575,,,05:42:59.2938,-29:56:08.163,85.747,-29.936,10.1,20081015,LCO,280
T6640_00549_1,CD-23  9718,,,11:04:46.9056,-24:34:21.771,166.195,-24.573,9.6,20071219,APO,150
T6642_00874_1,TYC 6642-874-1,,,10:47:01.0109,-27:06:39.770,161.754,-27.111,10.3,20070505,LCO,130
T6695_00459_1,TYC 6695-459-1,,,12:33:59.8113,-29:44:04.208,188.499,-29.735,10.4,20070505,LCO,110
T6703_00690_1,CD-25  9687A,,,13:14:34.1198,-26:06:58.191,198.642,-26.116,9.4,20070417,APO,190
T6709_00331_1,TYC 6709-331-1,,,12:54:11.1032,-28:49:48.526,193.546,-28.83,9.7,20070505,LCO,100
T6709_00331_1,TYC 6709-331-1,,,12:54:11.1032,-28:49:48.526,193.546,-28.83,9.7,20070417,LCO,150
T6718_00241_1,TYC 6718-241-1,,,13:37:25.1194,-25:12:50.899,204.355,-25.214,10.5,20070506,LCO,130
T6757_00705_1,TYC 6757-705-1,,,14:37:03.1411,-29:09:08.297,219.263,-29.152,10.6,20070505,LCO,120
T6904_00180_1,HD 190178,,,20:04:49.4713,-28:16:25.146,301.206,-28.274,9.1,20070506,LCO,200
T6904_00180_1,HD 190178,,,20:04:49.4713,-28:16:25.146,301.206,-28.274,9.1,20060715,LCO,150
T6909_00633_1,CD-25 14568,,,20:08:25.9199,-25:30:18.241,302.108,-25.505,9.6,20080912,AAT,180
T6909_01741_1,CD-25 14621,,,20:13:15.8981,-24:58:21.811,303.316,-24.973,9.2,20070506,LCO,100
T6913_00155_1,CD-28 16430,,,20:08:00.8327,-27:59:26.490,302.003,-27.991,9.6,20070505,LCO,120
T6953_00510_1,TYC 6953-510-1,,,21:51:52.4886,-22:56:05.692,327.969,-22.935,9.9,20081016,LCO,140
T6975_00058_1,CD-27 16207,,,23:10:52.7655,-26:41:55.373,347.72,-26.699,10.1,20061202,APO,130
T6975_00904_1,CD-26 16470,DW,Atari,23:05:50.5487,-25:57:22.308,346.461,-25.956,10.3,20081015,LCO,140
T7217_00088_1,CD-30  9400,,,11:42:09.8615,-31:25:49.117,175.541,-31.43,9.4,20090216,ESO,130
T7222_00638_1,TYC 7222-638-1,,,11:58:07.0035,-32:07:20.110,179.529,-32.122,10.9,20090213,ESO,130
T7228_01050_1,CD-34  7589,,,11:37:57.9406,-35:39:43.635,174.491,-35.662,9.9,20070506,LCO,120
T7232_00209_1,CD-30  9733,,,12:10:59.3535,-31:08:05.406,182.747,-31.135,9.5,20070624,AAT,100
T7242_00198_1,CD-33  8433,,,12:28:45.7540,-33:56:51.442,187.191,-33.948,9.4,20070505,LCO,140
T7299_00506_1,TYC 7299-506-1,,,14:25:33.9746,-33:01:09.718,216.392,-33.019,9.7,20070505,LCO,150
T7464_00857_1,TYC 7464-857-1,,,20:40:31.4240,-34:54:29.106,310.131,-34.908,9.4,20070505,LCO,100
T7538_00271_1,CD-45   237,,,00:46:23.4295,-44:46:52.496,11.598,-44.781,9.8,20080910,AAT,200
T7578_00560_1,TYC 7578-560-1,,,04:22:57.7903,-38:21:30.614,65.741,-38.358,10.1,20090217,ESO,130
T7729_00280_1,TYC 7729-280-1,,,11:05:38.7031,-39:28:58.503,166.411,-39.483,10.6,20090218,ESO,160
T7922_00252_1,HD 180773,,,19:19:32.1356,-39:50:54.243,289.884,-39.848,9.3,20070506,LCO,130
T8055_00583_1,CD-52   491,,,02:22:46.4242,-51:50:33.546,35.693,-51.843,9.4,20070924,AAT,130
T8117_00251_1,CD-46  2727,,,06:51:52.5499,-46:48:26.603,102.969,-46.807,9.8,20080317,APO,140
T8251_00250_1,CD-47  8200,,,13:17:26.7868,-47:45:42.884,199.362,-47.762,9.4,20070624,AAT,120
T8409_01371_1,TYC 8409-1371-1,,,20:16:03.6065,-47:42:08.640,304.015,-47.702,9.0,20070505,LCO,100
T8413_00131_1,TYC 8413-131-1,,,20:19:29.4800,-48:46:16.110,304.873,-48.771,9.6,20070506,LCO,100
T8428_00929_1,TYC 8428-929-1,,,21:35:57.3222,-48:29:47.664,323.989,-48.497,9.9,20080911,AAT,190
T8446_00381_1,TYC 8446-381-1,,,22:42:11.1707,-45:45:12.387,340.547,-45.753,10.1,20070924,AAT,130
T8454_00937_1,HD 218493,,,23:08:58.7796,-50:15:01.220,347.245,-50.25,9.7,20070623,AAT,160
T8488_00009_1,CD-59   383,,,01:58:04.6361,-58:48:51.701,29.519,-58.814,9.1,20070924,AAT,130
T8519_00103_1,TYC 8519-103-1,,,05:40:51.7601,-52:44:26.190,85.216,-52.741,10.7,20090214,ESO,110
T8789_00425_1,TYC 8789-425-1,,,20:23:19.9049,-58:51:58.873,305.833,-58.866,9.5,20070505,LCO,120
T8824_00811_1,TYC 8824-811-1,,,22:58:38.5362,-53:07:56.902,344.661,-53.133,10.4,20080910,AAT,170
T8847_00274_1,CPD-67    26,,,00:23:53.4582,-66:49:21.136,5.973,-66.823,10.0,20070921,AAT,130
T8865_00425_1,CD-67   148,,,02:47:06.2792,-66:31:57.724,41.776,-66.533,9.3,20070924,AAT,100
T8870_00259_1,CPD-63   262,,,03:48:31.5453,-62:45:37.858,57.131,-62.761,10.7,20081015,LCO,170
T9159_01533_1,CD-74   181,,,03:55:13.2066,-73:44:15.485,58.805,-73.738,9.1,20080911,AAT,130
T9161_00706_1,HD 269026,,,05:07:09.6766,-67:55:03.383,76.79,-67.918,9.8,20070924,AAT,100
T9169_01585_1,HD 269088,,,05:05:40.0458,-71:36:06.292,76.417,-71.602,9.8,20090215,ESO,100
T9378_00079_1,TYC 9378-79-1,,,05:38:16.9847,-75:16:20.706,84.571,-75.272,10.5,20081015,LCO,220
T9392_00902_1,CD-81   228,,,06:57:40.2498,-81:33:14.686,104.418,-81.554,9.3,20090218,ESO,130
