Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
J020706.4-500916,TYC 8048-292-1,,,02:07:06.4071,-50:09:16.641,31.777,-50.155,10.0,20081015,LCO,230
J021110.1-191124,TYC 5861-1732-1,,,02:11:10.1890,-19:11:23.817,32.792,-19.19,10.4,20081016,LCO,220
J021634.8-394034,CD-40   581,,,02:16:34.8741,-39:40:34.217,34.145,-39.676,9.7,20080910,AAT,230
J021742.0-492344,HD  14352,,,02:17:42.0817,-49:23:43.871,34.425,-49.396,9.2,20080912,AAT,250
J022308.0-312953,TYC 7007-2228-1,,,02:23:08.0530,-31:29:53.130,35.783,-31.498,10.5,20081015,LCO,190
J022310.5-362823,TYC 7009-693-1,,,02:23:10.5254,-36:28:23.189,35.794,-36.473,10.9,20081015,LCO,230
J022658.3-074959,BD-08   452,,,02:26:58.3300,-07:49:59.680,36.743,-7.833,9.6,20081015,LCO,230
J023042.1-504643,CD-51   599,,,02:30:42.2084,-50:46:42.632,37.676,-50.779,9.9,20080908,AAT,230
J023557.6-174856,TYC 5860-62-1,,,02:35:57.7041,-17:48:56.876,38.99,-17.816,10.7,20081016,LCO,230
J025500.9-232029,HD  18224,,,02:55:00.9668,-23:20:29.441,43.754,-23.341,9.1,20080908,AAT,190
J031005.5-401003,CD-40   820,,,03:10:05.5361,-40:10:03.469,47.523,-40.168,9.8,20090212,ESO,171
J031459.1-371513,CD-37  1215,,,03:14:59.2278,-37:15:13.594,48.747,-37.254,9.4,20080908,AAT,230
J031459.2-481045,TYC 8061-713-1,,,03:14:59.3165,-48:10:45.562,48.747,-48.179,11.7,20090213,ESO,100
J031540.6-190322,BD-19   637,,,03:15:40.6276,-19:03:22.725,48.919,-19.056,9.0,20080911,AAT,200
J032559.4-372358,TYC 7027-67-1,,,03:25:59.4704,-37:23:58.795,51.498,-37.4,10.0,20081016,LCO,250
J033655.9-292252,CD-29  1343,,,03:36:55.9637,-29:22:52.770,54.233,-29.381,10.0,20080910,AAT,250
J034220.6-270736,CD-27  1350,,,03:42:20.6331,-27:07:36.310,55.586,-27.127,10.2,20081016,LCO,230
J034516.4-075922,TYC 5304-229-1,,,03:45:16.4458,-07:59:23.019,56.319,-7.99,10.4,20071219,APO,150
J040148.9-375753,TYC 7577-1592-1,,,04:01:48.9752,-37:57:53.396,60.454,-37.965,10.7,20081015,LCO,200
J040647.0-214611,TYC 5889-42-1,,,04:06:47.0226,-21:46:11.694,61.696,-21.77,10.1,20090212,ESO,190
J042314.5+013048,HE 0420+0123a,,,04:23:14.5447,+01:30:48.301,65.811,1.513,10.4,20081016,LCO,260
J042445.6-150150,BD-15   779,,,04:24:45.6398,-15:01:50.653,66.19,-15.031,9.4,2009combo,APO,230
J042917.8-342050,TYC 7041-453-1,,,04:29:17.8856,-34:20:50.931,67.324,-34.347,10.5,20090213,ESO,170
J044106.6-350735,TYC 7045-1116-1,,,04:41:06.6809,-35:07:35.722,70.278,-35.127,10.0,20081016,LCO,260
J050332.7-625716,CPD-63   407A,,,05:03:32.7989,-62:57:16.504,75.887,-62.955,10.2,20090212,ESO,120
J050453.7-135037,TYC 5329-1033-1,,,05:04:53.7250,-13:50:37.782,76.224,-13.844,10.6,20090217,ESO,120
J050620.1-134421,TYC 5329-1927-1,,,05:06:20.1241,-13:44:21.983,76.584,-13.739,10.6,20081015,LCO,250
J051111.7-363540,CD-36  2087,,,05:11:11.7036,-36:35:40.645,77.799,-36.595,9.5,20081016,LCO,250
J051200.1-113048,TYC 5338-1142-1,,,05:12:00.1274,-11:30:48.577,78.001,-11.513,10.8,20081016,LCO,180
J052150.1-153705,TYC 5915-1267-1,,,05:21:50.0991,-15:37:05.936,80.459,-15.618,11.0,20081016,LCO,200
J053148.3-365951,CD-37  2255,,,05:31:48.3314,-36:59:51.588,82.951,-36.998,9.8,20090214,ESO,110
J053709.3-303731,TYC 7056-1294-1,,,05:37:09.3815,-30:37:31.537,84.289,-30.625,10.6,20090216,ESO,130
J055142.1-332734,TYC 7062-1120-1,,,05:51:42.1380,-33:27:33.819,87.926,-33.459,10.8,20081016,LCO,220
J055215.7-395318,TYC 7602-1143-1,DW,Atari,05:52:15.7869,-39:53:18.442,88.066,-39.888,10.5,20081016,LCO,200
J055848.6-542624,TYC 8524-301-1,,,05:58:48.6797,-54:26:24.126,89.703,-54.44,10.2,20081015,LCO,200
J061950.0-531211,TYC 8534-778-1,,,06:19:50.0171,-53:12:11.449,94.958,-53.203,10.5,20081016,LCO,260
J063201.2-202654,BD-20  1426,,,06:32:01.3030,-20:26:53.965,98.005,-20.448,9.2,20081015,LCO,250
J063347.2-491234,TYC 8112-338-1,,,06:33:47.2957,-49:12:34.575,98.447,-49.21,10.0,20090218,APO,160
J063411.2-641831,TYC 8902-1714-1,,,06:34:11.2664,-64:18:31.103,98.547,-64.309,9.8,20090214,ESO,140
