Name,Teff,logg,[M/H],Vmic
J194550.6-392630,4917,1.65,-2.58,1.7
J194552.6-504608,4297,0.91,-1.49,1.7
J194811.5-483511,4048,0.71,-1.28,1.9
J194850.3-344917,6158,3.8,-0.54,1.4
J194952.7-641309,4717,1.37,-1.63,2.0
J195221.4-695417,4914,1.72,-1.7,1.5
J195244.9-600813,5010,1.96,-1.46,1.7
J195313.7-531456,5691,4.29,-1.03,0.6
J195716.7-335026,4706,1.33,-1.64,1.8
J200150.5-310651,4398,0.81,-1.6,2.1
J200420.2-270110,5203,2.74,-2.03,1.3
J200728.5-495434,4448,0.97,-2.13,2.1
J201031.9-355854,5250,1.8,-2.19,2.0
J201721.9-380126,4751,1.51,-1.6,2.0
J201925.1-282207,4471,1.16,-2.02,5.9
J202319.0-661217,4816,1.77,-1.98,1.7
J202400.5-182024,4912,1.68,-1.42,1.8
J203717.9-353513,4216,0.69,-1.85,2.0
J204406.2-300007,6223,4.02,-1.87,1.2
J204547.1-621403,5009,2.32,-1.81,1.6
J204923.3-362238,4356,0.75,-2.1,2.0
J205058.6-315839,6423,4.06,-0.5,1.6
J205155.4-325126,4692,2.0,-1.08,1.2
J205319.4-244456,4861,1.67,-1.63,1.7
J205440.3-053500,4932,1.37,-1.74,2.0
J205515.5-403414,4821,2.13,-1.15,1.3
J210038.2-053916,5014,1.56,-2.05,1.9
J210634.7-495749,5346,2.99,-2.72,1.7
J211103.7-071250,4480,1.04,-1.63,1.8
J212558.5-265657,4776,1.87,-1.63,1.9
J213539.2-152631,4500,0.87,-2.12,2.1
J213932.9-071932,5419,2.17,-1.19,1.9
J214348.9-162137,4851,1.62,-1.46,1.8
J214939.2-424202,4501,1.25,-1.6,1.7
J215707.2-353949,5980,3.79,-1.54,1.1
J220103.9-033641,5991,4.16,-1.34,0.9
J220119.1-542301,4886,2.31,-0.99,1.4
J220149.1-320337,6375,4.06,-0.41,1.5
J220157.5-444950,4578,1.24,-1.78,1.9
J220211.8-441701,5359,3.07,-2.36,1.4
J220403.6-402918,5219,2.75,-2.38,1.7
J222235.9-013827,5123,2.2,-2.83,1.7
J223203.2-213556,5005,2.16,-0.89,1.6
J224923.5-213029,5218,2.67,-2.38,1.4
J225822.1-530715,4697,2.05,-1.13,1.3
J225939.5-130249,4401,1.05,-1.39,1.6
J230028.8-284922,5001,1.71,-1.58,2.1
J230222.8-683323,5119,2.4,-2.42,1.6
J230955.6-142048,4107,0.72,-1.61,2.4
J231348.3-172808,4769,1.59,-1.79,1.8
J232143.5-492914,5135,2.8,-1.54,1.2
J234945.3-431707,4298,0.72,-1.64,2.5
J235210.2-534929,4492,0.87,-2.25,2.3
J235221.1-270333,5863,3.81,-0.54,1.2
T4683_01164_1,5564,2.06,-1.29,2.1
T4687_02037_1,6224,3.82,-0.71,1.5
T4701_00802_1,4939,3.05,-0.6,1.2
T4944_01332_1,4462,1.44,-1.16,1.5
T4954_00606_1,5328,2.54,-0.98,1.7
T4956_00959_1,4832,2.57,-0.88,1.3
T4968_00858_1,4816,1.81,-1.75,1.7
T4995_00333_1,4923,1.33,-1.87,1.9
T5008_00508_1,4883,2.13,-1.09,1.3
T5271_00001_1,4889,1.8,-2.03,1.8
T5277_01245_1,5959,3.77,-1.64,0.9
T5295_00511_1,5993,4.12,-0.5,1.0
T5310_00259_1,4269,0.8,-1.45,1.9
T5311_00017_1,5203,2.7,-0.67,1.6
T5481_00786_1,4864,1.71,-1.67,2.0
T5492_00011_1,5032,3.09,-0.61,1.4
T5495_00660_1,6448,4.06,-0.44,1.7
T5496_00376_1,4933,2.25,-0.63,1.4
T5499_00076_1,6149,4.19,-0.53,1.4
T5507_01406_1,6425,4.13,-0.53,1.5
T5551_00318_1,4647,2.11,-0.9,1.4
