Name,Z,Species,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
2MASS J01234438-7332025,6,C-H,,-3.94,,-0.8
2MASS J01234438-7332025,12,Mg I,,-2.4,,0.74
2MASS J01234438-7332025,14,Si I,,-2.5,,0.65
2MASS J01234438-7332025,20,Ca I,,-2.87,,0.27
2MASS J01234438-7332025,22,Ti I,,-3.02,,0.13
2MASS J01234438-7332025,22,Ti II,,-2.74,,0.41
2MASS J01234438-7332025,24,Cr I,,-3.53,,-0.39
2MASS J01234438-7332025,26,Fe I,,-3.15,,0
2MASS J01234438-7332025,28,Ni I,,-3.37,,-0.23
2MASS J01234438-7332025,38,Sr II,,-5.05,,-1.9
2MASS J01234438-7332025,56,Ba II,,-6.1,,-2.95
2MASS J01234438-7332025,63,Eu II,,,,
2MASS J14362653-3127262,6,C-H,,-3.93,,-0.73
2MASS J14362653-3127262,12,Mg I,,-2.81,,0.39
2MASS J14362653-3127262,14,Si I,,-2.73,,0.47
2MASS J14362653-3127262,20,Ca I,,-3.02,,0.18
2MASS J14362653-3127262,22,Ti I,,-3.36,,-0.17
2MASS J14362653-3127262,22,Ti II,,-3.12,,0.07
2MASS J14362653-3127262,24,Cr I,,-3.55,,-0.35
2MASS J14362653-3127262,26,Fe I,,-3.2,,0
2MASS J14362653-3127262,28,Ni I,,-3.14,,0.06
2MASS J14362653-3127262,38,Sr II,,-5.84,,-2.64
2MASS J14362653-3127262,56,Ba II,,-5.31,,-2.11
2MASS J14362653-3127262,63,Eu II,,,,
2MASS J20055457-0928302,6,C-H,,-3.57,,-1.24
2MASS J20055457-0928302,12,Mg I,,-2.69,,-0.36
2MASS J20055457-0928302,14,Si I,,-2.56,,-0.22
2MASS J20055457-0928302,20,Ca I,,-2.43,,-0.1
2MASS J20055457-0928302,22,Ti I,,-2,,0.34
2MASS J20055457-0928302,22,Ti II,,-1.51,,0.83
2MASS J20055457-0928302,24,Cr I,,-2.05,,0.29
2MASS J20055457-0928302,26,Fe I,,-2.33,,0
2MASS J20055457-0928302,28,Ni I,,-1.86,,0.47
2MASS J20055457-0928302,38,Sr II,,-4.11,,-1.78
2MASS J20055457-0928302,56,Ba II,,-5.71,,-3.38
2MASS J20055457-0928302,63,Eu II,,,,
Gaia DR3 4348475068024891776,6,C-H,,-4.11,,-0.55
Gaia DR3 4348475068024891776,12,Mg I,,-3.4,,0.16
Gaia DR3 4348475068024891776,14,Si I,,-2.91,,0.65
Gaia DR3 4348475068024891776,20,Ca I,,-3.48,,0.08
Gaia DR3 4348475068024891776,22,Ti I,,-3.61,,-0.05
Gaia DR3 4348475068024891776,22,Ti II,,-3.53,,0.03
Gaia DR3 4348475068024891776,24,Cr I,,-4.45,,-0.89
Gaia DR3 4348475068024891776,26,Fe I,,-3.56,,0
Gaia DR3 4348475068024891776,28,Ni I,,-3.95,,-0.39
Gaia DR3 4348475068024891776,38,Sr II,,-3.92,,-0.36
Gaia DR3 4348475068024891776,56,Ba II,,-4.78,,-1.22
Gaia DR3 4348475068024891776,63,Eu II,,,,
Gaia DR3 6308927046493238528,6,C-H,,-3.24,,-0.07
Gaia DR3 6308927046493238528,12,Mg I,,-2.9,,0.27
Gaia DR3 6308927046493238528,14,Si I,,-2.65,,0.53
Gaia DR3 6308927046493238528,20,Ca I,,-2.95,,0.22
Gaia DR3 6308927046493238528,22,Ti I,,-3.09,,0.09
Gaia DR3 6308927046493238528,22,Ti II,,-2.95,,0.23
Gaia DR3 6308927046493238528,24,Cr I,,-3.25,,-0.08
Gaia DR3 6308927046493238528,26,Fe I,,-3.17,,0
Gaia DR3 6308927046493238528,28,Ni I,,-2.97,,0.21
Gaia DR3 6308927046493238528,38,Sr II,,-4.69,,-1.52
Gaia DR3 6308927046493238528,56,Ba II,,-4.68,,-1.51
Gaia DR3 6308927046493238528,63,Eu II,,,,
Gaia DR3 6725661847747358336,6,C-H,,-3.38,,0.06
Gaia DR3 6725661847747358336,12,Mg I,,-3.04,,0.4
Gaia DR3 6725661847747358336,14,Si I,,-3.02,,0.42
Gaia DR3 6725661847747358336,20,Ca I,,-3.2,,0.24
Gaia DR3 6725661847747358336,22,Ti I,,-3.22,,0.22
