Name,Simbad_Identifier,RA_hms,DEC_dms,Date,Slit,t_exp,gmag,E(B-V),SNR5300,SNR6000
J100714,SDSS J100714+160154,10:07:14.6,+16:01:54.5,"2011 Mar 10",1.0,5.5,18.86,0.027,35,45
J100710,SDSS J100710+160623,10:07:10.1,+16:06:23.9,"2011 Mar 13/22",1.0,7.3,19.20,0.026,28,45
J100702,SDSS J100702+155055,10:07:02.5,+15:50:55.3,"2011 Mar 11/12",1.0,9.2,18.50,0.033,35,46
J100742,SDSS J100742+160106,10:07:42.7,+16:01:06.9,"2010 Apr 01",1.15,3.6,18.60,0.027,20,30
J100652,SDSS J100652+160235,10:06:52.3,+16:02:35.8,"2010 Mar 07/08/18/19/23/24",1.0,15.,18.89,0.029,42,50
J100639,SDSS J100639+160008,10:06:39.3,+16:00:08.9,"2010 Mar 18/19/22, 2010 May 08/09",0.7,8.,19.48,0.031,26,33
