Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,R,K,V,I,U,H,J,B,pmdec,plx_value,rvz_qual,rvz_nature,pmra,otype,sp_type,sp_qual,sp_bibcode
True,,Pristine_184431.86-293145.0,18:44:31.8600,-29:31:44.976,UCAC4 303-249001,281.132781520355,-29.529172043595548,0.0306,0.026,90,O,2020yCat.1350....0G,15.375,12.47700023651123,15.720000267028809,,,12.593999862670898,13.246000289916992,16.900999069213867,-1.262,0.0149,A,s,-2.227,Pe*,,,
True,,Pristine_184759.63-315322.5,18:47:59.6256,-31:53:22.488,UCAC4 291-201952,281.9984552694288,-31.889576468673056,0.0286,0.0267,90,O,2020yCat.1350....0G,15.645999908447266,12.836000442504883,14.946000099182129,,,12.954999923706055,13.597999572753906,,-1.362,0.013,A,s,-2.799,Pe*,,,
True,,Pristine_184843.24-314626.8,18:48:43.2408,-31:46:26.796,UCAC4 292-197615,282.18019912523505,-31.77411091813945,0.0301,0.0273,90,O,2020yCat.1350....0G,15.633999824523926,12.812000274658203,14.892999649047852,,,12.939000129699707,13.467000007629395,16.18400001525879,-1.658,,A,s,-2.687,Pe*,,,
True,,Pristine_184853.44-302718.4,18:48:53.4408,-30:27:18.396,UCAC4 298-220668,282.22266636825043,-30.455126421001108,0.0278,0.0234,90,O,2020yCat.1350....0G,15.373000144958496,12.185999870300293,,,,12.336999893188477,13.029999732971191,,-1.416,0.0556,A,s,-2.425,Pe*,,,
True,,Pristine_184957.04-291425.1,18:49:57.0408,-29:14:25.116,UCAC4 304-245863,282.4876736822829,-29.240304552735832,0.0295,0.0271,90,O,2020yCat.1350....0G,15.26200008392334,,14.843999862670898,,,,,15.925000190734863,-1.143,0.0093,A,s,-2.589,Pe*,,,
True,,Pristine_185053.71-313317.7,18:50:53.7096,-31:33:17.712,UCAC4 293-210907,282.7238195877162,-31.55491366321833,0.0255,0.0232,90,O,2020yCat.1350....0G,15.225000381469727,12.559000015258789,,,,12.614999771118164,13.269000053405762,,-1.277,0.0142,A,s,-2.827,Pe*,,,
True,,Pristine_185129.00-300942.8,18:51:28.9992,-30:09:42.804,UCAC4 300-242503,282.8708386578379,-30.161885625329727,0.0368,0.0343,90,O,2020yCat.1350....0G,15.942999839782715,13.324999809265137,,,,13.446999549865723,14.052000045776367,,-1.306,,A,s,-2.624,Pe*,,,
True,,Pristine_185210.30-315413.2,18:52:10.3008,-31:54:13.212,UCAC4 291-203990,283.0429426956729,-31.903665298715005,0.0231,0.0227,90,O,2020yCat.1350....0G,14.996000289916992,12.253999710083008,,,,12.362000465393066,13.00100040435791,,-1.515,,A,s,-2.594,Pe*,,,
True,,Pristine_185347.87-314747.6,18:53:47.8704,-31:47:47.616,UCAC4 292-199976,283.44948111657334,-31.796564242932778,0.0243,0.0223,90,O,2020yCat.1350....0G,15.017999649047852,12.083000183105469,15.380999565124512,,,12.220000267028809,12.901000022888184,16.805999755859375,-1.259,,A,s,-2.596,Pe*,,,
True,,Pristine_185704.51-301021.6,18:57:04.5096,-30:10:21.612,UCAC4 300-244985,284.268822355455,-30.172680313608055,0.0261,0.0235,90,O,2020yCat.1350....0G,15.303000450134277,12.220999717712402,15.407999992370605,,,12.324999809265137,12.963000297546387,16.58799934387207,-1.408,0.0028,A,s,-2.78,Pe*,,,
True,,Pristine_185855.01-301522.2,18:58:55.0104,-30:15:22.212,UCAC4 299-227387,284.72923801907876,-30.256167523802766,0.0267,0.0265,90,O,2020yCat.1350....0G,15.298999786376953,12.234999656677246,15.387999534606934,,,12.359000205993652,13.032999992370605,16.820999145507812,-1.4,0.0281,A,s,-2.757,Pe*,,,
True,,Pristine_190612.10-315504.4,19:06:12.1008,-31:55:04.404,UCAC4 291-209201,286.5504405292467,-31.917902927003613,0.0313,0.0282,90,O,2020yCat.1350....0G,15.402999877929688,12.661999702453613,,,,12.815999984741211,13.39799976348877,,-1.293,0.0469,A,s,-2.633,Pe*,,,
