Name       , Species, l_logepsX, logepsX, e_logepsX
BD +17 3248, Fe I   ,          , -0.75  ,      0.14
BD +17 3248, Ag I   ,          , -0.75  ,      0.14
BD +17 3248, Pd I   ,          , -0.05  ,      0.09
BD +17 3248, Hf II  ,          , -0.76  ,      0.14
BD +17 3248, Cd I   ,          , -0.03  ,       
BD +17 3248, Lu II  ,          , -1.58  ,       
BD +17 3248, Os II  ,          , +0.03  ,       
BD +17 3248, Nb II  ,          , -0.26  ,       
BD +17 3248, Mo I   ,          , +0.17  ,       
BD +17 3248, Ru I   ,          , +0.34  ,       
BD +17 3248, Rh I   ,          , -0.57  ,       
