Name,lambda,Z,EW,logepsX_EW,logepsX_SYN
BooI-2,5210.384,22,n,,
BooI-2,5188.680,22.1,n,,
BooI-2,5226.543,22.1,n,,
BooI-2,5336.786,22.1,90,2.79,2.67
BooI-2,6491.561,22.1,30,2.52,2.50
BooI-2,5206.023,24,n,,n
BooI-2,5345.796,24,50,2.47,2.69
BooI-2,5409.783,24,85,2.67,2.79
BooI-2,5476.904,28,115,3.35,3.17
BooI-2,5754.656,28,25,3.57,3.74
BooI-2,6108.116,28,40,3.82,3.82
BooI-2,6643.630,28,65,3.70,3.57
BooI-2,6767.772,28,50,3.62,3.57
BooI-2,5853.690,56.1,n,,
BooI-2,6141.730,56.1,70,-1.49,-1.47
BooI-2,6496.910,56.1,65,-1.44,-1.57
