Name,System,RA_deg,DEC_deg,RA_hms,DEC_dms,[C/Fe],[N/Fe],[O/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[K/Fe],[CaI/Fe],[ScII/Fe],[TiII/Fe],[CrI/Fe],[Mn/Fe],[Fe/H],[Co/Fe],[Ni/Fe],[Zn/Fe],[Sr/Fe],[Ba/Fe],[Eu/Fe],Teff,logg,Vmic,Reference,Reference2,Reference3
J100714,Segue 1,151.81083333333333,16.031805555555554,10:07:14.6,+16:01:54.5,1.44,,,-0.04,0.38,-0.66,0.39,,0.44,-0.05,0.48,-0.02,-0.50,-1.42,0.08,-0.01,0.15,0.90,1.85,0.73,5394,3.45,1.70,Frebel+2014,,
J100710,Segue 1,151.79208333333332,16.10663888888889,10:07:10.1,+16:06:23.9,0.15,,,-0.26,0.47,-0.90,0.53,,0.58,0.13,0.38,-0.13,-0.49,-1.67,0.00,0.01,<-0.05,<-3.20,<-2.61,<0.00,5079,2.55,1.75,Frebel+2014,,
J100702,Segue 1,151.76041666666666,15.848694444444446,10:07:02.5,+15:50:55.3,0.08,,,0.15,0.52,-0.84,0.42,,0.51,0.10,0.43,-0.15,-0.57,-2.32,-0.10,-0.11,<0.45,<-2.74,<-2.12,<0.30,5161,2.50,1.80,Frebel+2014,,
J100742,Segue 1,151.92791666666665,16.018583333333332,10:07:42.7,+16:01:06.9,-0.10,,,-0.23,0.54,-0.67,0.63,,0.52,0.31,0.45,-0.28,-0.42,-2.40,0.13,0.13,<0.31,<-2.77,<-1.98,<0.48,5242,2.55,1.70,Frebel+2014,,
J100652,Segue 1,151.71791666666664,16.043277777777778,10:06:52.3,+16:02:35.8,1.20,,,0.11,0.59,-0.60,0.41,,0.56,0.35,0.60,-0.32,<-0.33,-3.60,0.52,0.13,<1.44,<-0.90,<-0.45,<2.00,5484,3.30,1.35,Frebel+2014,,
J100639,Segue 1,151.66374999999996,16.002472222222224,10:06:39.3,+16:00:08.9,0.91,,,0.28,0.57,-0.70,1.27,,0.59,-0.02,0.37,-0.42,-0.55,-3.78,0.40,0.15,<1.26,<-1.30,<-0.65,<2.00,5170,2.50,1.55,Frebel+2014,,
Segue1-7,Segue 1,152.05999999999997,16.08361111111111,10:08:14.4,+16:05:01,2.31,,,0.51,0.92,0.20,0.85,,0.86,,0.65,-0.21,-0.55,-3.57,0.35,-0.49,,-1.29,<-0.92,<0.85,4960,1.90,1.30,Frebel+2014,,
LeoIV-S1,Leo IV,173.23329166666664,-0.5077222222222222,11:32:55.99,-00:30:27.8,<1.01,,,-0.04,0.62,,,,0.26,0.00,0.40,-0.44,,-3.09,,0.16,,-0.96,-1.56,,4330,1.00,3.20,Simon+2010,,
LeoIV-S2,Leo IV,173.2445833333333,-0.5805555555555555,11:32:58.7,-00:34:50.0,,,,0.05,0.16,0.08,,,0.05,,-0.14,,,-2.18,,,,<-1.42,<-1.38,,4800,1.50,2.40,Francois+2016,,
UMaII-S1,Ursa Major II,132.47274999999996,63.139427777777776,08:49:53.46,+63:08:21.94,1.23,,,-0.01,0.44,<1.96,<1.36,,0.20,0.25,0.22,-0.26,-0.02,-3.10,<0.95,0.31,0.85,-0.72,-1.34,<0.58,4850,1.40,2.00,Frebel+2010,,
UMaII-S2,Ursa Major II,133.13958333333332,63.08370277777778,08:52:33.50,+63:05:01.33,1.25,,,-0.01,0.47,<2.11,<1.46,,0.38,-0.12,0.13,-0.50,<0.24,-3.23,<0.90,<0.58,0.05,-0.99,-1.14,<0.51,4600,0.60,2.50,Frebel+2010,,
UMaII-S3,Ursa Major II,133.24612499999998,63.09855833333334,08:52:59.07,+63:05:54.81,-0.02,,,-0.15,0.76,-0.34,0.91,,0.53,-0.04,0.21,-0.32,-0.57,-2.34,-0.09,-0.02,0.00,-1.48,-0.56,<-0.38,4550,1.00,2.20,Frebel+2010,,
ComBer-S1,Coma Berenices,186.68112499999998,23.95068611111111,12:26:43.47,+23:57:02.47,0.58,,,-0.74,0.16,<1.19,<0.54,,0.11,-0.42,-0.01,0.01,<-0.68,-2.31,<0.08,-0.56,-0.22,-1.41,-2.33,<-0.01,4700,1.30,2.50,Frebel+2010,,
ComBer-S2,Coma Berenices,186.73108333333332,23.93606388888889,12:26:55.46,+23:56:09.83,0.59,,,-0.16,0.98,<1.66,<1.08,,0.63,0.55,0.40,-0.54,<-0.31,-2.88,<0.52,0.08,0.06,-1.64,-1.91,<-0.04,4600,1.40,2.00,Frebel+2010,,
ComBer-S3,Coma Berenices,186.736125,23.936622222222223,12:26:56.67,+23:56:11.84,0.31,,,0.19,0.50,<1.22,<0.50,,0.60,-0.57,0.29,-0.34,-0.66,-2.53,<0.14,-0.19,0.10,-1.39,-1.31,<-0.39,4600,1.00,2.20,Frebel+2010,,
BooII-28,Bootes II,209.4633333333333,12.860277777777778,13:57:51.2,+12:51:37.0,0.41,,,0.54,0.42,<0.10,<1.00,<0.89,0.45,0.30,0.16,-0.19,-0.67,-2.86,<1.68,<1.17,,<-1.90,<-1.50,,5190,2.20,2.00,Ji+2016a,,
BooII-30,Bootes II,209.49874999999997,12.907333333333334,13:57:59.7,+12:54:26.4,0.51,,,0.45,0.39,-1.18,<1.00,0.69,0.47,-0.20,0.13,-0.18,-0.00,-2.63,-0.18,0.29,,<-2.40,<-1.70,,4936,1.80,2.05,Ji+2016a,,
BooII-34,Bootes II,209.48416666666662,12.868805555555555,13:57:56.2,+12:52:07.7,0.43,,,0.61,0.42,<-0.05,<1.00,0.91,0.50,-0.18,0.17,-0.21,-0.76,-2.92,0.06,0.45,,<-2.00,<-1.50,,5013,2.00,2.00,Ji+2016a,,
BooII-37,Bootes II,209.5058333333333,12.851444444444445,13:58:01.4,+12:51:05.2,0.51,,,0.30,0.26,<0.70,<1.00,<0.50,0.35,<0.50,0.39,-0.21,<0.50,-2.87,<0.91,<0.99,,<-1.20,<-1.30,,5192,2.60,1.65,Ji+2016a,,
Boo-007,Bootes I,209.89804166666661,14.339916666666667,13:59:35.53,+14:20:23.7,0.07,,,,0.30,,,,0.23,,,,,-2.33,,,,,-0.75,,4548,1.37,,Feltzing+2009,Norris+2010,Norris+2008
Boo-009,Bootes I,209.95337499999997,14.328583333333333,13:59:48.81,+14:19:42.9,-0.02,,,0.01,0.13,,,,0.18,0.15,0.27,-0.75,,-2.64,,0.02,<0.28,,-0.89,,4750,1.40,2.50,Ishigaki+2014,Norris+2010,
Boo-033,Bootes I,210.04887499999998,14.417055555555555,14:00:11.73,+14:25:01.4,0.74,,,0.08,0.34,,,,0.13,-0.14,0.06,-0.23,,-2.28,,0.07,,,-0.30,,4750,1.40,2.00,Gilmore+2013,Norris+2010,
Boo-041,Bootes I,210.10762499999998,14.435444444444444,14:00:25.83,+14:26:07.6,-0.24,,,,0.47,,-0.13,,0.22,-0.25,0.70,0.39,,-1.80,,0.15,0.37,,-0.37,,4800,1.40,2.10,Gilmore+2013,Norris+2010,
Boo-094,Bootes I,210.13129166666664,14.567666666666666,14:00:31.51,+14:34:03.6,0.31,,,0.35,0.63,,,,0.32,0.15,0.25,-0.33,,-2.91,,0.09,0.41,-2.43,-0.89,,4550,0.90,2.00,Gilmore+2013,Norris+2010,Ishigak+2014
