name,species,Solar,wavelength,expot,loggf,EW,logeps,ul
lmc3,11.0,6.24,5889.951,0.0,0.108,172.91,3.144,0.0
lmc3,11.0,6.24,5895.924,0.0,-0.194,181.87,3.573,0.0
lmc3,12.0,7.6,4571.096,0.0,-5.623,93.05,5.149,0.0
lmc3,12.0,7.6,4702.991,4.346,-0.44,57.35,4.852,0.0
lmc3,12.0,7.6,5528.405,4.346,-0.498,71.3,5.043,0.0
lmc3,13.0,6.45,3962.0,nan,nan,nan,2.513,0.0
lmc3,14.0,7.51,3906.0,nan,nan,nan,4.194,0.0
lmc3,19.0,5.03,7698.974,0.0,-0.178,31.63,2.51,0.0
lmc3,20.0,6.34,4283.011,1.886,-0.224,50.33,3.508,0.0
lmc3,20.0,6.34,4318.652,1.899,-0.21,49.43,3.494,0.0
lmc3,20.0,6.34,4425.437,1.879,-0.358,37.88,3.438,0.0
lmc3,20.0,6.34,4435.679,1.886,-0.519,31.89,3.505,0.0
lmc3,20.0,6.34,4454.779,1.899,0.258,67.66,3.264,0.0
lmc3,20.0,6.34,4455.887,1.899,-0.518,31.74,3.516,0.0
lmc3,20.0,6.34,5588.749,2.524,0.21,53.7,3.814,0.0
lmc3,20.0,6.34,6122.217,1.886,-0.316,74.06,3.781,0.0
lmc3,20.0,6.34,6162.173,1.899,-0.09,79.51,3.633,0.0
lmc3,20.0,6.34,6439.075,2.524,0.47,60.91,3.602,0.0
lmc3,21.1,3.15,4246.0,nan,nan,nan,-0.225,0.0
lmc3,21.1,3.15,4313.0,nan,nan,nan,-0.08,0.0
lmc3,21.1,3.15,4324.0,nan,nan,nan,-0.078,0.0
lmc3,21.1,3.15,4399.0,nan,nan,nan,-0.042,0.0
lmc3,21.1,3.15,4415.0,nan,nan,nan,0.039,0.0
lmc3,21.1,3.15,4669.0,nan,nan,nan,0.263,0.0
lmc3,21.1,3.15,5526.0,nan,nan,nan,0.27,0.0
lmc3,22.0,4.95,3958.205,0.048,-0.11,101.75,2.43,0.0
