Name,Ion,Z,logepsX_sun,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_logepsX,e_[X/H],e_[X/Fe]
J1018-0155,Si I,14,7.51,1,,4.71,,,,0.01,0.40,,0.36
J1018-0155,K I,19,5.03,2,,2.40,,,,0.18,0.20,,0.07
J1018-0155,Ca I,20,6.34,12,,3.65,,,,0.12,0.16,,0.10
J1018-0155,Sc II,21,3.15,9,,0.17,,,,-0.17,0.11,,0.10
J1018-0155,Ti I,22,4.95,10,,2.08,,,,-0.06,0.29,,0.09
J1018-0155,Ti II,22,4.95,20,,2.27,,,,0.13,0.09,,0.09
J1018-0155,V I,23,3.93,3,,0.87,,,,-0.25,0.32,,0.16
J1018-0155,V II,23,3.93,1,,1.05,,,,-0.07,0.30,,0.29
J1018-0155,Cr I,24,5.64,8,,2.45,,,,-0.38,0.25,,0.06
J1018-0155,Cr II,24,5.64,1,,2.67,,,,-0.16,0.28,,0.27
J1018-0155,Mn I,25,5.43,3,,2.08,,,,-0.54,0.22,,0.10
J1018-0155,Fe I,26,7.50,107,,4.69,,-2.81,,,0.24,0.24,
J1018-0155,Fe II,26,7.50,11,,4.61,,-2.89,,,0.11,0.11,
J1018-0155,Co I,27,4.99,1,,1.84,,,,-0.34,0.31,,0.14
J1018-0155,Ni I,28,6.22,5,,3.30,,,,-0.11,0.23,,0.13
J1018-0155,Zn I,30,4.56,2,,1.83,,,,0.08,0.17,,0.27
J1018-0155,Sr II,38,2.87,2,,-0.72,,,,-0.78,0.25,,0.25
J1018-0155,Y II,39,2.21,2,,-1.39,,,,-0.79,0.16,,0.17
J1018-0155,Zr II,40,2.58,3,,-0.52,,,,-0.29,0.21,,0.21
J1018-0155,Ba II,56,2.18,4,,-0.94,,,,-0.31,0.15,,0.15
J1018-0155,La II,57,1.10,5,,-1.71,,,,0.00,0.23,,0.24
J1018-0155,Ce II,58,1.58,2,,-1.20,,,,0.03,0.26,,0.27
J1018-0155,Pr II,59,0.72,1,,-1.62,,,,0.47,0.27,,0.28
J1018-0155,Nd II,60,1.42,3,,-1.15,,,,0.24,0.20,,0.20
J1018-0155,Sm II,62,0.96,1,,-1.73,,,,0.12,0.45,,0.45
J1018-0155,Eu II,63,0.52,3,,-1.96,,,,0.33,0.15,,0.15
J1018-0155,Dy II,66,1.10,1,,-1.06,,,,0.65,0.43,,0.44
J1018-0155,Pb I,82,2.04,1,<,0.05,,,<,0.82,,,
J1018-0209,Li I,3,,1,<,0.25,,,,,,,
J1018-0209,C-H,6,8.43,1,,4.57,,,,-1.11,0.20,,0.20
J1018-0209,C-N,7,7.83,0,,,,,,,,,
J1018-0209,O I,8,8.69,1,<,6.90,,,<,0.96,,,
J1018-0209,Na I,11,6.24,3,,3.25,,,,-0.24,0.24,,0.08
J1018-0209,Mg I,12,7.60,5,,5.15,,,,0.30,0.15,,0.13
J1018-0209,Al I,13,6.45,1,,3.30,,,,-0.40,0.40,,0.28
J1018-0209,Si I,14,7.51,2,,4.98,,,,0.22,0.26,,0.26
J1018-0209,K I,19,5.03,1,,2.36,,,,0.08,0.21,,0.09
J1018-0209,Ca I,20,6.34,13,,3.63,,,,0.04,0.16,,0.10
J1018-0209,Sc II,21,3.15,8,,0.08,,,,-0.32,0.11,,0.11
J1018-0209,Ti I,22,4.95,11,,2.05,,,,-0.15,0.30,,0.07
