Table 4 
Measured Structural Parameters: King Models


No.,Object,theta_k,epsilon_k,r_c,k,r_t,k,
,,(deg),,(arcmin),(arcmin),
Primary Sample,,,,,,
34,UMi,50 +or- 1,0.55 +or- 0.01,13.53 +or- 0.3,77.3 +or- 0.7,
35,Palomar 14,89 +or- 15,0.09 +or- 0.05,0.64 +or- 0.04,11.0 +or- 0.8,
36,Hercules,-73 +or- 2,0.69 +or- 0.03,3.29 +or- 0.54,39.9 +or- 4.7,
37,NGC 6229,-42 +or- 20,0.04 +or- 0.01,0.09 +or- 0.01,5.25 +or- 0.06,
38,Palomar 15,93 +or- 23,0.04 +or- 0.02,0.91 +or- 0.06,7.92 +or- 0.76,
39,Draco,87 +or- 1,0.30 +or- 0.01,6.62 +or- 0.15,48.1 +or- 1.3,
40,NGC 7006,110 +or- 6,0.07 +or- 0.02,0.12 +or- 0.01,6.35 +or- 0.03,
41,Segue 3,59 +or- 16,0.21 +or- 0.13,0.27 +or- 0.12,3.46 +or- 0.86,
42,Pisces II,99 +or- 11,0.37 +or- 0.10,0.72 +or- 0.58,7.65 +or- 2.69,
43,Palomar 13,5 +or- 32,0.04 +or- 0.04,0.31 +or- 0.05,15.9 +or- 1.5,
44,NGC 7492,62 +or- 49,0.03 +or- 0.02,0.89 +or- 0.02,6.36 +or- 0.07,
Secondary Sample,,,,,,
1,Laevens 2,36 +or- 16,0.41 +or- 0.16,1.39 +or- 0.60,12.9 +or- 3.81,
2,Eridanus III,80 +or- 19,0.63 +or- 0.24,0.32 +or- 0.21,1.45 +or- 1.0,
3,Horologium I,29 +or- 27,0.28 +or- 0.16,1.33 +or- 1.13,6.61 +or- 3.32,
4,Horologium II,135 +or- 10,0.70 +or- 0.10,1.67 +or- 1.23,8.07 +or- 2.76,
5,Reticulum II,69 +or- 2,0.56 +or- 0.03,6.35 +or- 0.75,19.2 +or- 0.9,
6,Eridanus II,82 +or- 6,0.37 +or- 0.07,1.84 +or- 0.9,6.72 +or- 1.14,
7,Pictoris I,72 +or- 14,0.58 +or- 0.20,0.64 +or- 0.44,5.55 +or- 2.22,
9,Laevens 1,111 +or- 15,0.14 +or- 0.10,0.45 +or- 0.14,2.01 +or- 0.65,
9,Hydra II,14 +or- 20,0.23 +or- 0.13,1.23 +or- 0.57,8.22 +or- 2.21,
10,Indus I,cdots,cdots,cdots,cdots,
11,Balbinot 1,154 +or- 7,0.32 +or- 0.13,0.38 +or- 0.13,6.02 +or- 1.00,
,Kim 1,119 +or- 11,0.60 +or- 0.19,1.15 +or- 0.25,3.07 +or- 0.93,
12,Grus I,9 +or- 16,0.57 +or- 0.23,1.26 +or- 0.47,5.43 +or- 3.73,
13,Phoenix II,-19 +or- 11,0.76 +or- 0.14,0.91 +or- 0.72,8.14 +or- 4.46,
Note.
^a Battaglia et al. (2006).
