Table 5 
Measured Structural Parameters: Sersic Models


No.,Object,theta_s,epsilon_s,n_s,r_e,s,r_e,s,
,,(deg),,,(arcmin),(pc),
Primary Sample,,,,,,,
43,Palomar 13,3 +or- 19,0.10 +or- 0.06,2.22 +or- 0.19,1.26 +or- 0.09,9.53 +or- 0.68,
44,NGC 7492,-5 +or- 18,0.02 +or- 0.02,1.00 +or- 0.02,1.25 +or- 0.01,9.56 +or- 0.01,
Secondary Sample,,,,,,,
1,Laevens 2,36 +or- 16,0.39 +or- 0.11,1.45 +or- 0.45,2.00 +or- 0.40,17.4 +or- 3.5,
2,Eridanus III,62 +or- 11,0.32 +or- 0.13,1.64 +or- 0.27,0.29 +or- 0.23,7.34 +or- 5.82,
3,Horologium I,50 +or- 26,0.31 +or- 0.16,0.98 +or- 0.47,1.54 +or- 0.34,35.4 +or- 7.8,
4,Horologium II,130 +or- 16,0.86 +or- 0.19,1.09 +or- 0.37,2.83 +or- 1.31,64.2 +or- 29.7,
5,Reticulum II,69 +or- 2,0.56 +or- 0.03,0.60 +or- 0.05,5.59 +or- 0.21,48.8 +or- 1.8,
6,Eridanus II,82 +or- 7,0.37 +or- 0.06,0.77 +or- 0.19,1.81 +or- 0.17,200 +or- 19,
7,Pictoris I,72 +or- 10,0.24 +or- 0.19,1.51 +or- 0.31,0.66 +or- 0.32,21.9 +or- 10.6,
8,Laevens 1,109 +or- 25,0.11 +or- 0.10,0.77 +or- 0.36,0.49 +or- 0.07,20.7 +or- 2.9,
9,Hydra II,29 +or- 25,0.17 +or- 0.13,1.20 +or- 0.46,1.50 +or- 0.32,58.5 +or- 12.5,
10,Indus I,5 +or- 20,0.72 +or- 0.29,1.22 +or- 0.44,0.87 +or- 0.45,25.3 +or- 13.0,
11,Balbinot 1,157 +or- 10,0.35 +or- 0.10,1.48 +or- 0.23,0.84 +or- 0.11,7.79 +or- 1.02,
,Kim 1,127 +or- 24,0.67 +or- 0.22,1.24 +or- 0.55,0.93 +or- 0.22,5.36 +or- 1.27,
12,Grus I,11 +or- 32,0.54 +or- 0.26,1.33 +or- 0.31,2.08 +or- 0.87,72.6 +or- 30.4,
13,Phoenix II,-19 +or- 14,0.61 +or- 0.15,1.14 +or- 0.27,1.61 +or- 0.27,38.9 +or- 6.5,
