Name,Species,lambda,chi,loggf,l_EW,EW,l_logepsX,logepsX
BooI-980,C-H,4313,,,,syn,,4.97
BooI-980,C-H,4323,,,,syn,,4.97
BooI-980,Na I,5889.950,0.00,0.108,,153.6,,3.56
BooI-980,Na I,5895.924,0.00,-0.194,,129.9,,3.46
BooI-980,Mg I,3829.355,2.71,-0.208,,163.7,,4.96
BooI-980,Mg I,3838.292,2.72,0.490,,199.2,,4.61
BooI-980,Mg I,3986.753,4.35,-1.030,,,,
BooI-980,Mg I,4057.505,4.35,-0.890,,,,
BooI-980,Mg I,4167.271,4.35,-0.710,,,,
BooI-980,Mg I,4571.096,0.00,-5.688,,46.2,,4.92
BooI-980,Mg I,4702.990,4.33,-0.380,,44.3,,4.73
BooI-980,Mg I,5172.684,2.71,-0.450,,166.3,,4.90
BooI-980,Mg I,5183.604,2.72,-0.239,,169.5,,4.73
BooI-980,Mg I,5528.405,4.34,-0.498,,49.8,,4.94
BooI-980,Al I,3944.006,0.00,-0.644,,88.4,,2.42
BooI-980,Al I,3961.520,0.01,-0.340,,119.2,,2.81
BooI-980,Si I,3905.523,1.91,-1.092,,167.6,,4.87
BooI-980,Si I,4102.936,1.91,-3.140,,63.3,,4.90
BooI-980,Ca I,4226.730,0.00,0.244,,183.4,,3.47
BooI-980,Ca I,4283.010,1.89,-0.224,,,,
BooI-980,Ca I,4318.650,1.89,-0.210,,,,
BooI-980,Ca I,4425.440,1.88,-0.358,,38.6,,3.61
BooI-980,Ca I,4434.960,1.89,-0.010,,53.9,,3.55
BooI-980,Ca I,4435.690,1.89,-0.519,,,,
BooI-980,Ca I,4454.780,1.90,0.260,,60.9,,3.42
BooI-980,Ca I,4455.890,1.90,-0.530,,31.6,,3.67
BooI-980,Ca I,5581.971,2.52,-0.555,,,,
BooI-980,Ca I,5588.760,2.52,0.210,,,,
BooI-980,Ca I,5590.120,2.52,-0.571,,,,
BooI-980,Ca I,5594.468,2.52,0.097,,,,
BooI-980,Ca I,5598.487,2.52,-0.087,,,,
BooI-980,Ca I,5601.285,2.53,-0.523,,,,
BooI-980,Ca I,5857.450,2.93,0.230,,,,
BooI-980,Ca I,6102.720,1.88,-0.790,,,,
BooI-980,Ca I,6122.220,1.89,-0.315,,36.9,,3.47
BooI-980,Ca I,6162.170,1.90,-0.089,,63.0,,3.70
BooI-980,Ca I,6169.055,2.52,-0.797,,,,
BooI-980,Ca I,6169.559,2.53,-0.478,,,,
BooI-980,Ca I,6439.070,2.52,0.470,,53.6,,3.71
BooI-980,Ca I,6449.810,2.52,-0.502,,,,
BooI-980,Ca I,6499.649,2.52,-0.818,,,,
BooI-980,Ca I,6717.685,2.71,-0.524,,,,
BooI-980,Sc II,4246.820,HFS,,,116.7,,0.19
BooI-980,Sc II,4314.083,HFS,,,74.6,,-0.04
BooI-980,Sc II,4324.998,HFS,,,59.0,,-0.03
BooI-980,Sc II,4400.389,HFS,,,59.8,,0.11
BooI-980,Sc II,4415.544,HFS,,,56.7,,0.16
BooI-980,Sc II,5031.010,HFS,,,,,
BooI-980,Sc II,5239.811,HFS,,,,,
BooI-980,Sc II,5526.785,HFS,,,18.8,,0.09
BooI-980,Sc II,5657.907,HFS,,,,,
BooI-980,Ti I,3989.760,0.02,-0.062,,74.5,,2.34
BooI-980,Ti I,3998.640,0.05,0.010,,72.8,,2.27
BooI-980,Ti I,4512.730,0.84,-0.424,,,,
BooI-980,Ti I,4518.020,0.83,-0.269,,26.7,,2.55
BooI-980,Ti I,4533.249,0.85,0.532,,40.5,,2.05
BooI-980,Ti I,4534.780,0.84,0.336,,39.3,,2.20
BooI-980,Ti I,4535.567,0.83,0.120,,,,
BooI-980,Ti I,4544.687,0.82,-0.520,,,,
BooI-980,Ti I,4656.470,0.00,-1.289,,,,
BooI-980,Ti I,4681.910,0.05,-1.015,,18.3,,2.13
BooI-980,Ti I,4840.870,0.90,-0.453,,,,
BooI-980,Ti I,4991.070,0.84,0.436,,,,
BooI-980,Ti I,4999.500,0.83,0.306,,,,
BooI-980,Ti I,5007.206,0.82,0.168,,,,
BooI-980,Ti I,5020.024,0.84,-0.358,,,,
BooI-980,Ti I,5024.843,0.82,-0.546,,,,
BooI-980,Ti I,5035.902,1.46,0.260,,,,
BooI-980,Ti I,5036.463,1.44,0.186,,,,
BooI-980,Ti I,5038.396,1.43,0.069,,,,
BooI-980,Ti I,5039.960,0.02,-1.130,,,,
BooI-980,Ti I,5064.650,0.05,-0.935,,,,
BooI-980,Ti I,5173.740,0.00,-1.062,,32.3,,2.40
BooI-980,Ti I,5192.970,0.02,-0.950,,,,
BooI-980,Ti I,5210.390,0.05,-0.828,,36.6,,2.32
BooI-980,Ti II,4012.396,0.57,-1.750,,86.4,,2.25
BooI-980,Ti II,4025.120,0.61,-1.980,,79.5,,2.38
BooI-980,Ti II,4028.338,1.89,-0.960,,53.4,,2.40
BooI-980,Ti II,4161.527,1.08,-2.160,,30.6,,2.19
BooI-980,Ti II,4163.634,2.59,-0.400,,,,
BooI-980,Ti II,4290.219,1.16,-0.930,,97.0,,2.33
BooI-980,Ti II,4300.049,1.18,-0.490,,103.6,,2.07
BooI-980,Ti II,4330.723,1.18,-2.060,,,,
BooI-980,Ti II,4337.914,1.08,-0.960,,88.4,,2.05
BooI-980,Ti II,4394.059,1.22,-1.780,,46.0,,2.24
BooI-980,Ti II,4395.031,1.08,-0.540,,132.6,,2.62
BooI-980,Ti II,4395.839,1.24,-1.930,,37.0,,2.25
BooI-980,Ti II,4399.765,1.24,-1.190,,61.7,,1.95
BooI-980,Ti II,4409.520,1.23,-2.370,,,,
BooI-980,Ti II,4417.714,1.17,-1.190,,91.8,,2.46
