Name,Simbad_Identifier,Teff,logg,Fe/H,Vmic
J100714,SDSS J100714+160154,5394,3.45,-1.42,1.70
J100710,SDSS J100710+160623,5079,2.55,-1.67,1.75
J100702,SDSS J100702+155055,5161,2.50,-2.32,1.80
J100742,SDSS J100742+160106,5242,2.55,-2.40,1.70
J100652,SDSS J100652+160235,5484,3.30,-3.60,1.35
J100639,SDSS J100639+160008,5170,2.50,-3.78,1.55
