Name,Species,lambda,chi,loggf,Ref,EW,l_logepsX,logepsX,e_logepsX
Seg2-J021933,Ba II,6496.91,0.60,-0.41,24,,,-1.65,0.09
Seg2-J021933,La II,3988.51,0.40,0.21,25,,<,-1.36,
Seg2-J021933,La II,3995.74,0.17,-0.06,25,,<,-1.37,
Seg2-J021933,La II,4086.71,0.00,-0.07,25,,<,-1.74,
Seg2-J021933,La II,4123.22,0.32,0.13,25,,<,-1.72,
Seg2-J021933,Ce II,3999.24,0.29,0.06,26,,<,-0.68,
Seg2-J021933,Ce II,4073.47,0.48,0.21,26,,<,-0.84,
Seg2-J021933,Ce II,4083.22,0.70,0.27,26,,<,-0.96,
Seg2-J021933,Ce II,4418.78,0.86,0.27,26,,<,-1.30,
Seg2-J021933,Ce II,4562.36,0.48,0.21,26,,<,-1.09,
Seg2-J021933,Pr II,4062.80,0.42,0.33,27,,<,-0.97,
Seg2-J021933,Pr II,4179.40,0.20,0.46,27,,<,-1.59,
Seg2-J021933,Pr II,4222.95,0.06,0.23,27,,<,-1.53,
Seg2-J021933,Pr II,4408.81,0.00,0.05,27,,<,-1.44,
Seg2-J021933,Nd II,4109.45,0.32,0.35,28,,<,-1.32,
Seg2-J021933,Nd II,4462.98,0.56,0.04,28,,<,-1.22,
Seg2-J021933,Nd II,4706.54,0.00,-0.71,28,,<,-1.31,
Seg2-J021933,Nd II,4825.48,0.18,-0.42,28,,<,-1.32,
Seg2-J021933,Sm II,4467.34,0.66,0.15,29,,<,-1.41,
Seg2-J021933,Eu II,3819.67,0.00,0.51,30,,<,-1.66,
Seg2-J021933,Eu II,3907.11,0.21,0.17,30,,<,-1.30,
Seg2-J021933,Eu II,4129.72,0.00,0.22,30,,<,-2.59,
Seg2-J021933,Eu II,4205.04,0.00,0.21,30,,<,-2.55,
Seg2-J021933,Gd II,4049.85,0.99,0.48,31,,<,-0.72,
Seg2-J021933,Gd II,4130.37,0.73,-0.02,32,,<,-0.79,
Seg2-J021933,Gd II,4251.73,0.38,-0.22,31,,<,-0.61,
Seg2-J021933,Tb II,4002.57,0.64,0.10,33,,<,-0.41,
Seg2-J021933,Tb II,4752.53,0.00,-0.55,33,,<,-1.34,
Seg2-J021933,Dy II,3944.68,0.00,0.11,34,,<,-1.30,
Seg2-J021933,Dy II,4103.31,0.10,-0.38,34,,<,-1.16,
Seg2-J021933,Dy II,4449.70,0.00,-1.03,34,,<,-0.88,
Seg2-J021933,Ho II,3810.71,0.00,0.19,35,,<,-1.13,
Seg2-J021933,Ho II,3890.97,0.08,0.46,35,,<,-1.38,
Seg2-J021933,Ho II,4045.45,0.00,-0.05,35,,<,-1.61,
Seg2-J021933,Er II,3729.52,0.00,-0.59,36,,<,-0.27,
Seg2-J021933,Er II,3830.48,0.00,-0.22,36,,<,-0.69,
Seg2-J021933,Er II,3896.23,0.06,-0.12,36,,<,-0.78,
Seg2-J021933,Tm II,3848.02,0.00,-0.14,37,,<,-1.38,
Seg2-J021933,Tm II,3996.51,0.00,-1.20,37,,<,-0.53,
Seg2-J021933,Yb II,3694.20,0.00,-0.30,38,,<,-0.76,
Seg2-J021933,Hf II,3918.09,0.45,-1.14,39,,<,-0.17,
Seg2-J021933,Hf II,4093.15,0.45,-1.15,39,,<,-0.47,
Seg2-J021933,Ir I,3800.12,0.00,-1.44,40,,<,0.08,
Seg2-J021933,Pb I,4057.81,1.32,-0.22,41,,<,0.93,
