Reference,Ref,Name,Simbad_Identifier,Loc,RA_hms,DEC_dms,RA_deg,DEC_deg,lambda,beta,comp,Vel,vhel,vhelcorr,Teff,logg,mh,Vmic,etot_Teff,etot_logg,etot_mh,etot_Vmic,UT-DATE,UT-TIME,BINNING,EXPTIME,SLITSIZE,[C/Fe],e_[C/Fe],ul[C/Fe],[C/Fe]f,[C/H],e_[C/H],ul[C/H],[C/Fe]c,ul[C/Fe]f,[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[Sc/H],[Ti/H],[Cr/H],[CrII/H],[Mn/H],[Co/H],[Ni/H],[Zn/H],[Sr/H],[Y/H],[Zr/H],[Ba/H],[La/H],[Eu/H],[Dy/H],[Fe/H],ul[Na/H],ul[Mg/H],ul[Al/H],ul[Si/H],ul[Ca/H],ul[Sc/H],ul[Ti/H],ul[Cr/H],ul[CrII/H],ul[Mn/H],ul[Co/H],ul[Ni/H],ul[Zn/H],ul[Sr/H],ul[Y/H],ul[Zr/H],ul[Ba/H],ul[La/H],ul[Eu/H],ul[Dy/H],e_[Na/H],e_[Mg/H],e_[Al/H],e_[Si/H],e_[Ca/H],e_[Sc/H],e_[Ti/H],e_[Cr/H],e_[CrII/H],e_[Mn/H],e_[Co/H],e_[Ni/H],e_[Zn/H],e_[Sr/H],e_[Y/H],e_[Zr/H],e_[Ba/H],e_[La/H],e_[Eu/H],e_[Dy/H],e_[Fe/H],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[Ca/Fe],[Sc/Fe],[Ti/Fe],[Cr/Fe],[CrII/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Zn/Fe],[Sr/Fe],[Y/Fe],[Zr/Fe],[Ba/Fe],[La/Fe],[Eu/Fe],[Dy/Fe],[alpha/Fe],ul[Na/Fe],ul[Mg/Fe],ul[Al/Fe],ul[Si/Fe],ul[Ca/Fe],ul[Sc/Fe],ul[Ti/Fe],ul[Cr/Fe],ul[CrII/Fe],ul[Mn/Fe],ul[Co/Fe],ul[Ni/Fe],ul[Zn/Fe],ul[Sr/Fe],ul[Y/Fe],ul[Zr/Fe],ul[Ba/Fe],ul[La/Fe],ul[Eu/Fe],ul[Dy/Fe],ul[alpha/Fe],e_[Na/Fe],e_[Mg/Fe],e_[Al/Fe],e_[Si/Fe],e_[Ca/Fe],e_[Sc/Fe],e_[Ti/Fe],e_[Cr/Fe],e_[CrII/Fe],e_[Mn/Fe],e_[Co/Fe],e_[Ni/Fe],e_[Zn/Fe],e_[Sr/Fe],e_[Y/Fe],e_[Zr/Fe],e_[Ba/Fe],e_[La/Fe],e_[Eu/Fe],e_[Dy/Fe],[Eu/Mg],[Eu/FeII],[Sr/Ba],[Sr/Mg],[Eu/Ba],[Eu/Sr],e_[Eu/Mg],e_[Eu/FeII],e_[Sr/Ba],e_[Sr/Mg],e_[Eu/Ba],e_[Eu/Sr]
Ou+2025,OU25,srg421,Gaia DR3 620763790933951488,DW,09:36:00.01,+17:07:21.40,144.000042,17.12261,216.9,11.58,stream,169.7,141.0,-28.68,4655,1.14,-2.8,2.23,122,0.2,0.21,0.27,2023-05-24,84175,2x2,1320,$1arcs0$,-0.33,0.18,,0.39,-3.14,0.29,,0.72,,-2.47,-2.31,-3.36,-2.26,-2.51,-2.77,-2.49,-3.04,-2.76,-3.38,-2.56,-2.57,-2.7,-2.63,-2.72,-2.56,-2.41,-2.19,-1.75,-1.62,-2.81,,,,,,,,,,,,,,,,,,,,,0.22,0.14,0.28,0.19,0.11,0.1,0.12,0.17,0.08,0.11,0.18,0.16,0.06,0.24,0.12,0.09,0.17,0.12,0.09,0.14,0.16,0.34,0.5,-0.55,0.55,0.3,0.11,0.4,-0.23,0.12,-0.57,0.24,0.24,0.11,0.25,0.16,0.32,0.47,0.69,1.14,1.27,0.45,,,,,,,,,,,,,,,,,,,,,,0.1,0.07,0.16,0.06,0.06,0.04,0.07,0.06,0.05,0.08,0.12,0.08,0.13,0.21,0.08,0.05,0.13,0.08,0.06,0.14,0.56,1.14,-0.22,-0.32,0.66,0.88,0.14,0.06,0.1,0.21,0.14,0.23
Ou+2025,OU25,srg422,Gaia DR3 626434144197068160,DW,09:57:30.02,+18:30:17.42,149.375083,18.50484,221.71,9.19,stream,-32.0,-60.9,-28.91,5026,2.06,-2.02,1.9,123,0.2,0.23,0.35,2023-05-25,82094,2x2,4163,$1arcs0$,-0.62,0.2,,-0.58,-2.55,0.23,,0.04,,-1.7,-1.84,-2.72,-1.66,-1.69,-1.78,-1.42,-2.13,-1.76,-2.37,-1.81,-1.85,-1.8,-1.85,-2.04,-1.66,-1.62,-1.72,-1.31,-1.42,-1.93,,,,,,,,,,,,,,,,,,,,,0.23,0.19,0.26,0.2,0.15,0.15,0.18,0.24,0.11,0.12,0.23,0.14,0.06,0.14,0.11,0.08,0.24,0.09,0.1,0.13,0.19,0.24,0.1,-0.79,0.28,0.25,-0.04,0.32,-0.19,-0.02,-0.43,0.12,0.09,0.13,-0.1,-0.3,0.09,0.12,0.02,0.43,0.33,0.24,,,,,,,,,,,,,,,,,,,,,,0.07,0.13,0.12,0.09,0.08,0.1,0.1,0.08,0.12,0.16,0.2,0.11,0.16,0.11,0.12,0.13,0.17,0.14,0.16,0.17,0.53,0.43,-0.22,-0.01,0.31,0.54,0.2,0.16,0.15,0.16,0.23,0.16
Ou+2025,OU25,srg423,Gaia DR3 722010223233565952,DW,10:21:32.33,+21:46:38.75,155.384708,21.77743,226.41,4.64,stream,-13.9,-42.7,-28.76,4722,1.29,-2.51,2.1,122,0.2,0.21,0.29,2023-05-24,85846,2x2,2100,$1arcs0$,-0.29,0.15,,0.32,-2.81,0.1,,0.61,,-2.24,-2.2,-3.15,-2.06,-2.2,-2.38,-2.19,-2.74,-2.54,-3.0,-2.33,-2.5,-2.4,-2.59,-2.9,-2.57,-2.93,-2.39,-2.26,-2.26,-2.52,,,,,,,,,,,,,,,,,,,,,0.16,0.09,0.13,0.16,0.06,0.11,0.11,0.11,0.09,0.05,0.1,0.09,0.04,0.22,0.08,0.07,0.08,0.07,0.08,0.1,0.08,0.27,0.31,-0.64,0.45,0.32,0.11,0.3,-0.22,-0.04,-0.49,0.19,0.01,0.11,-0.09,-0.4,-0.07,-0.44,0.1,0.24,0.24,0.35,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.11,0.15,0.04,0.06,0.06,0.06,0.09,0.08,0.07,0.08,0.06,0.16,0.07,0.07,0.05,0.09,0.08,0.08,-0.06,0.24,0.34,-0.38,0.67,0.33,0.13,0.08,0.16,0.19,0.08,0.22
Ou+2025,OU25,srg424,Gaia DR3 720678611573056384,DW,10:28:03.83,+20:16:15.92,157.015958,20.27109,228.3,5.67,stream,-12.0,-40.9,-28.88,4814,1.5,-2.49,1.9,122,0.2,0.21,0.31,2023-05-25,85434,2x2,1500,$1arcs0$,-0.07,0.18,,0.43,-2.5,0.28,,0.5,,-2.15,-2.13,-2.77,-2.03,-2.13,-2.38,-2.14,-2.78,-2.65,-2.85,-2.22,-2.35,-2.37,-2.79,-2.9,-2.35,-3.23,-2.32,-2.45,-2.01,-2.43,,,,,,,,,,,,,,,,-2.35,,-2.32,,-2.01,0.25,0.16,0.17,0.24,0.12,0.12,0.15,0.16,0.1,0.09,0.12,0.15,0.05,0.31,0.08,,0.12,,0.13,,0.17,0.28,0.31,-0.34,0.4,0.3,0.11,0.34,-0.34,-0.17,-0.42,0.22,0.08,0.06,-0.31,-0.42,0.14,-0.75,0.16,0.03,0.47,0.34,,,,,,,,,,,,,,,,0.14,,0.16,,0.47,,0.1,0.09,0.11,0.11,0.07,0.08,0.1,0.07,0.1,0.11,0.07,0.08,0.14,0.27,0.09,,0.1,,0.13,,-0.32,0.03,0.44,-0.66,0.78,0.34,0.2,0.13,0.29,0.3,0.12,0.33
Ou+2025,OU25,srg426,Gaia DR3 3987367858589682432,DW,10:35:36.77,+20:33:51.44,158.903208,20.56429,229.92,4.88,stream,-21.5,-50.2,-28.75,4750,1.36,-2.94,2.23,122,0.2,0.22,0.28,2023-05-25,1760,2x2,2100,$1arcs0$,0.02,0.19,,0.53,-2.91,0.3,,0.51,,-2.82,-2.61,-3.66,-2.53,-2.74,-3.0,-2.77,-3.21,-2.89,-3.5,-2.85,-2.96,-2.87,-3.36,-3.28,-2.72,-3.54,-2.34,-2.77,-2.26,-2.93,,,,,,,,,,,,,,,,-2.72,,-2.34,,-2.26,0.23,0.13,0.26,0.22,0.11,0.09,0.1,0.18,0.1,0.12,0.15,0.17,0.05,0.27,0.11,,0.1,,0.08,,0.14,0.11,0.32,-0.72,0.4,0.19,-0.14,0.08,-0.28,-0.04,-0.56,0.08,-0.03,0.06,-0.51,-0.43,0.13,-0.69,0.51,0.08,0.6,0.26,,,,,,,,,,,,,,,,0.13,,0.51,,0.6,,0.15,0.06,0.15,0.08,0.06,0.06,0.07,0.1,0.09,0.11,0.09,0.06,0.1,0.24,0.11,,0.08,,0.06,,-0.16,0.08,0.18,-0.75,0.77,0.59,0.14,0.06,0.25,0.26,0.06,0.27
Ou+2025,OU25,srg428,Gaia DR3 3897736907644138368,DW,11:49:35.97,+06:15:31.86,177.399875,6.25885,252.04,11.78,stream,219.9,193.0,-26.92,4790,1.48,-2.4,2.15,123,0.2,0.22,0.3,2023-05-25,4156,2x2,1200,$1arcs0$,-0.67,0.2,,-0.18,-3.06,0.26,,0.49,,-2.16,-2.13,-3.31,-2.04,-2.13,-2.11,-2.05,-2.68,-2.34,-2.82,-2.27,-2.35,-2.38,-2.56,-2.59,-2.3,-2.28,-2.12,-1.7,-1.38,-2.39,,,,,,,,,,,,,,,,,,,,,0.25,0.16,0.37,0.2,0.13,0.15,0.15,0.2,0.09,0.1,0.18,0.15,0.06,0.3,0.11,0.08,0.18,0.1,0.12,0.07,0.18,0.23,0.26,-0.92,0.35,0.26,0.23,0.29,-0.29,0.0,-0.43,0.12,0.04,0.01,-0.22,-0.25,0.04,0.06,0.21,0.64,0.96,0.29,,,,,,,,,,,,,,,,,,,,,,0.09,0.07,0.28,0.07,0.07,0.09,0.09,0.05,0.07,0.11,0.14,0.09,0.15,0.23,0.09,0.08,0.12,0.09,0.11,0.07,0.43,0.64,-0.28,-0.43,0.58,0.86,0.18,0.11,0.15,0.25,0.17,0.29
Ou+2025,OU25,srg430,Gaia DR3 3918753557013284608,DW,12:05:57.78,+11:26:28.07,181.49075,11.44113,253.52,5.37,stream,7.0,-19.2,-26.15,4280,0.4,-2.42,2.15,122,0.2,0.21,0.25,2023-05-25,5531,2x2,2106,$1arcs0$,-0.86,0.22,,-0.07,-3.28,0.24,,0.79,,-1.98,-2.05,-3.07,-2.26,-2.11,-2.27,-1.97,-2.52,-2.38,-2.67,-2.31,-2.5,-2.5,-2.37,-2.93,-2.59,-2.84,-2.66,-2.35,-2.18,-2.42,,,,,,,,,,,,,,,,,,,,,0.32,0.18,0.42,0.22,0.16,0.14,0.15,0.3,0.13,0.15,0.21,0.17,0.05,0.12,0.1,0.11,0.13,0.11,0.09,0.07,0.21,0.44,0.37,-0.65,0.16,0.31,0.01,0.31,-0.1,-0.1,-0.25,0.11,-0.08,-0.08,-0.09,-0.65,-0.31,-0.56,-0.38,-0.07,0.1,0.29,,,,,,,,,,,,,,,,,,,,,,0.13,0.07,0.26,0.16,0.06,0.08,0.11,0.09,0.12,0.09,0.1,0.06,0.24,0.11,0.11,0.1,0.1,0.13,0.13,0.1,-0.3,-0.07,0.48,-0.31,0.49,0.01,0.24,0.13,0.06,0.18,0.11,0.12
Ou+2025,OU25,sgr431,Gaia DR3 3707325064494295552,DW,12:36:03.09,+04:22:23.34,189.012875,4.37315,263.42,8.34,stream,39.4,10.4,-28.97,4659,1.15,-2.82,2.12,123,0.2,0.23,0.39,2023-06-25,81879,2x2,4794,$1arcs0$,-0.1,0.2,,0.6,-2.93,0.3,,0.7,,-2.86,-2.91,-3.92,-2.2,-2.77,-2.97,-2.68,-3.15,-2.94,-3.14,-2.58,-2.69,-2.34,-1.83,-2.74,-2.52,-3.02,-2.48,-2.39,-2.03,-2.82,,,,,,,,,,,,,,,,-2.52,,,,-2.03,0.24,0.24,0.32,0.23,0.12,0.11,0.15,0.26,0.08,0.13,0.18,0.19,0.07,0.14,0.11,,0.16,0.1,0.15,,0.18,-0.03,-0.08,-1.09,0.62,0.05,-0.11,0.19,-0.32,-0.08,-0.31,0.24,0.13,0.48,1.03,0.13,0.35,-0.16,0.39,0.47,0.84,0.28,,,,,,,,,,,,,,,,0.35,,,,0.84,,0.11,0.16,0.15,0.14,0.11,0.1,0.12,0.14,0.1,0.12,0.12,0.12,0.13,0.14,0.11,,0.12,0.12,0.14,,0.52,0.47,1.19,1.08,0.63,-0.56,0.26,0.14,0.08,0.18,0.14,0.13
Ou+2025,OU25,sgr434,Gaia DR3 3708871630677912320,DW,12:48:19.63,+05:44:47.26,192.081792,5.74646,265.49,5.69,stream,19.9,-8.8,-28.69,4846,1.57,-2.68,1.89,123,0.2,0.22,0.32,2023-06-25,83246,2x2,2754,$1arcs0$,0.05,0.18,,0.4,-2.66,0.27,,0.35,,-1.76,-2.48,-3.24,-1.95,-2.26,-2.66,-2.38,-3.03,-2.45,-3.25,-2.37,-2.54,-2.57,-2.3,-2.75,-2.37,-3.22,,-2.58,-2.54,-2.7,,,,,,,,,,,,,,,,,,,-2.58,-2.54,0.23,0.14,0.4,0.21,0.12,0.1,0.14,0.18,0.07,0.12,0.14,0.15,0.05,0.22,0.07,0.08,0.1,,,,0.16,0.94,0.22,-0.54,0.76,0.44,-0.02,0.27,-0.33,0.2,-0.55,0.33,0.16,0.13,0.35,-0.1,0.28,-0.57,,0.06,0.11,0.48,,,,,,,,,,,,,,,,,,,0.06,0.11,,0.09,0.08,0.27,0.1,0.08,0.08,0.1,0.05,0.08,0.12,0.05,0.03,0.12,0.18,0.1,0.09,0.1,,,,,,0.91,0.18,,,,,0.18,0.19,,
Ou+2025,OU25,srg438,Gaia DR3 3742595885684658560,DW,13:17:16.33,+12:51:15.12,199.318042,12.8542,268.31,-3.98,stream,-79.6,-100.8,-21.25,5274,2.6,-2.52,1.38,123,0.2,0.22,0.3,2023-05-26,10681,2x2,3990,$1arcs0$,0.2,0.15,,0.21,-2.33,0.25,,0.01,,-3.1,-2.75,-4.0,-2.52,-2.59,-3.08,-2.6,-2.88,,-3.12,-2.98,-2.8,-2.23,-3.15,-2.42,-2.23,-3.43,-2.16,-2.04,-1.11,-2.53,,,,,,,,,,,,,-2.23,,-2.42,-2.23,,-2.16,-2.04,-1.11,0.17,0.14,0.24,0.19,0.12,0.14,0.18,0.19,,0.14,0.16,0.28,,0.3,,,0.16,,,,0.16,-0.56,-0.21,-1.46,0.02,-0.06,-0.48,-0.01,-0.35,,-0.58,-0.45,-0.27,0.3,-0.56,0.18,0.37,-0.84,0.43,0.56,1.49,-0.06,,,,,,,,,,,,,0.3,,0.18,0.37,,0.43,0.56,1.49,,0.04,0.1,0.11,0.08,0.07,0.08,0.09,0.05,,0.12,0.09,0.15,,0.24,,,0.09,,,,,,0.28,-0.4,,,,,0.25,0.26,,
