JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7395,1.0,ROE10,Roederer+2010,HE 2141-3741,HE 2141-3741,,,,EMP,,,,,21:44:51.17,-37:27:55.08,326.2132,-37.4653,,,,,,,,,,,,,-3.14,,,,,,,,,,,,,,,,,,,,,4.36,,,,1.83,,,,,,,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7396,1.0,ROE10,Roederer+2010,HE 2334-0604,HE 2334-0604,,,,EMP,,,,,23:37:28.68,-05:47:56.76,354.3695,-5.7991,,,,,,,,,,,,,-3.43,,,,,,,,,,,,,,,,,,,,,4.07,,,,1.42,,,,,,,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7397,1.0,ROE10,Roederer+2010,BPS CS 22953-0003,BPS CS 22953-0003,,,,VMP,,,,,01:02:15.86,-61:43:45.84,15.5661,-61.7294,,,,,,,,,,,,,-2.84,,,,,,,,,,,,,,,,,,,,,4.66,,,,1.91,,,,,,,-0.49,,,,,,,,,,,,-1.08,,,,,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7398,1.0,ROE10,Roederer+2010,BPS CS 22956-0050,BPS CS 22956-0050,,,,EMP,,,,,21:58:05.83,-65:13:27.12,329.5243,-65.2242,,,,,,,,,,,,,-3.33,,,,,,,,,,,,,,,,,,,,,4.17,,,,1.57,,,,,,,-1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7399,1.0,ROE10,Roederer+2010,2MASS J23485776-2939228,2MASS J23485776-2939228,,,,VMP,,,,,23:48:57.77,-29:39:22.68,357.2407,-29.6563,,,,,,,,,,,,,-2.62,,,,,,,,,,,,,,,,,,,,,4.88,,,,2.24,,,,,,,-0.67,,,,,,,,,,,,-1.27,,,,,-1.69,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7400,1.0,ROE10,Roederer+2010,HE 0305-5442,HE 0305-5442,,,,EMP,,,,,03:06:29.52,-54:30:32.40,46.623,-54.509,,,,,,,,,,,,,-3.56,,,,,,,,,,,,,,,,,,,,,3.94,,,,1.46,,,,,,,,,,,,,,,,,,,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7401,1.0,ROE10,Roederer+2010,BPS CS 29491-0053,BPS CS 29491-0053,,,,EMP,,,,,22:36:56.30,-28:31:06.60,339.2346,-28.5185,,,,,,,,,,,,,-3.04,,,,,,,,,,,,,,,,,,,,,4.46,,,,1.83,,,,,,,-1.14,,,,,,,,,,,,,,,,,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7402,1.0,ROE10,Roederer+2010,BPS CS 29491-0069,BPS CS 29491-0069,,,,VMP,,,,,22:31:02.18,-32:38:36.60,337.7591,-32.6435,,,,,,,,,,,,,-2.6,,,,,,,,,,,,,,,,,,,,,4.9,,,,2.3,,,,,,,-0.17,,,,,,,,,,,,-0.75,,,,,-0.96,,,,,,,,,,,,,,,,0.35,,,,,,,,,,Mardini
7403,1.0,ROE10,Roederer+2010,BPS CS 29495-0041,BPS CS 29495-0041,,,,VMP,,,,,21:36:33.29,-28:18:48.60,324.1387,-28.3135,,,,,,,,,,,,,-2.82,,,,,,,,,,,,,,,,,,,,,4.68,,,,1.93,,,,,,,-1.02,,,,,,,,,,,,-2.17,,,,,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7404,1.0,ROE10,Roederer+2010,BPS CS 29497-0004,BPS CS 29497-0004,,,,VMP,,,,,00:28:06.91,-26:03:04.32,7.0288,-26.0512,,,,,,,,,,,,,-2.66,,,,,,,,,,,,,,,,,,,,,4.84,,,,2.2,,,,,,,0.3,,,,,,,,,,,,-0.38,,,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
