wavelength, species, expot, loggf, type, filename
5526.77,  21.1,  +1.77,  +0.02, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sc5526.moog
5031.01,  21.1,  +1.36,  -0.40, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sc5031.moog
4670.40,  21.1,  +1.36,  -0.58, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sc4670.moog
4415.54,  21.1,  +0.59,  -0.67, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sc4415.moog
4400.38,  21.1,  +0.60,  -0.54, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sc4400.moog
4823.52,  25.0,  +2.32,  +0.14, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Mn4823.moog
4783.43,  25.0,  +2.30,  +0.04, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Mn4783.moog
4766.42,  25.0,  +2.92,  +0.10, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Mn4766.moog
4762.37,  25.0,  +2.89,  +0.30, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Mn4762.moog
4754.04,  25.0,  +2.28,  -0.08, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Mn4754.moog
4313.00, 106.0,   +nan,   +nan, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/CH4313.moog
4323.00, 106.0,   +nan,   +nan, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/CH4323.moog
4246.81,  21.1,  +0.32,  +0.24, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sc4246.moog
4314.08,  21.1,  +0.62,  -0.10, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sc4314.moog
4324.98,  21.1,  +0.59,  -0.44, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sc4324.moog
4041.35,  25.0,  +2.11,  +0.28, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Mn4041.moog
3961.52,  13.0,  +0.01,  -0.33, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Al3961.moog
