wavelength, species, expot, loggf, type, filename
6707.80,   3.0, +0.00, +0.17, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/li6707.moog
4314.00, 106.0,  +nan,  +nan, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/CH4313.moog
4323.00, 106.0,  +nan,  +nan, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/CH4323.moog
3944.00,  13.0, +0.00, -0.64, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Al3944.moog
3961.52,  13.0, +0.01, -0.34, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Al3961.moog
3905.52,  14.0, +1.91, -1.09, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Si3905.moog
4102.94,  14.0, +1.91, -3.14, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Si4102.moog
4246.81,  21.1, +0.32, +0.24, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Sc4246.moog
4314.08,  21.1, +0.62, -0.10, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Sc4314.moog
4324.98,  21.1, +0.59, -0.44, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Sc4324.moog
4400.38,  21.1, +0.60, -0.54, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Sc4400.moog
4415.54,  21.1, +0.59, -0.67, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Sc4415.moog
4670.40,  21.1, +1.36, -0.58, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Sc4670.moog
5526.77,  21.1, +1.77, +0.02, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Sc5526.moog
4033.06,  25.0, +0.00, -0.65, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Mn4033.moog
4041.35,  25.0, +2.11, +0.28, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Mn4041.moog
3842.05,  27.0, +0.92, -0.74, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Co3842.moog
3941.73,  27.0, +0.43, -1.98, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Co3941.moog
3995.31,  27.0, +0.92, -0.18, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Co3995.moog
4121.32,  27.0, +0.92, -0.33, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Co4121.moog
5301.04,  27.0, +1.71, -1.90, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Co5301.moog
5483.35,  27.0, +1.71, -1.50, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Co5483.moog
5647.23,  27.0, +2.28, -1.61, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Co5647.moog
4077.72,  38.1, +0.00, +0.15, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Sr4077.moog
4215.52,  38.1, +0.00, -0.17, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Sr4215.moog
4554.03,  56.1, +0.00, +0.17, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Ba4554.moog
4934.08,  56.1, +0.00, -0.16, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Ba4934.moog
5853.69,  56.1, +0.00, +0.21, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Ba5853.moog
6141.73,  56.1, +1.32, -0.32, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Ba6141.moog
3819.67,  63.1, +0.00, +0.51, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Eu3819.moog
4129.72,  63.1, +0.00, +0.22, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Eu4129.moog
4205.04,  63.1, +0.00, +0.21, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Eu4205.moog
6437.64,  63.1, +1.32, -0.32, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Eu6437.moog
4435.58,  63.1, +0.00, +0.21, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Eu4435.moog
4019.13,  90.1, +0.00, -0.23, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Th4019.moog
4086.52,  90.1, +0.00, -0.93, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Th4086.moog
4094.75,  90.1, +0.00, -0.88, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/Th4094.moog
3859.57,  92.1, +0.57, -0.10, syn, /Users/ayelland/Research/metal-poor-stars/spag/data/linelists/smh_syn_linelist/U3859.moog

