Gaia_ID,SDSS_ID,Simbad_Identifier,Name,RA_hms,DEC_dms,System,R_e/R_h,Gaia_Gmag,SDSS_gmag,Bmag,Vmag,SF11_E(B-V),NaI_E(B-V),Adopted_E(B-V)
3831812247731524608,J100801.54+000108.1,2MASS J10080153+0001081,J1008+0001,10:08:01.54,+00:01:08.1,Sextans,10.68,18.49,18.80,19.38,18.27,0.027,0.012,0.02
3828963348679468032,J101039.85-022007.8,2MASS J10103984-0220079,J1010-0220,10:10:39.85,-02:20:07.8,Sextans,3.56,17.23,18.12,18.68,17.63,0.034,>0.044,0.04
3828784987277714560,J101542.20-023838.6,SDSS J101542.20-023838.6,J1015-0238,10:15:42.21,-02:38:38.7,Sextans,6.36,17.08,18.01,18.58,17.50,0.031,0.021,0.03
3830390720930784640,J101800.19-015521.4,SDSS J101800.19-015521.4,J1018-0155,10:18:00.20,-01:55:21.5,Sextans,5.79,16.98,18.03,18.63,17.47,0.043,>0.066,0.05
3830319390113933952,J101837.07-020936.2,SDSS J101837.07-020936.2,J1018-0209,10:18:37.08,-02:09:36.3,Sextans,7.06,17.55,17.91,18.52,17.33,0.038,>0.031,0.04
3829054779943345536,J101341.76-021124.4,2MASS J10134175-0211244,J1013-0211,10:13:41.76,-02:11:24.4,Sextans,3.04,16.75,17.86,18.48,17.27,0.033,,
3830721875794075904,J101435.84-005401.4,2MASS J10143584-0054013,J1014-0054,10:14:35.84,-00:54:01.4,Sextans,3.28,16.84,17.95,18.58,17.34,0.034,,

# ^a Gaia EDR3 (Brown et al. 2021).
# ^b Sloan Digital Sky Survey Data Release 13 (SDSS DR13; Albareti et al. 2017.)
# ^c The B and V magnitudes are calculated from the SDSS g magnitude using the Population II star transformations of Jordi et al. (2006).
# ^d Schlafly & Finkbeiner (2011).
