Name,[Fe/H],[Sr/Fe],N_Sr,[Y/Fe],N_Y,[Zr/Fe],N_Zr,[Ba/Fe],N_Ba,[La/Fe],N_La,[Ce/Fe],N_Ce,[Pr/Fe],N_Pr,[Nd/Fe],N_Nd,[Sm/Fe],N_Sm,[Eu/Fe],N_Eu,[Gd/Fe],N_Gd,[Dy/Fe],N_Dy,[Ho/Fe],N_Ho,[Er/Fe],N_Er,[Tm/Fe],N_Tm,[Yb/Fe],N_Yb
CS 22186-025,-3.00,-0.12,2,-0.31,9,+0.14,15,+0.02,4,+0.19,6,+0.27,1,+0.24,1,+0.28,3,<+0.59,,+0.54,1,+0.68,1,+0.53,2,+0.44,1,+0.55,2,+1.64,1,+0.12,1
CS 22189-009,-3.49,-0.95,2,-0.83,1,-0.49,1,-1.29,2,<-0.18,,<+0.41,,<+0.23,,<-0.11,,<+0.88,,<-0.02,,+1.12,2,<-0.35,,<+0.83,,<+0.56,,,,,
CS 22873-055,-2.99,-0.48,2,-0.53,9,-0.17,15,-0.45,4,-0.47,5,<-0.09,,-0.27,1,-0.29,2,<+0.18,,-0.17,1,-0.03,2,-0.24,3,<-0.37,,-0.24,2,,,,
CS 22873-166,-2.97,+0.13,2,-0.13,9,+0.20,15,-0.70,4,-0.77,3,-0.34,2,-0.04,1,-0.25,3,<-0.04,,-0.30,1,<-0.55,,<-0.87,,<-0.69,,-0.36,1,,,,
CS 22878-101,-3.25,-0.27,2,-0.28,9,+0.05,6,-0.58,2,-0.42,1,<+0.17,,<+0.09,,<-0.45,,<+0.34,,-0.06,1,<-0.07,,-0.29,1,<+0.19,,<+0.02,,,,,
CS 22885-096,-3.78,-1.39,2,<-0.86,,-0.42,1,-1.10,1,<-0.09,,<+0.90,,<+0.62,,<+0.58,,<+1.27,,<+0.47,,<+0.86,,<+0.24,,<+0.82,,<+0.55,,,,,
CS 22891-209,-3.29,+0.08,2,-0.10,9,+0.26,12,-0.55,4,-0.28,1,<-0.19,,+0.13,1,-0.36,1,<+0.28,,-0.09,1,-0.13,1,-0.62,1,<-0.17,,-0.24,1,,,-0.60,1
CS 22892-052,-3.03,+0.53,3,+0.33,10,+0.58,17,+1.01,5,+1.11,6,+1.02,14,+0.92,1,+1.15,22,+1.50,4,+1.49,1,+1.45,8,+1.54,18,+1.59,1,+1.49,4,+1.59,5,,
CS 22896-154,-2.69,+0.54,2,+0.15,2,+0.77,4,+0.51,3,+0.42,1,+0.71,2,+0.73,1,+0.67,2,+0.78,1,+0.86,1,+0.87,1,+0.97,2,+0.88,1,+1.01,2,,,,
CS 22897-008,-3.41,+0.44,2,+0.12,4,+0.50,4,-1.00,2,<-0.46,,<+0.33,,<+0.50,,+0.01,1,<+0.50,,<-0.20,,<+0.29,,<-0.63,,<+0.45,,<+0.18,,,,,
CS 22948-066,-3.14,-0.46,2,-1.05,2,-0.09,3,-0.94,3,<-0.73,,<-0.04,,<-0.02,,<-0.56,,<-0.26,,<-0.57,,<-0.08,,<-0.80,,<-0.02,,<-0.09,,,,,
CS 22952-015,-3.43,-0.99,2,-0.90,7,-0.52,3,-1.33,3,<-0.54,,<+0.05,,<+0.07,,<-0.37,,<-0.37,,<-0.28,,<+0.01,,<-0.71,,<-0.13,,<+0.00,,,,,
CS 22953-003,-2.84,+0.22,3,+0.14,10,+0.36,11,+0.49,5,+0.66,7,+0.66,2,+0.68,1,+0.72,2,+0.34,2,+1.05,1,+1.01,4,+1.04,12,+1.18,1,+1.06,2,+1.02,1,,
CS 22956-050,-3.33,-0.42,2,-0.49,5,-0.11,2,-0.78,3,<-0.24,,<+0.25,,<+0.37,,<-0.17,,<+0.03,,<+0.02,,<+0.21,,<-0.31,,<+0.87,,<+0.20,,,,,
CS 22966-057,-2.62,-0.10,2,-0.26,6,-0.04,3,-0.24,4,+0.25,1,<+0.34,,<+0.76,,+0.47,2,<+0.32,,+0.41,1,<+0.30,,+0.48,1,<+0.46,,+0.64,2,,,,
CS 22968-014,-3.56,-1.80,2,<-1.38,,<-0.44,,-1.77,1,-0.11,1,<+0.48,,<+0.40,,<-0.14,,<+0.16,,<+0.05,,<+0.14,,<-0.28,,<+0.10,,<+0.43,,,,,
CS 29491-053,-3.04,-0.24,2,-0.31,10,+0.02,9,-0.89,4,<-0.93,,<-0.34,,<-0.12,,-0.46,1,<-0.46,,-0.42,1,<-0.38,,<-0.80,,<-0.32,,<-0.39,,,,,
CS 29495-041,-2.82,-0.15,2,-0.41,10,-0.04,16,-0.65,4,-0.45,1,<-0.16,,-0.14,1,+0.28,2,<-0.38,,-0.09,1,-0.25,2,<-0.62,,<-0.44,,+0.04,1,,,,
CS 29502-042,-3.19,-1.98,2,<-1.75,,<-0.71,,-1.69,2,<-0.58,,<+0.51,,<+0.23,,<-0.31,,<-0.21,,<-0.22,,<+0.07,,<+0.55,,,,<+0.46,,+1.83,1,,
CS 29516-024,-3.06,-0.59,2,-0.74,7,-0.31,3,-0.90,2,-0.61,1,<-0.32,,<+0.10,,-0.44,1,<-0.54,,-0.25,1,<-0.36,,-0.59,1,<-0.40,,-0.37,,,,,
CS 29518-051,-2.78,+0.18,2,-0.06,10,+0.25,11,-0.45,2,-0.49,1,<+0.20,,+0.42,1,+0.01,2,<-0.12,,<-0.13,,<-0.04,,<+0.26,,<-0.48,,<-0.35,,+2.00,1,,
CS 30325-094,-3.30,-2.24,2,<-1.54,,<-1.54,,-1.88,2,<-0.27,,+0.42,1,<+0.64,1,0.00,1,<0.49,,<-0.11,,<+0.18,,<-0.34,,<+0.34,,<+0.07,,,,,
