JINA_ID, Name                    , RA_hms       , Reference     , [Fe/H], [C/Fe], ul[C/Fe], |, epsli, epsbe, epsc, epsn, epso, epsf, epsna, epsmg, epsal, epssi, epsp, epss, epsk, epsca, epssc, epsti1, epsv, epscr, epsmn, epsfe, epsco, epsni, epscu, epszn, epsga, epsge, epsas, epsse, epsrb, epssr, epsy , epszr, epsnb, epsmo, epsru, epsrh, epspd, epsag, epscd, epssn, epste, epsba, epsla, epsce, epspr, epsnd, epssm, epseu, epsgd, epstb, epsdy, epsho, epser, epstm, epsyb, epslu, epshf, epsw, epsos, epsir, epspt, epsau, epshg, epspb, epsbi, epsth, epsu , epsca2, epsti, epsv2, epscr2, epsmn2, epsfe2, ulli, ulbe, ulc , uln , ulo , ulf, ulna, ulmg, ulal, ulsi, ulp, uls, ulk, ulca, ulsc , ulti1, ulv , ulcr, ulmn, ulfe, ulco, ulni, ulcu, ulzn, ulga, ulge, ulas, ulse, ulrb, ulsr , uly  , ulzr , ulnb, ulmo , ulru, ulrh, ulpd, ulag, ulcd, ulsn, ulte, ulba , ulla , ulce , ulpr , ulnd , ulsm , uleu , ulgd , ultb , uldy , ulho , uler , ultm , ulyb , ullu, ulhf , ulw, ulos, ulir, ulpt, ulau, ulhg, ulpb, ulbi, ulth , ulu, ulca2, ulti, ulv2, ulcr2, ulmn2, ulfe2, 
   2645, HE 1424-0241            , 14:26:40.3306, Cohen+2007    , -4.05 ,       ,     0.84, |,      ,      ,     ,     ,     ,     ,  2.32,  4.03,  2.35,  2.59,     ,     ,     ,  1.84, -0.95,       ,     ,  1.33,  1.59,  3.49,  1.98,  2.52,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -2.74,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,   2.1 ,  0.85,      ,       ,   1.69,   3.58,     ,     , 5.26, 5.1 ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     , -2.75, -1.46,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      , -1.95,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     , 0.64,      ,      ,      , 
   2562, HE 0017-4346            , 00:20:16.2080, Cohen+2013    , -3.07 , 3.02  ,         , |,      ,      , 8.38,     ,     ,     ,  4.64,  5.39,  3.36,      ,     ,     ,     ,  3.69,      ,   2.08,     ,      ,  1.99,  4.43,  2.62,  3.1 ,      ,      ,      ,      ,      ,      ,      , 0.64 , -0.13,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , 0.34 , -0.19,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,  2.08,      ,       ,       ,   4.29,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     , 1.71 ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      , -1.56,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   2591, UCAC4 342-001270        , 01:07:31.2348, Cohen+2013    , -2.55 ,       ,         , |,      ,      ,     ,     ,     ,     ,      ,  5.45,  3.6 ,  5.11,     ,     ,     ,  4.01, 0.82 ,   3.21,     ,  2.83,  2.13,  4.95,  2.86,  3.48,      ,      ,      ,      ,      ,      ,      , 0.04 ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -0.93,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,  2.78,      ,       ,       ,   4.97,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      , -0.38,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   2609, UCAC4 371-007255        , 05:10:35.4729, Cohen+2013    , -2.43 ,       ,         , |,      ,      ,     ,     ,     ,     ,      ,  5.55,  3.8 ,  5.11,     ,     ,     ,  4.14, 1.05 ,   3.18,     ,  2.94,  2.28,  5.07,  2.85,  3.8 ,      ,      ,      ,      ,      ,      ,      , 0.85 ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -0.4 ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,  3.09,      ,       ,       ,   5.15,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      , -0.45,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   2657, UCAC4 452-052732        , 13:22:35.3538, Cohen+2013    , -3.38 ,       ,         , |,      ,      ,     ,     ,     ,     ,      ,  5.33,  3.71,  4.72,     ,     ,     ,  3.99, 0.56 ,   2.64,     ,  2.8 ,  2.18,  4.84,  2.62,  3.54,      ,      ,      ,      ,      ,      ,      , -0.35,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -1.22,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,  2.64,      ,       ,       ,   4.88,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      , -0.72,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   5661, UCAC4 414-058324        , 14:35:58.5107, Ezzeddine+2020, -2.99 , -0.4  ,         , |,      ,      , 5.04,     , 7.74,     ,  4.31,  6.13,      ,  5.97,     ,     , 3.95,  4.72, 1.56 ,   3.37, 2.55,  3.94,  3.59,  4.51,  3.73,  4.35,      ,  2.83,      ,      ,      ,      ,      , -0.12,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -0.91,      ,      ,      ,      ,      , -2.27,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,  3.65,      ,       ,       ,       ,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   5685, TYC 9527-1073-1         , 18:28:43.5444, Ezzeddine+2020, -2.03 , -0.39 ,         , |,      ,      , 6.01,     , 8.49,     ,  5.41,  6.94,      ,  7.42,     ,     , 4.46,  5.56, 2.79 ,   4.15,     ,  4.77,  4.6 ,  5.47,      ,  5.2 ,      ,  3.64,      ,      ,      ,      ,      , 1.55 ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , 1.46 ,      ,      ,      ,      ,      , -0.3 ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,  4.42,      ,       ,       ,       ,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   5689, UCAC2 989194            , 18:36:12.1452, Ezzeddine+2020, -2.61 , 0.1   ,         , |,      ,      , 5.92,     ,     ,     ,  3.88,  5.57,  3.35,  5.39,     ,     , 2.89,  4.1 , 0.72 ,   2.63, 1.67,  3.38,  2.61,  4.89,  2.61,  3.73,      ,  2.38,      ,      ,      ,      ,      , -0.03,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -0.83,      ,      ,      ,      ,      , -2.39,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,  2.79,      ,       ,       ,       ,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   5690, 2MASS J18405985-4841353 , 18:40:59.8598, Ezzeddine+2020, -2.58 , 0.6   ,         , |,      ,      , 6.45,     ,     ,     ,  3.78,  5.18,  3.12,  5.28,     ,     , 2.66,  3.84, 0.23 ,   2.27, 1.14,  2.77,  2.97,  4.92,  2.19,  3.3 ,      ,  1.94,      ,      ,      ,      ,      , 0.55 ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -0.85,      ,      ,      ,      ,      , -2.16,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,  2.33,      ,       ,       ,       ,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   5733, HD 119516               , 13:43:26.7251, For+2010      , -2.16 ,       ,         , |,      ,      ,     ,     ,     ,     ,  4.62,  5.72,  3.47,  5.75,     ,     ,     ,  4.44, 0.93 ,   3.02,     ,  3.3 ,  2.97,  5.34,  2.82,  4.02,      ,  2.45,      ,      ,      ,      ,      , 0.81 , -0.31, 0.72 ,      ,      ,      ,      ,      ,      ,      ,      ,      , 0.34 , -0.94,      ,      ,      ,      , -1.19,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,  2.85,      ,   3.49,       ,       ,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   2035, HE 0945-1435            , 09:47:50.6778, Hansen+2015   , -3.90 ,       ,     2.0 , |,  1.88,      ,     ,     ,     ,     ,      ,  3.84,      ,  3.95,     ,     ,     ,  2.59,      ,   1.04,     ,  1.6 ,      ,  3.63,      ,  2.52,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,       ,       ,     ,     , 6.56, 6.06, 8.82,    , 2.07,     , 2.08,     ,    ,    ,    ,     , -0.82,      , 1.86,     , 1.36,     , 2.12,     ,     , 2.49,     ,     ,     ,     ,     , -1.9 ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     , -1.69,      ,      ,      ,      ,      , -1.15,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   5852, UCAC4 501-063456        , 16:10:31.0611, Hansen+2018   , -2.43 , 0.53  ,         , |,      ,      , 6.53,     ,     ,     ,      ,      ,      ,      ,     ,     ,     ,      ,      ,       ,     ,      ,      ,  5.07,      ,      ,      ,      ,      ,      ,      ,      ,      , 0.25 ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -1.35,      ,      ,      ,      ,      , -1.21,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,       ,       ,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   5868, UCAC4 128-171197        , 18:36:23.1865, Hansen+2018   , -2.57 , 0.1   ,         , |,      ,      , 5.96,     ,     ,     ,      ,      ,      ,      ,     ,     ,     ,      ,      ,       ,     ,      ,      ,  4.93,      ,      ,      ,      ,      ,      ,      ,      ,      , -0.33,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -0.21,      ,      ,      ,      ,      , -1.48,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,       ,       ,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
   5872, TYC 8764-1992-1         , 19:16:18.2200, Hansen+2018   , -2.35 , -0.8  ,         , |,      ,      , 5.28,     ,     ,     ,      ,      ,      ,      ,     ,     ,     ,      ,      ,       ,     ,      ,      ,  5.15,      ,      ,      ,      ,      ,      ,      ,      ,      , 1    ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , -0.29,      ,      ,      ,      ,      , -0.75,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,       ,       ,     ,     ,     ,     ,     ,    ,     ,     ,     ,     ,    ,    ,    ,     ,      ,      ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,     ,      ,     ,     ,     ,     ,     ,     ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,     ,      ,    ,      ,     ,     ,      ,      ,      , 
