Name,Species,l_logepsX,logepsX,f_logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],N,e_logepsX
UMa II-S1,C-H,,6.06,,,-2.33,,0.77,2,0.20
UMa II-S1,O I,<,7.30,,<,-1.36,<,1.74,1,
UMa II-S1,Na I,,3.06,,,-3.11,,-0.01,2,0.30
UMa II-S1,Mg I,,4.87,,,-2.66,,0.44,5,0.11
UMa II-S1,Al I,<,5.23,,<,-1.14,<,1.96,1,
UMa II-S1,Si I,<,5.77,,<,-1.74,<,1.36,1,
UMa II-S1,Ca I,,3.41,,,-2.90,,0.20,9,0.30
UMa II-S1,Sc II,,0.20,,,-2.85,,0.25,3,0.18
UMa II-S1,Ti I,,2.07,,,-2.83,,0.27,6,0.24
UMa II-S1,Ti II,,2.02,,,-2.88,,0.22,15,0.18
UMa II-S1,V I,<,1.58,,<,-2.42,<,0.68,1,
UMa II-S1,Cr I,,2.28,,,-3.36,,-0.26,4,0.09
UMa II-S1,Mn I,,2.27,,,-3.12,,-0.02,2,0.10
UMa II-S1,Fe I,,4.35,,,-3.10,,,74,0.16
UMa II-S1,Fe II,,4.35,,,-3.10,,0.00,7,0.13
UMa II-S1,Co I,<,2.77,,<,-2.15,<,0.95,1,
UMa II-S1,Ni I,,3.44,,,-2.79,,0.31,3,0.40
UMa II-S1,Cu I,<,1.84,,<,-2.37,<,0.73,1,
UMa II-S1,Zn I,,2.35,a,,-2.25,,0.85,1,0.20
UMa II-S1,Sr II,,-0.90,,,-3.82,,-0.72,1,0.30
UMa II-S1,Y II,<,-1.15,,<,-3.36,<,-0.26,1,
UMa II-S1,Zr II,<,-0.19,,<,2.78,<,0.32,1,
UMa II-S1,Ba II,,-2.27,,,-4.44,,-1.34,1,0.30
UMa II-S1,La II,<,-1.54,,<,-2.67,<,0.43,1,
UMa II-S1,Ce II,<,-1.13,,<,-2.71,<,0.39,1,
UMa II-S1,Nd II,<,-0.95,,<,-2.40,<,0.70,1,
UMa II-S1,Sm II,<,-0.82,,<,-1.83,<,1.27,1,
UMa II-S1,Eu II,<,-2.00,,<,-2.52,<,0.58,1,
UMa II-S2,C-H,,5.70,,,-2.69,,0.54,2,0.20
UMa II-S2,O I,<,7.84,,<,-0.82,<,2.41,1,
UMa II-S2,Na I,,2.93,,,-3.24,,-0.01,2,0.30
UMa II-S2,Mg I,,4.77,,,-2.76,,0.47,5,0.15
UMa II-S2,Al I,<,5.25,,<,-1.12,<,2.11,1,
