Name,Species,lambda,ExPot,loggf,l_EW,EW,f_EW,l_logepsX,logepsX
ComBer-S3,Fe I,4195.33,3.33,-0.490,,54.7,,,5.03
ComBer-S3,Fe I,4196.21,3.40,-0.700,,,,,
ComBer-S3,Fe I,4199.10,3.05,0.160,,83.1,,,4.64
ComBer-S3,Fe I,4216.18,0.00,-3.356,,106.5,,,4.82
ComBer-S3,Fe I,4222.21,2.45,-0.967,,81.6,,,4.98
ComBer-S3,Fe I,4227.43,3.33,0.270,,89.7,,,4.84
ComBer-S3,Fe I,4233.60,2.48,-0.604,,53.3,,,4.81
ComBer-S3,Fe I,4238.81,3.40,-0.230,,81.6,,,5.37
ComBer-S3,Fe I,4247.43,3.37,-0.240,,,,,
ComBer-S3,Fe I,4250.12,2.47,-0.405,,106.7,,,5.00
ComBer-S3,Fe I,4250.79,1.56,-0.710,,,,,
ComBer-S3,Fe I,4260.47,2.40,0.080,,117.9,,,4.67
ComBer-S3,Fe I,4271.15,2.45,-0.349,,108.6,,,4.95
ComBer-S3,Fe I,4282.40,2.18,-0.780,,,,,
ComBer-S3,Fe I,4325.76,1.61,0.010,,,,,
ComBer-S3,Fe I,4337.05,1.56,-1.695,,102.2,,,4.99
ComBer-S3,Fe I,4352.73,2.22,-1.290,,87.0,,,5.08
ComBer-S3,Fe I,4375.93,0.00,-3.031,,130.5,,,4.89
ComBer-S3,Fe I,4407.71,2.18,-1.970,,67.5,,,5.27
ComBer-S3,Fe I,4422.57,2.85,-1.110,,51.5,,,4.93
ComBer-S3,Fe I,4430.61,2.22,-1.659,,57.3,,,4.82
ComBer-S3,Fe I,4442.34,2.20,-1.255,,85.7,,,4.95
ComBer-S3,Fe I,4443.19,2.86,-1.040,,47.4,,,4.80
ComBer-S3,Fe I,4447.72,2.22,-1.342,,78.4,,,4.90
ComBer-S3,Fe I,4454.38,2.83,-1.300,,40.9,,,4.91
ComBer-S3,Fe I,4459.12,2.18,-1.279,,91.5,,,5.06
ComBer-S3,Fe I,4461.65,0.09,-3.210,,118.9,,,4.90
ComBer-S3,Fe I,4466.55,2.83,-0.600,,84.5,,,5.04
ComBer-S3,Fe I,4476.02,2.85,-0.820,,88.4,,,5.36
ComBer-S3,Fe I,4484.22,3.60,-0.860,,27.3,,,5.12
ComBer-S3,Fe I,4489.74,0.12,-3.966,,84.1,,,4.97
ComBer-S3,Fe I,4490.08,3.02,-1.580,,19.5,,,4.95
ComBer-S3,Fe I,4494.56,2.20,-1.136,,88.3,,,4.86
ComBer-S3,Fe I,4528.61,2.18,-0.822,,115.3,,,5.09
ComBer-S3,Fe I,4531.15,1.49,-2.155,,92.7,,,5.06
ComBer-S3,Fe I,4592.65,1.56,-2.449,,71.7,,,5.00
ComBer-S3,Fe I,4602.94,1.49,-2.210,,83.2,,,4.89
ComBer-S3,Fe I,4632.91,1.61,-2.913,,41.1,,,4.99
ComBer-S3,Fe I,4647.44,2.95,-1.350,,42.0,,,5.08
ComBer-S3,Fe I,4678.85,3.60,-0.830,,28.1,,,5.08
ComBer-S3,Fe I,4691.41,2.99,-1.520,,26.4,,,4.99
ComBer-S3,Fe I,4707.27,3.24,-1.080,,36.0,,,5.04
ComBer-S3,Fe I,4710.28,3.02,-1.610,,30.2,,,5.19
ComBer-S3,Fe I,4733.59,1.49,-2.990,,45.7,,,4.97
ComBer-S3,Fe I,4736.77,3.21,-0.750,,46.1,,,4.85
ComBer-S3,Fe I,4786.81,3.02,-1.610,,24.6,,,5.06
ComBer-S3,Fe I,4789.65,3.55,-0.960,,20.6,,,4.95
ComBer-S3,Fe I,4859.74,2.88,-0.760,,63.5,,,4.73
ComBer-S3,Fe I,4871.32,2.87,-0.360,,85.4,,,4.72
ComBer-S3,Fe I,4872.14,2.88,-0.570,,78.6,,,4.82
ComBer-S3,Fe I,4890.76,2.88,-0.390,,92.5,,,4.91
ComBer-S3,Fe I,4891.49,2.85,-0.110,,95.4,,,4.65
ComBer-S3,Fe I,4903.31,2.88,-0.930,,59.4,,,4.83
ComBer-S3,Fe I,4918.99,2.87,-0.340,,95.2,,,4.88
ComBer-S3,Fe I,4920.50,2.83,0.070,,117.1,,,4.88
ComBer-S3,Fe I,4924.77,2.28,-2.256,,34.6,,,4.99
ComBer-S3,Fe I,4938.81,2.88,-1.080,,52.4,,,4.85
ComBer-S3,Fe I,4939.69,0.86,-3.340,,67.8,,,4.86
ComBer-S3,Fe I,4946.39,3.37,-1.170,,14.5,,,4.74
ComBer-S3,Fe I,4966.09,3.33,-0.870,,39.5,,,4.97
ComBer-S3,Fe I,4973.10,3.96,-0.950,,14.4,,,5.22
ComBer-S3,Fe I,4994.13,0.92,-2.956,,81.8,,,4.77
ComBer-S3,Fe I,5001.87,3.88,0.050,,46.2,,,4.83
ComBer-S3,Fe I,5006.12,2.83,-0.610,,85.0,,,4.89
ComBer-S3,Fe I,5012.07,0.86,-2.642,,112.0,,,4.96
ComBer-S3,Fe I,5014.94,3.94,-0.300,,26.0,,,4.86
ComBer-S3,Fe I,5022.24,3.98,-0.530,,22.9,,,5.07
ComBer-S3,Fe I,5028.13,3.57,-1.120,,14.3,,,4.92
ComBer-S3,Fe I,5041.07,0.96,-3.090,,84.1,,,5.00
ComBer-S3,Fe I,5041.76,1.49,-2.200,,,,,
ComBer-S3,Fe I,5049.82,2.28,-1.344,,80.7,,,4.84
ComBer-S3,Fe I,5051.64,0.92,-2.795,,96.5,,,4.87
ComBer-S3,Fe I,5060.08,0.00,-5.460,,22.3,,,5.09
ComBer-S3,Fe I,5068.77,2.94,-1.040,,51.7,,,4.85
ComBer-S3,Fe I,5074.75,4.22,-0.200,,18.4,,,4.89
ComBer-S3,Fe I,5079.22,2.20,-2.067,,45.5,,,4.87
ComBer-S3,Fe I,5079.74,0.99,-3.220,,68.6,,,4.89
ComBer-S3,Fe I,5083.34,0.96,-2.958,,83.0,,,4.83
ComBer-S3,Fe I,5090.77,4.26,-0.360,,9.6,,,4.77
ComBer-S3,Fe I,5098.70,2.18,-2.030,,55.1,,,4.96
ComBer-S3,Fe I,5123.72,1.01,-3.068,,84.6,,,5.03
ComBer-S3,Fe I,5125.12,4.22,-0.140,,23.5,,,4.97
ComBer-S3,Fe I,5127.36,0.92,-3.307,,74.3,,,4.96
ComBer-S3,Fe I,5131.47,2.22,-2.510,,24.7,,,4.95
ComBer-S3,Fe I,5133.69,4.18,0.140,,42.3,,,5.01
ComBer-S3,Fe I,5137.38,4.18,-0.400,,18.9,,,5.05
ComBer-S3,Fe I,5141.74,2.42,-1.964,,20.0,,,4.53
ComBer-S3,Fe I,5142.93,0.96,-3.080,,86.0,,,4.99
ComBer-S3,Fe I,5150.84,0.99,-3.003,,70.4,,,4.69
ComBer-S3,Fe I,5151.91,1.01,-3.322,,69.3,,,5.01
ComBer-S3,Fe I,5162.27,4.18,0.020,,33.0,,,4.96
ComBer-S3,Fe I,5166.28,0.00,-4.195,,95.1,,,5.04
ComBer-S3,Fe I,5171.60,1.49,-1.793,,116.0,,,4.94
ComBer-S3,Fe I,5191.45,3.04,-0.550,,74.3,,,4.85
ComBer-S3,Fe I,5192.34,3.00,-0.420,,80.0,,,4.77
ComBer-S3,Fe I,5194.94,1.56,-2.090,,91.3,,,4.85
ComBer-S3,Fe I,5198.71,2.22,-2.135,,46.8,,,4.97
ComBer-S3,Fe I,5202.34,2.18,-1.838,,70.6,,,5.00
ComBer-S3,Fe I,5216.27,1.61,-2.150,,89.7,,,4.93
ComBer-S3,Fe I,5217.39,3.21,-1.070,,29.9,,,4.81
ComBer-S3,Fe I,5225.52,0.11,-4.789,,52.2,,,5.07
ComBer-S3,Fe I,5232.94,2.94,-0.060,,96.6,,,4.64
ComBer-S3,Fe I,5242.49,3.63,-0.970,,16.4,,,4.89
ComBer-S3,Fe I,5247.05,0.09,-4.946,,30.2,,,4.83
ComBer-S3,Fe I,5250.21,0.12,-4.938,,34.4,,,4.94
ComBer-S3,Fe I,5250.65,2.20,-2.180,,45.6,,,4.96
ComBer-S3,Fe I,5254.96,0.11,-4.764,,55.7,,,5.09
ComBer-S3,Fe I,5263.31,3.27,-0.879,,43.0,,,4.92
ComBer-S3,Fe I,5281.79,3.04,-0.830,,59.8,,,4.87
ComBer-S3,Fe I,5283.62,3.24,-0.432,,68.7,,,4.87
ComBer-S3,Fe I,5302.30,3.28,-0.720,,47.7,,,4.86
ComBer-S3,Fe I,5307.36,1.61,-2.987,,33.0,,,4.82
ComBer-S3,Fe I,5324.18,3.21,-0.103,,78.9,,,4.67
ComBer-S3,Fe I,5328.53,1.56,-1.850,,99.5,,,4.73
ComBer-S3,Fe I,5332.90,1.56,-2.780,,51.1,,,4.85
ComBer-S3,Fe I,5501.47,0.96,-3.050,,85.7,,,4.89
ComBer-S3,Fe I,5506.78,0.99,-2.797,,97.4,,,4.87
ComBer-S3,Fe I,5569.62,3.42,-0.540,,45.1,,,4.77
ComBer-S3,Fe I,5572.84,3.40,-0.275,,56.2,,,4.66
ComBer-S3,Fe I,5576.09,3.43,-1.000,,29.0,,,4.95
ComBer-S3,Fe I,5586.76,3.37,-0.096,,71.7,,,4.70
ComBer-S3,Fe I,5615.64,3.33,0.050,,89.3,,,4.81
ComBer-S3,Fe I,5701.54,2.56,-2.216,,,,,
ComBer-S3,Fe I,6065.48,2.61,-1.530,,51.8,,,4.83
ComBer-S3,Fe I,6136.61,2.45,-1.400,,74.7,,,4.85
ComBer-S3,Fe I,6137.69,2.59,-1.403,,64.7,,,4.87
ComBer-S3,Fe I,6191.56,2.43,-1.420,,71.8,,,4.79
ComBer-S3,Fe I,6213.43,2.22,-2.480,,27.4,,,4.87
ComBer-S3,Fe I,6219.28,2.20,-2.433,,32.5,,,4.89
ComBer-S3,Fe I,6230.72,2.56,-1.281,,85.6,,,5.03
ComBer-S3,Fe I,6246.32,3.60,-0.733,,25.7,,,4.77
ComBer-S3,Fe I,6252.56,2.40,-1.687,,58.3,,,4.81
ComBer-S3,Fe I,6254.26,2.28,-2.443,,39.0,,,5.11
ComBer-S3,Fe I,6265.13,2.18,-2.550,,33.5,,,5.00
ComBer-S3,Fe I,6301.50,3.65,-0.718,,26.4,,,4.83
ComBer-S3,Fe I,6322.69,2.59,-2.426,,16.2,,,4.98
ComBer-S3,Fe I,6335.33,2.20,-2.180,,38.4,,,4.73
ComBer-S3,Fe I,6336.84,3.69,-1.050,,18.0,,,5.00
ComBer-S3,Fe I,6393.60,2.43,-1.432,,65.9,,,4.70
ComBer-S3,Fe I,6400.00,3.60,-0.290,,53.0,,,4.80
ComBer-S3,Fe I,6411.65,3.65,-0.595,,32.8,,,4.83
ComBer-S3,Fe I,6421.35,2.28,-2.027,,,,,
ComBer-S3,Fe I,6430.85,2.18,-2.006,,66.4,,,4.95
ComBer-S3,Fe I,6498.94,0.96,-4.70,,13.1,,,5.12
ComBer-S3,Fe I,6592.91,2.73,-1.470,,47.1,,,4.80
ComBer-S3,Fe I,6593.87,2.43,-2.422,,29.4,,,5.09
ComBer-S3,Fe I,6677.99,2.69,-1.420,,53.4,,,4.80
ComBer-S3,Fe I,6750.15,2.42,-2.621,,22.0,,,5.10
ComBer-S3,Fe II,4178.85,2.58,-2.51,,62.2,,,4.88
ComBer-S3,Fe II,4233.17,2.58,-1.97,,99.7,,,5.14
ComBer-S3,Fe II,4416.82,2.78,-2.65,,47.7,,,4.92
ComBer-S3,Fe II,4489.19,2.83,-2.96,,33.4,,,5.00
ComBer-S3,Fe II,4491.40,2.86,-2.71,,44.4,,,5.00
ComBer-S3,Fe II,4508.28,2.86,-2.44,,59.7,,,5.00
ComBer-S3,Fe II,4515.34,2.84,-2.60,,41.0,,,4.80
ComBer-S3,Fe II,4541.52,2.86,-2.98,,23.2,,,4.83
ComBer-S3,Fe II,4555.89,2.83,-2.40,,57.0,,,4.86
ComBer-S3,Fe II,4576.33,2.84,-2.95,,19.1,,,4.67
ComBer-S3,Fe II,4583.83,2.81,-1.93,,92.9,,,5.06
ComBer-S3,Fe II,4731.44,2.89,-3.10,,16.7,,,4.79
ComBer-S3,Fe II,4923.93,2.89,-1.26,,109.8,,,4.73
ComBer-S3,Fe II,4993.35,2.81,-3.62,,,,,
ComBer-S3,Fe II,5018.45,2.89,-1.11,,122.0,,,4.79
ComBer-S3,Fe II,5197.56,3.23,-2.22,,42.5,,,4.82
ComBer-S3,Fe II,5234.62,3.22,-2.18,,46.7,,,4.83
ComBer-S3,Fe II,5276.00,3.20,-2.01,,55.0,,,4.77
ComBer-S3,Fe II,5284.08,2.89,-3.11,,24.5,,,4.94
ComBer-S3,Fe II,5534.83,3.25,-2.75,,19.2,,,4.85
ComBer-S3,Fe II,6247.55,3.89,-2.30,,9.6,,,4.78
ComBer-S3,Co I,5483.34,1.71,-1.45,,7.7,,,2.53
ComBer-S3,Ni I,4648.66,3.42,-0.16,,18.1,,,3.65
ComBer-S3,Ni I,4714.42,3.38,0.23,,30.8,,,3.51
ComBer-S3,Ni I,4855.41,3.54,0.00,,,,,
ComBer-S3,Ni I,4980.16,3.61,0.07,,17.6,,,3.59
ComBer-S3,Ni I,5035.37,3.63,0.29,,18.0,,,3.41
ComBer-S3,Ni I,5080.52,3.65,0.13,,15.3,,,3.50
ComBer-S3,Ni I,5084.08,3.68,0.03,,13.2,,,3.56
ComBer-S3,Ni I,5137.07,1.68,-1.99,,17.7,,,3.29
ComBer-S3,Ni I,5754.68,1.94,-2.33,,,,,
ComBer-S3,Ni I,6643.64,1.68,-2.30,,17.4,,,3.46
ComBer-S3,Ni I,6767.78,1.83,-2.17,,23.2,,,3.66
ComBer-S3,Cu I,5782.13,1.64,-1.78,<,7.0,,<,1.44
ComBer-S3,Zn I,4722.15,4.03,-0.39,,,,,
ComBer-S3,Zn I,4810.53,4.08,-0.17,,25.5,,,2.17
ComBer-S3,Sr II,4215.52,0.00,-0.17,,,s,,-1.00
ComBer-S3,YI I,4900.11,1.03,-0.09,<,6.0,,<,-1.57
ComBer-S3,YI I,5087.42,1.08,-0.17,,,,,
ComBer-S3,Zr II,4208.98,0.71,-0.46,<,7.0,,<,-0.85
ComBer-S3,Ba II,4554.03,0.00,0.16,,,s,,-1.47
ComBer-S3,Ba II,4934.09,0.00,-0.16,,,s,,-1.82
ComBer-S3,Ba II,6496.90,0.60,-0.36,,,s,,-1.72
ComBer-S3,La II,4333.75,0.17,-0.06,<,8.0,,<,-2.08
ComBer-S3,Ce II,4562.37,0.48,0.21,<,6.0,,<,-1.40
ComBer-S3,Nd II,5319.82,0.55,-0.14,<,5.0,,<,-1.32
ComBer-S3,Sm II,4424.34,0.48,0.14,<,7.0,,<,-1.71
ComBer-S3,Eu II,4205.04,0.00,0.21,,,s,<,-2.40
