Name,Simbad_Identifier,RA_deg,DEC_deg,G0mag,e_G0mag,(BP-RP)0,e_(BP-RP)0,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,[Fe/H]_pristine,Note
C19-67776,Gaia DR3 2826664453062267776,355.1364844,21.3505987,19.399,0.004,0.727,0.075,0.500,0.368,1.073,0.412,-3.083,0.284,-4.00,
C19-37440,Gaia DR3 2826881812767837440,355.1706311,21.8067445,19.552,0.004,0.593,0.074,0.344,0.348,1.187,0.399,-3.022,0.289,-3.13,
C19-54944,Gaia DR3 2872994922416754944,355.2060212,34.6340794,18.481,0.003,0.849,0.039,0.078,0.197,1.654,0.174,-2.477,0.161,-0.69,non-member
C19-40320,Gaia DR3 2852422883765640320,355.2483495,25.3717030,19.495,0.004,0.689,0.053,0.322,0.341,1.289,0.310,-2.996,0.231,-3.60,
C19-24160,Gaia DR3 2822928454287324160,355.2549449,19.2284211,19.599,0.005,0.855,0.082,-0.986,0.446,1.037,0.527,-3.128,0.342,,
C19-38656,Gaia DR3 2827849249857638656,355.2671146,22.9677418,17.524,0.003,0.933,0.012,-0.040,0.099,1.271,0.091,-3.028,0.073,-3.14,OSIRIS
C19-00352,Gaia DR3 2865256628300500352,355.2755507,27.7483341,15.611,0.003,1.066,0.005,0.024,0.039,1.217,0.037,-2.855,0.026,-3.39,GRACES
C19-71392,Gaia DR3 2865251577418971392,355.3224059,27.5993570,13.996,0.003,1.282,0.005,0.024,0.020,1.222,0.018,-2.785,0.014,-3.26,LAMOST,OSIRIS
C19-94112,Gaia DR3 2852418524375994112,355.3553606,25.2993957,19.615,0.004,0.823,0.061,0.201,0.377,1.073,0.357,-2.814,0.254,,
C19-46336,Gaia DR3 2826217261068446336,355.3689432,20.9285651,19.584,0.004,0.680,0.069,-0.244,0.367,1.148,0.461,-3.094,0.271,,
C19-28384,Gaia DR3 2852197625617728384,355.4056343,24.2832978,17.168,0.003,0.957,0.009,-0.047,0.100,1.196,0.082,-2.907,0.063,-3.79,OSIRIS
C19-45600,Gaia DR3 2852399381704345600,355.5377628,25.0715186,19.597,0.004,0.818,0.060,0.275,0.388,1.231,0.370,-2.731,0.314,,
C19-96992,Gaia DR3 2823165364682996992,355.6829549,20.3234309,19.650,0.005,0.563,0.094,0.805,0.441,1.072,0.492,-3.220,0.330,,
C19-43168,Gaia DR3 2827324576652743168,354.1805918,22.0364990,16.945,0.003,0.060,0.009,-0.061,0.074,1.206,0.073,-3.045,0.058,,HB
C19-45248,Gaia DR3 2852215046005045248,355.1653168,24.4418796,16.981,0.003,0.069,0.009,0.253,0.080,3.221,1.119,-3.020,0.053,,HB
C19-27232,Gaia DR3 2851613922380927232,359.0995336,25.0727130,16.706,0.003,0.094,0.009,0.216,0.079,0.216,0.079,-3.168,0.051,,HB
C19-58240,Gaia DR3 2828132236662858240,354.5801622,23.6484716,16.762,0.003,0.193,0.009,0.074,0.068,1.184,0.069,-3.027,0.047,,HB
C19-38752,Gaia DR3 2864750818590938752,354.8215599,26.4910224,16.846,0.003,0.166,0.009,0.007,0.069,1.247,0.066,-2.902,0.053,,HB
C19-65376,Gaia DR3 2867763308651765376,355.2655209,29.4259271,16.949,0.003,0.184,0.009,-0.034,0.088,1.305,0.080,-2.906,0.065,,HB
C19-72288,Gaia DR3 2756806814288972288,356.0119714,6.4344992,16.749,0.003,0.216,0.011,-0.056,0.075,1.308,0.080,-3.170,0.061,,HB
