Found,Name,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,HE 0400-2917,HE 0400-2917,,,HE 0400-2917,04 02 06.3501,-29 08 47.967,14,14,0.0087,0.0098,90,A,O,2020yCat.1350....0G,,14.467,13.786,13.348,12.883,12.364,11.916,11.836,ChemPec*,,04 02 06.3501,-29 08 47.967,9.538,-0.049,0.1911,296.8,1
True,HE 0401-0138,HE 0401-0138,,,HE 0401-0138,04 03 49.8786,-01 30 02.448,14,14,0.0126,0.0106,90,A,O,2020yCat.1350....0G,,14.719,13.844,13.284,12.704,11.946,11.462,11.3,ChemPec*,,04 03 49.8786,-01 30 02.448,7.376,-4.545,0.1704,137.4,1
True,HE 0401-3835,HE 0401-3835,,,HE 0401-3835,04 03 14.8988,-38 27 39.683,14,14,0.027,0.0316,90,A,O,2020yCat.1350....0G,,16.92,16.525,,,15.06,14.539,14.554,ChemPec*,CEMP-no,04 03 14.8988,-38 27 39.683,5.547,2.826,0.1318,347.5,1
True,HE 0411-5725,HE 0411-5725,,,HE 0411-5725,04 12 05.1903,-57 17 59.420,14,14,0.0221,0.0239,90,A,O,2020yCat.1350....0G,,16.524,15.753,15.774,,14.214,13.74,13.66,ChemPec*,,04 12 05.1903,-57 17 59.420,3.198,0.04,0.0403,286.1,1
True,HE 0414-0343,HE 0414-0343,,,HE 0414-0343,04 17 16.4631,-03 36 31.388,14,14,0.0114,0.0074,90,A,O,2020yCat.1350....0G,,12.23,11.04,,,9.193,8.674,8.51,SB*,CEMP-r/s,04 17 16.4631,-03 36 31.388,6.718,-12.251,0.2285,15.51,1
True,HE 0417-0821,HE 0417-0821,,,HE 0417-0821,04 19 31.5142,-08 14 19.444,14,14,0.0174,0.014,90,A,O,2020yCat.1350....0G,,15.45,14.813,14.422,14.038,13.432,13.125,12.997,ChemPec*,,04 19 31.5142,-08 14 19.444,26.18,-62.913,1.7308,-8.5,1
True,HE 0420+0123a,HE 0420+0123a,,,HE 0420+0123a,04 23 14.5447,+01 30 48.301,14,14,0.0162,0.01,90,A,O,2020yCat.1350....0G,,12.262,11.483,10.688,10.171,9.622,9.171,9.016,ChemPec*,CEMP-no,04 23 14.5447,+01 30 48.301,33.291,-21.462,0.8687,-55.52,1
True,HE 0430-4404,HE 0430-4404,,,HE 0430-4404,04 31 38.1101,-43 57 48.707,14,14,0.028,0.0273,90,A,O,2020yCat.1350....0G,,,15.724,,15.166,14.784,14.629,14.42,ChemPec*,CEMP-s,04 31 38.1101,-43 57 48.707,-0.193,-12.532,0.6373,201.5,1
True,HE 0430-4901,HE 0430-4901,,,HE 0430-4901,04 31 31.1369,-48 54 41.518,14,14,0.0129,0.014,90,A,O,2020yCat.1350....0G,,,14.572,,13.77,13.309,12.883,12.811,ChemPec*,CEMP-s,04 31 31.1369,-48 54 41.518,7.322,4.774,0.4042,208.7,1
True,HE 0432-0923,HE 0432-0923,,,HE 0432-0923,04 34 25.6711,-09 16 50.513,14,14,0.0178,0.0132,90,A,O,2020yCat.1350....0G,,,15.165,,14.14,13.527,13.045,12.973,ChemPec*,,04 34 25.6711,-09 16 50.513,4.154,-2.511,0.1092,-66.5,1
True,HE 0432-1005a,HE 0432-1005a,,,HE 0432-1005,04 35 01.3223,-09 59 36.363,14,14,0.0107,0.0076,90,A,O,2020yCat.1350....0G,,13.865,12.973,12.842,11.926,11.15,10.664,10.564,ChemPec*,CEMP-no,04 35 01.3223,-09 59 36.363,8.506,-7.165,0.2133,197.53,1
True,HE 0436-4008,HE 0436-4008,,,HE 0436-4008,04 38 11.1244,-40 03 01.731,14,14,0.0195,0.0209,90,A,O,2020yCat.1350....0G,,16.154,15.605,15.196,14.757,14.211,13.847,13.854,ChemPec*,,04 38 11.1244,-40 03 01.731,2.239,-6.411,0.2062,185.7,1
True,HE 0441-0652,HE 0441-0652,,,HE 0441-0652,04 43 29.8848,-06 46 53.520,14,14,0.0141,0.0102,90,A,O,2020yCat.1350....0G,,15.25,14.228,13.678,13.106,12.354,11.828,11.706,ChemPec*,CEMP-s,04 43 29.8848,-06 46 53.520,3.718,-4.401,0.1051,,1
True,HE 0441-4343,HE 0441-4343,,,HE 0441-4343,04 43 20.4304,-43 38 20.514,14,14,0.0178,0.0213,90,A,O,2020yCat.1350....0G,,,15.559,,14.835,14.294,13.917,13.921,ChemPec*,,04 43 20.4304,-43 38 20.514,1.763,-5.208,0.2848,165.0,1
True,HE 0442-1234,HE 0442-1234,,,HE 0442-1234,04 44 51.7052,-12 28 45.533,14,14,0.0098,0.0089,90,A,O,2020yCat.1350....0G,,,12.914,,11.672,10.682,10.116,9.962,ChemPec*,,04 44 51.7052,-12 28 45.533,7.879,-11.875,0.1742,231.8,1
True,HE 0445-2339,HE 0445-2339,,,HE 0445-2339,04 47 07.0000,-23 34 13.772,14,14,0.0071,0.0107,90,A,O,2020yCat.1350....0G,,14.727,14.057,13.728,,12.517,12.099,12.015,ChemPec*,,04 47 07.0000,-23 34 13.772,-0.35,-6.893,0.1106,-21.2,1
True,HE 0447-1858,HE 0447-1858,,,HE 0447-1858,04 49 41.4770,-18 53 19.101,14,14,0.0085,0.0085,90,A,O,2020yCat.1350....0G,,14.393,13.778,13.753,,12.412,12.054,12.01,ChemPec*,,04 49 41.4770,-18 53 19.101,19.775,2.33,0.648,119.937149,1
True,HE 0450-4705,HE 0450-4705,,,HE 0450-4705,04 51 33.5653,-47 00 03.814,14,14,0.0128,0.0139,90,A,O,2020yCat.1350....0G,,14.892,14.334,13.962,13.531,13.032,12.684,12.545,ChemPec*,CEMP-no,04 51 33.5653,-47 00 03.814,19.848,-27.449,0.4324,-6.3,1
True,HE 0454-4758,HE 0454-4758,,,HE 0454-4758,04 55 26.7156,-47 53 41.752,14,14,0.0094,0.0098,90,A,O,2020yCat.1350....0G,,,13.481,,12.704,12.123,11.763,11.671,RGB*,,04 55 26.7156,-47 53 41.752,22.107,28.71,0.589,240.2,1
True,HE 0501-5139,HE 0501-5139,,,HE 0501-5139,05 02 48.2100,-51 35 36.308,14,14,0.029,0.0291,90,A,O,2020yCat.1350....0G,,16.573,16.094,15.778,15.475,15.034,14.595,14.598,ChemPec*,,05 02 48.2100,-51 35 36.308,3.412,1.635,0.2203,199.3,1
True,HE 0501-5644,HE 0501-5644,,,HE 0501-5644,05 02 35.2746,-56 40 20.912,14,14,0.023,0.0232,90,A,O,2020yCat.1350....0G,,16.171,15.475,15.005,14.557,13.95,13.524,13.414,ChemPec*,,05 02 35.2746,-56 40 20.912,0.273,-2.154,0.0749,70.8,1
True,HE 0512-3835,HE 0512-3835,,,HE 0512-3835,05 13 59.4990,-38 31 54.560,14,14,0.0147,0.0168,90,A,O,2020yCat.1350....0G,,,15.116,,14.156,13.491,12.986,12.928,ChemPec*,,05 13 59.4990,-38 31 54.560,3.023,-0.91,0.0555,276.2,1
True,HE 0513-4557,HE 0513-4557,,,HE 0513-4557,05 15 12.2122,-45 54 10.460,14,14,0.0229,0.0253,90,A,O,2020yCat.1350....0G,,16.279,15.7,15.428,15.045,14.554,14.198,13.997,ChemPec*,,05 15 12.2122,-45 54 10.460,17.532,-20.142,0.2776,51.2,1
True,HE 0516-3820,HE 0516-3820,,,HE 0516-3820,05 18 12.9204,-38 17 32.704,14,14,0.0107,0.0128,90,A,O,2020yCat.1350....0G,,,14.377,,13.538,12.937,12.507,12.469,ChemPec*,,05 18 12.9204,-38 17 32.704,3.815,-0.436,0.3338,153.5,1
True,HE 0517-1952,HE 0517-1952,,,HE 0517-1952,05 19 18.7741,-19 49 13.092,14,14,0.0111,0.013,90,A,O,2020yCat.1350....0G,,15.261,14.631,14.217,13.768,13.28,12.845,12.759,ChemPec*,,05 19 18.7741,-19 49 13.092,5.006,-0.593,0.1005,42.2,1
True,HE 0519-5525,HE 0519-5525,,,HE 0519-5525,05 19 59.1518,-55 22 41.811,14,14,0.0169,0.0181,90,A,O,2020yCat.1350....0G,,15.57,15.0,,14.284,13.798,13.403,13.375,ChemPec*,,05 19 59.1518,-55 22 41.811,6.882,8.64,0.4208,377.4,1
True,HE 0520-1748,HE 0520-1748,,,HE 0520-1748,05 22 25.8629,-17 46 06.877,14,14,0.0183,0.0201,90,A,O,2020yCat.1350....0G,,16.068,15.403,14.981,14.521,14.02,13.601,13.534,ChemPec*,,05 22 25.8629,-17 46 06.877,6.328,-14.051,0.2953,1.3,1
True,HE 0524-2055,HE 0524-2055,,,HE 0524-2055,05 27 04.4443,-20 52 42.096,14,14,0.0072,0.0096,90,A,O,2020yCat.1350....0G,,,14.013,,12.937,12.256,11.747,11.623,ChemPec*,,05 27 04.4443,-20 52 42.096,1.327,-0.462,0.0956,255.3,1
True,HE 0533-5340,HE 0533-5340,,,HE 0533-5340,05 34 54.1290,-53 38 23.979,14,14,0.0184,0.0211,90,A,O,2020yCat.1350....0G,,15.937,15.151,14.977,,13.416,12.894,12.811,ChemPec*,,05 34 54.1290,-53 38 23.979,6.025,2.756,0.0621,149.9,1
True,HE 0534-4615,HE 0534-4615,,,HE 0534-4615,05 35 52.9449,-46 13 35.975,14,14,0.0158,0.0171,90,A,O,2020yCat.1350....0G,,,15.056,,14.317,13.753,13.364,13.262,ChemPec*,,05 35 52.9449,-46 13 35.975,7.365,14.278,0.4413,280.4,1
True,HE 0547-4539,HE 0547-4539,,,HE 0547-4539,05 49 13.7845,-45 39 04.087,14,14,0.0084,0.0085,90,A,O,2020yCat.1350....0G,,,12.909,,12.0,11.337,10.883,10.799,ChemPec*,,05 49 13.7845,-45 39 04.087,9.817,8.61,0.4822,491.06,1
True,HE 0557-4840,HE 0557-4840,,,HE 0557-4840,05 58 39.2660,-48 39 56.890,14,14,0.02,0.0203,90,A,O,2020yCat.1350....0G,,16.144,15.466,15.336,,13.792,13.304,13.194,ChemPec*,CEMP-no,05 58 39.2660,-48 39 56.890,0.745,0.709,0.0766,211.9,1
True,HE 0858-0016,HE 0858-0016,,,HE 0858-0016,09 01 32.3652,-00 28 01.980,14,14,0.0204,0.0116,90,A,O,2020yCat.1350....0G,,,14.722,,13.504,12.769,12.208,12.07,ChemPec*,,09 01 32.3652,-00 28 01.980,-0.246,-2.07,0.0328,51.0,1
True,HE 0926-0508,HE 0926-0508,,,HE 0926-0508,09 28 55.3529,-05 21 40.492,14,14,0.0466,0.0427,90,A,O,2020yCat.1350....0G,12.41,12.34,12.194,11.895,11.617,11.279,11.023,10.948,ChemPec*,,09 28 55.3529,-05 21 40.492,-3.979,-74.399,2.1897,191.676045,1
True,HE 0926-0546,HE 0926-0546,,,HE 0926-0546,09 29 27.9598,-05 59 43.433,14,14,0.0167,0.0186,90,A,O,2020yCat.1350....0G,,14.983,14.265,14.169,,12.66,12.194,12.159,ChemPec*,,09 29 27.9598,-05 59 43.433,6.624,-0.792,0.1201,153.8370056,1
True,HE 0938+0114,HE 0938+0114,,,Ross  889,09 40 43.2053,+01 00 29.511,14,14,0.0168,0.013,90,A,O,2020yCat.1350....0G,,,,10.39,,9.553,9.314,9.264,ChemPec*,sdA4,09 40 43.2053,+01 00 29.511,147.98,-505.493,5.5547,-56.68,1
True,HE 0951-1152,HE 0951-1152,,,HE 0951-1152,09 54 17.3358,-12 06 15.254,14,14,0.0319,0.0432,90,A,O,2020yCat.1350....0G,,16.359,15.672,15.239,14.789,14.248,13.895,13.754,ChemPec*,,09 54 17.3358,-12 06 15.254,-27.838,-26.489,1.5002,353.9,1
True,HE 1005-1439,HE 1005-1439,,,2MASS J10075239-1454209,10 07 52.3942,-14 54 20.983,14,14,0.0121,0.0114,90,A,O,2020yCat.1350....0G,,14.44,13.524,13.054,12.515,12.24,11.754,11.696,ChemPec*,CEMP-s,10 07 52.3942,-14 54 20.983,8.846,-20.999,0.2794,81.186892,1
True,HE 1006-2218,HE 1006-2218,,,HE 1006-2218,10 09 00.6927,-22 33 30.002,14,14,0.0153,0.0141,90,A,O,2020yCat.1350....0G,,,13.773,,13.197,12.916,12.713,12.634,ChemPec*,,10 09 00.6927,-22 33 30.002,-24.374,-27.448,1.0772,-19.6,1
True,HE 1012-1540,HE 1012-1540,,,HE 1012-1540,10 14 53.4753,-15 55 53.172,14,14,0.0157,0.0145,90,A,O,2020yCat.1350....0G,,14.721,14.043,14.034,,12.703,12.357,12.323,ChemPec*,CEMP-no,10 14 53.4753,-15 55 53.172,-102.194,28.166,2.5456,219.88,1
True,HE 1015-0027,HE 1015-0027,,,HE 1015-0027,10 17 35.7028,-00 42 24.303,14,14,0.0333,0.0352,90,A,O,2020yCat.1350....0G,,15.621,15.342,15.051,14.701,14.365,14.106,14.104,ChemPec*,,10 17 35.7028,-00 42 24.303,13.893,-37.21,0.5301,96.8,1
True,HE 1031-0020,HE 1031-0020,,,HE 1031-0020,10 34 24.2082,-00 36 08.378,14,14,0.0191,0.0187,90,A,O,2020yCat.1350....0G,,15.337,14.321,14.263,,12.632,12.183,12.091,ChemPec*,CEMP-s,10 34 24.2082,-00 36 08.378,1.493,-13.09,0.2021,66.36,1
True,HE 1044-2509,HE 1044-2509,,,HE 1044-2509,10 47 16.4778,-25 25 18.271,14,14,0.0153,0.0162,90,A,O,2020yCat.1350....0G,,15.011,14.345,13.877,13.399,12.799,12.372,12.281,ChemPec*,,10 47 16.4778,-25 25 18.271,3.441,-7.298,0.2517,386.7,1
True,HE 1045+0226,HE 1045+0226,,,HE 1045+0226,10 48 03.4066,+02 10 47.831,14,14,0.0154,0.0163,90,A,O,2020yCat.1350....0G,,15.197,14.183,14.063,,12.5,11.997,11.911,ChemPec*,CEMP-s,10 48 03.4066,+02 10 47.831,-5.593,-5.457,0.1329,135.04,1
True,HE 1052-2548,HE 1052-2548,,,HE 1052-2548,10 55 20.5362,-26 04 48.041,14,14,0.0133,0.0135,90,A,O,2020yCat.1350....0G,,13.492,13.188,12.906,12.541,12.158,11.923,11.874,ChemPec*,,10 55 20.5362,-26 04 48.041,-25.911,-32.691,1.4808,230.4,1
True,HE 1054-0059,HE 1054-0059,,,HE 1054-0059,10 56 47.7591,-01 15 29.494,14,14,0.0208,0.017,90,A,O,2020yCat.1350....0G,,,14.327,13.76,13.185,12.471,11.907,11.792,ChemPec*,,10 56 47.7591,-01 15 29.494,-1.593,-2.139,0.0361,236.3996,1
True,HE 1059-0118,HE 1059-0118,,,HE 1059-0118,11 02 03.3825,-01 34 14.598,14,14,0.04,0.0308,90,A,O,2020yCat.1350....0G,,,15.806,,15.022,14.635,14.295,14.219,ChemPec*,,11 02 03.3825,-01 34 14.598,-15.255,-13.518,1.0299,296.6,1
