El,Ion,lambda,loggf,LEP,Ref
O,I,6300.304,-9.819,0.0,1
Na,I,5889.951,0.117,0.0,1
Na,I,5895.924,-0.184,0.0,1
Mg,I,4167.271,-0.71,4.346,2
Mg,I,4571.096,-5.393,0.0,3
Mg,I,4702.991,-0.38,4.33,2
Mg,I,5172.684,-0.45,2.712,4
Mg,I,5183.604,-0.239,2.717,4
Mg,I,5528.405,-0.341,4.346,5
Si,I,4102.936,-3.14,1.909,1
Ca,I,4226.728,0.244,0.0,5
Ca,I,4283.011,-0.224,1.886,5
Ca,I,4289.367,-0.304,1.879,5
Ca,I,4318.652,-0.207,1.89,5
Ca,I,4434.957,-0.005,1.886,5
Ca,I,4454.78,0.258,1.898,5
Ca,I,4455.887,-0.526,1.899,5
Ca,I,5588.749,0.205,2.526,5
Ca,I,5594.462,0.05,2.523,5
Ca,I,5857.451,0.229,2.933,5
Ca,I,6102.723,-0.794,1.879,5
Ca,I,6122.217,-0.315,1.886,5
Ca,I,6162.173,-0.089,1.899,5
Ca,I,6439.075,0.472,2.526,5
Ca,I,6462.567,0.313,2.523,5
Ca,I,6493.79,-0.109,2.52,6
Sc,II,4246.837,0.24,0.315,7
Sc,II,4314.095,0.1,0.618,7
Sc,II,4320.732,-0.252,0.605,1
Sc,II,4324.996,-0.442,0.595,1
Sc,II,4374.457,-0.418,0.618,1
Sc,II,4400.399,-0.54,0.605,7
Sc,II,4415.563,-0.67,0.595,7
Sc,II,5031.021,-0.4,1.357,7
Sc,II,5526.79,0.02,1.768,7
Ti,I,4533.249,0.53,0.848,8
Ti,I,4534.776,0.34,0.836,8
Ti,I,4681.909,-1.02,0.048,9
Ti,I,4981.731,0.56,0.848,8
Ti,I,4991.065,0.436,0.836,8
Ti,I,4999.503,0.306,0.826,8
Ti,I,5007.21,0.168,0.818,8
Ti,I,5064.653,-0.935,0.048,9
Ti,I,5192.969,-0.95,0.021,9
Ti,I,5210.385,-0.828,0.048,9
Ti,II,4025.129,-2.14,0.607,10
Ti,II,4028.343,-0.99,1.892,11
Ti,II,4173.537,-1.815,1.084,1
Ti,II,4287.872,-1.82,1.08,11
Ti,II,4290.219,-0.93,1.165,11
Ti,II,4300.049,-0.42,1.18,11
Ti,II,4312.864,-1.09,1.18,11
Ti,II,4330.695,-2.09,1.18,11
Ti,II,4337.915,-0.96,1.08,10
Ti,II,4344.288,-1.93,1.084,1
Ti,II,4395.033,-0.46,1.084,11
Ti,II,4395.85,-1.93,1.243,10
Ti,II,4399.772,-1.22,1.237,11
Ti,II,4417.719,-1.19,1.165,10
Ti,II,4418.33,-2.07,1.237,11
Ti,II,4443.794,-0.72,1.08,10
Ti,II,4450.482,-1.5,1.084,11
Ti,II,4464.45,-1.81,1.161,11
Ti,II,4468.507,-0.6,1.131,11
Ti,II,4501.273,-0.77,1.116,10
Ti,II,4533.969,-0.54,1.237,11
Ti,II,4563.761,-0.69,1.221,10
Ti,II,4571.968,-0.32,1.572,10
