PIGS                       , [Fe/H]             , e_[Fe/H]            , [C/Fe], [C/Fe]c, [Na/Fe]             , e_[Na/Fe]           , [Mg/Fe]            , e_[Mg/Fe]           , [Al/Fe]            , e_[Al/Fe]           , [Si/Fe]            , e_[Si/Fe]           , [K/Fe]             , e_[K/Fe]            , [Ca/Fe]            , e_[Ca/Fe]           , [Sc/Fe]             , e_[Sc/Fe]          , [Ti/Fe]             , e_[Ti/Fe]           , [Cr/Fe]             , e_[Cr/Fe]           , [Mn/Fe]             , e_[Mn/Fe]           , [Co/Fe]              , e_[Co/Fe]           , [Ni/Fe]              , e_[Ni/Fe]           , [Zn/Fe]            , e_[Zn/Fe]           , [Sr/Fe]             , e_[Sr/Fe]          , [Y/Fe]              , e_[Y/Fe]            , [Ba/Fe]              , e_[Ba/Fe]           , [Eu/Fe], e_[Eu/Fe], Teff       , e_Teff     , logg        , e_logg
Pristine_184431.86-293145.0, -2.837             , 0.05427204202399745 ,       ,        , -0.03299988555908184, 0.07993719125322421 , 0.23000000000000043, 0.05427664825184534 ,                    ,                     , 0.3840000000000008 , 0.07379332317665702 , 0.5740000000000003 , 0.2361312231481778  , 0.2120000000000002 , 0.05587296196540755 , 0.13399988365173376 , 0.07379332317665702, 0.5200000877380373  , 0.08691061238683424 , -0.17099999999999982, 0.05665646075651519 ,                     ,                     ,                      ,                     , -0.08199999999999985 , 0.07379332317665702 ,                    ,                     , 0.32200000000000006 , 0.055587359583403  , -0.05499995994567852, 0.05574454722620451 , -0.399               , 0.08184897400367672 ,        ,          , 4398.510474, 75.26339455, 0.9833403547, 0.1059108573
Pristine_184759.63-315322.5, -2.302             , 0.01692033901375577 , -0.6  ,    0.77, 0.042999999999999705, 0.045676009811939845, 0.2360000152587891 , 0.06061598693694944 , 0.20000000000000018, 0.05278539449829305 , 0.3740000267028809 , 0.05278539449829305 , -7.688000000000001 , 0.05278539449829305 , 0.15799999999999992, 0.04428033279392134 , 0.08099999618530296 , 0.10043056244162145, 0.5650000114440918  , 0.04368747154090888 , -0.25600008773803706, 0.07843078975396929 , -0.9860000114440921 , 0.043249252852973374, 0.13200001907348646  , 0.19174800617565865 , 0.18200011444091801  , 0.05144379981112489 , 0.1299999999999999 , 0.0354160679966089  , -0.28900000000000015, 0.03603883838777862, -0.4579999904632568 , 0.05611192272895686 , -0.23399999999999999 , 0.11705766900267758 , 0.0    ,       0.2, 4565.0     , 80.0       , 1.05        , 0.11
Pristine_184843.24-314626.8, -3.124             , 0.02543259064009537 , -0.5  ,    0.74, 0.24200003051757824 , 0.028130351342751953, 0.44900004768371593, 0.038041424789300414,                    ,                     ,                    ,                     , -6.866             , 0.05609649424577856 , 0.11299999999999999, 0.03235454630599333 , 0.19599997901916533 , 0.04706183875144135, 0.18600003623962413 , 0.10422099916363624 , -0.2159999141693114 , 0.09834539474050967 ,                     ,                     ,                      ,                     , -0.25                , 0.05609649424577856 ,                    ,                     ,                     ,                    ,                     ,                     , -1.0340000000000003  , 0.029829794948451567, 0.0    ,       0.2, 4597.033794, 77.65718584, 1.109998814 , 0.1026780778
Pristine_184853.44-302718.4, -2.475             , 0.022628096898121355,       ,        , -0.17999999999999972, 0.0810063625231424  , 0.24800000000000066, 0.045522310675434406,                    ,                     ,                    ,                     , 0.4410000000000003 , 0.08918537306773329 , 0.29600000000000026, 0.03548438924853971 , 0.08699994087219265 , 0.09474191664321958, 0.5499999999999996  , 0.04639268012554103 , -0.48999991416931143, 0.06416668997668575 , -0.7530000686645506 , 0.05488197125860887 ,                      ,                     , -0.1590000629425048  , 0.029212396385166737,                    ,                     ,                     ,                    , -0.2190000057220458 , 0.0468404821626632  , -0.383               , 0.10313598193274144 ,        ,          , 4403.003874, 67.82001849, 0.8502147676, 0.1014646232
Pristine_184957.04-291425.1, -2.6580000000000004, 0.0203701381619181  ,       ,        , -0.07899998855590784, 0.020382407334160312, 0.3080000000000003 , 0.07010665110198626 , 0.27500000000000036, 0.0539902077115437  ,                    ,                     , 0.39000000000000057, 0.034284727339380025, 0.30100000000000016, 0.05490120698796733 , 0.1370000438690191  , 0.07554430838081472, 0.726               , 0.036976889469269705, -0.46199999999999974, 0.10529550099000258 , -0.9519999999999995 , 0.0539902077115437  ,                      ,                     , 0.18800000000000017  , 0.08824818711302591 , 0.4500000000000002 , 0.08588912928150821 , 0.0900000000000003  , 0.0539902077115437 , 0.08299995231628454 , 0.07146462431675991 , 0.0050000000000003375, 0.041417901066273646, -0.2   ,       0.2, 4323.620729, 69.63703172, 0.7869326848, 0.1132477544
Pristine_185053.71-313317.7, -1.2240000000000002, 0.01986216874176727 , -0.2  ,    0.09, 0.5620000000000003  , 0.09336865505685747 , 0.37299998903274556, 0.14948747689062933 , 0.24400000000000022, 0.053800611029303724, 0.5530000000000008 , 0.0647843017028542  , -8.766             , 0.053800611029303724, 0.39200000000000024, 0.0374035758485318  , -0.33200004196166977, 0.07412830597771972, -0.28100000000000014, 0.038403073701294824, -0.2809999952316282 , 0.06578447123917122 , -0.23399999999999932, 0.078524373131518   , -0.3780000000000001  , 0.22503112173014297 , 0.09300000000000108  , 0.06234476227791773 , -0.1039999999999992, 0.07412830597771972 , -0.22799999999999976, 0.05596879261808706, -0.5170000562667847 , 0.1365111927540245  , -0.35299999999999976 , 0.04691221319791294 , 0.0    ,       0.2, 4564.408118, 82.47746716, 1.001801095 , 0.1138989514
Pristine_185129.00-300942.8, -3.263000011444092 , 0.019914771674340668,       ,        , 0.046000003814697266, 0.04181624242852436 , 0.46600001144409164, 0.037267252794392046, 0.07600001144409196, 0.053820053240786765, 0.749000011444092  , 0.053820053240786765, 0.5740000114440917 , 0.07482378051689931 , 0.2560000114440917 , 0.04612885060473379 , 0.19300003051757875 , 0.10158378215792022, 0.23399996757507324 , 0.038582944229109524, -0.42999998855590826, 0.11400350052012052 , -1.2409999885559078 , 0.021282186545899244, -0.004999988555907997, 0.06655773031117014 , -0.1700000762939453  , 0.053820053240786765,                    ,                     , -0.3629999885559081 , 0.05863956114127323,                     ,                     , -1.1499999885559085  , 0.03517240581537068 , 0.0    ,       0.2, 4720.592711, 80.16115809, 1.357350484 , 0.1147056462
Pristine_185210.30-315413.2, -2.690999984741211 , 0.01555238320568984 , -0.3  ,    0.74, 0.12999998474121055 , 0.0280424075888042  , 0.4219999847412117 , 0.11136520981307384 , 0.5119999847412111 , 0.05236293176834758 , 0.6499999847412115 , 0.13384273093215268 , -7.299000015258789 , 0.05236293176834758 , 0.35699998474121086, 0.03198635057921775 , 0.08400006294250506 , 0.06018202907327588, 0.5489999847412106  , 0.04497462199259293 , -0.38700008392333984, 0.08912468769488036 , -0.995000015258789  , 0.07806488726294698 , -0.11300001525878933 , 0.029295220714477585, -0.032000064849853516, 0.03955852150139871 ,                    ,                     , 0.3179999847412107  , 0.11770461598160296, 0.020999908447265625, 0.049465913752569285, -0.342000015258789   , 0.12397933950209859 , 0.0    ,       0.2, 4416.120569, 72.06672889, 0.8841362875, 0.1014323019
Pristine_185347.87-314747.6, -1.905             , 0.02398838214378173 ,       ,        , -0.15500000000000047, 0.10323488982837198 , 0.3710000000000002 , 0.19833248803766226 ,                    ,                     ,                    ,                     , -8.085             , 0.05545667207718208 , 0.26               , 0.05484076170644216 ,                     ,                    ,                     ,                     , 0.12400000000000033 , 0.032022530784997394, -0.9039999198913573 , 0.05545667207718208 ,                      ,                     , -0.10200000000000009 , 0.11003382424452994 , 0.14400000000000035, 0.05545667207718208 ,                     ,                    ,                     ,                     , 0.373                , 0.05772081494466364 ,        ,          , 4341.15751 , 74.37866932, 0.8004491834, 0.1032414746
Pristine_185704.51-301021.6, -2.914999961853028 , 0.060000757570974964,       ,        , 0.16199994087219283 , 0.11575876169470245 , 0.47999996185302773, 0.07652673329687418 ,                    ,                     ,                    ,                     , 0.5519999618530278 , 0.08849910117674026 , 0.3559999618530276 , 0.0689076017269327  , 0.296999883651734   , 0.08246266372784054, 0.5                 , 0.06331211765866186 , -0.3300000381469723 , 0.07810307874271609 ,                     ,                     ,                      ,                     , 0.2149999618530276   , 0.07810307874271609 ,                    ,                     , 0.3219999618530278  , 0.07810307874271609, -0.22200012207031206, 0.07810307874271609 , -0.9580000381469724  , 0.08570545048259325 ,        ,          , 4403.226246, 74.162108  , 0.8670404405, 0.09798940995
