PIGS,Field,GaiaDR3,RAJ2000,DEJ2000,RV,e_RV,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__C_Fe_,e__C_Fe_,__C_Fe_corr,pmRAred,pmDEred
Pristine_184445.77-275640.1,Field 108153,4071758571519232640,281.19070833333,-27.94447222222,135.1715,1.701,5014.712,172.632,2.102,0.6451,-2.305,0.1705,-0.232,0.2858,0.167,0.233,0.016
Pristine_184646.85-282106.0,Field 108153,4071522382672553216,281.69520833333,-28.35166666667,127.0954,1.628,5149.573,169.103,2.298,0.7409,-2.665,0.1755,-0.156,0.3188,0.1333,0.09100000000000001,0.060000000000000005
Pristine_184913.11-291603.6,Field282.0-29.8_Sag,6761548326723689984,282.304625,-29.26766666667,136.3936,0.88,4840.842,173.692,2.256,0.4076,-1.75,0.156,-0.522,0.2263,0.0806,0.016,0.022000000000000002
Pristine_185059.23-292200.1,Field282.0-29.8_Sag,6761508430739189376,282.74679166667,-29.36669444444,171.5397,0.825,5045.696,149.155,1.695,0.427,-1.701,0.153,-0.455,0.2717,0.3075,-0.069,-0.09100000000000001
Pristine_184352.57-292548.9,Field282.0-29.8_Sag,4071328658141358592,280.96904166667,-29.43025,138.4632,0.906,4937.566,189.079,1.808,0.5136,-1.775,0.1674,-0.271,0.2817,0.2641,-0.277,-0.14900000000000002
Pristine_184923.81-294758.7,Field282.0-29.8_Sag,6761375802157343360,282.34920833333,-29.79963888889,135.2292,0.417,4812.204,172.686,1.78,0.575,-2.35,0.1748,-0.744,0.3097,0.3098,-0.025,0.11300000000000002
Pristine_184950.18-285903.6,Field282.0-29.8_Sag,6761579383602248448,282.45908333333,-28.98433333333,138.5288,0.693,4838.249,193.158,1.859,0.497,-1.742,0.1691,-0.652,0.258,0.234,0.163,0.135
Pristine_184722.68-301918.1,Field282.0-29.8_Sag,6761332130924839680,281.8445,-30.32169444444,141.9912,0.917,4801.854,156.355,1.464,0.4077,-1.875,0.1856,-0.852,0.2387,0.411,-0.03900000000000001,-0.11400000000000002
Pristine_185112.90-294033.7,Field282.0-29.8_Sag,6761464935636175488,282.80375,-29.67602777778,156.0725,2.879,4907.364,144.72,1.764,0.3905,-1.832,0.1461,-0.141,0.2322,0.2416,-0.20600000000000002,-0.35800000000000004
Pristine_184707.47-291823.6,Field282.0-29.8_Sag,4071304640678168448,281.781125,-29.30655555556,156.3569,1.081,5045.662,149.771,2.673,0.3635,-1.574,0.1559,-0.186,0.2175,0.0238,0.21900000000000003,0.001
Pristine_184926.45-292713.4,Field282.0-29.8_Sag,6761525271338963200,282.36020833333,-29.45372222222,150.4327,1.025,4986.227,175.981,1.944,0.4853,-1.759,0.166,-0.266,0.2666,0.1716,0.07500000000000001,-0.017
Pristine_184355.74-301325.1,Field282.0-29.8_Sag,4047225439109044352,280.98225,-30.22363888889,140.9066,1.331,4730.498,194.785,1.841,0.4636,-1.78,0.1618,-0.456,0.2293,0.2427,-0.15700000000000003,-0.11400000000000002
Pristine_184538.11-293317.7,Field282.0-29.8_Sag,4071270800669603456,281.40879166667,-29.55491666667,117.7013,0.932,4885.189,144.147,1.895,0.426,-2.139,0.1466,-0.395,0.2416,0.2516,-0.199,-0.09400000000000001
Pristine_184857.63-301951.6,Field282.0-29.8_Sag,6761322338399386496,282.240125,-30.331,138.1261,0.721,4969.112,145.22,1.579,0.4109,-1.87,0.1624,-0.662,0.2976,0.3692,-0.20500000000000002,-0.24400000000000002
Pristine_184901.04-290300.0,Field282.0-29.8_Sag,6761556018980063104,282.25433333333,-29.05,125.0941,0.741,4993.914,172.287,1.943,0.7188,-2.574,0.1735,-0.301,0.3357,0.226,0.21800000000000003,0.15600000000000003
