HE 0157-3335   81 4775 100 1.62 0.24 0.34 -3.08 0.14 0.19 1.86 0.12 0.22
HE 0200-0955   39 5216 100 2.57 0.26 0.36 -2.46 0.13 0.19 1.79 0.14 0.24
HE 0202-2204   82 5280 100 1.65 0.22 0.32 -1.98 0.14 0.19 2.47 0.12 0.22
HE 0231-4016   39 5972 100 3.59 0.28 0.38 -2.08 0.13 0.18 1.67 0.15 0.25
HE 0240-0807   50 4729 100 1.54 0.24 0.34 -2.68 0.11 0.18 1.96 0.12 0.22
HE 0240-6105   73 4720 100 1.26 0.25 0.35 -3.23 0.12 0.18 2.15 0.12 0.22
HE 0243-0753   71 5066 100 2.29 0.24 0.34 -2.49 0.14 0.19 1.77 0.12 0.22
HE 0243-5238   60 5085 100 2.35 0.26 0.36 -3.04 0.12 0.18 1.64 0.13 0.23
HE 0244-4111   46 5624 100 3.39 0.26 0.36 -2.56 0.12 0.17 1.38 0.14 0.24
HE 0248+0039   52 5199 100 2.57 0.25 0.35 -2.53 0.12 0.18 1.75 0.13 0.23
HE 0256-1109   16 5891 100 4.04 0.34 0.44 -2.73 0.13 0.18 1.69 0.24 0.34
HE 0300-0751   33 5280 100 2.97 0.26 0.36 -2.27 0.13 0.19 1.61 0.15 0.25
HE 0305-4520   56 4817 100 1.56 0.25 0.35 -2.91 0.13 0.18 2.02 0.13 0.23
HE 0308-1154   34 4984 100 2.05 0.27 0.37 -2.82 0.13 0.18 1.69 0.14 0.24
HE 0315+0000   43 5013 100 2.11 0.26 0.36 -2.73 0.13 0.19 1.72 0.13 0.23
HE 0316+0214   35 4639 100 1.39 0.27 0.37 -3.13 0.11 0.17 1.98 0.14 0.24
HE 0317-4640   54 5872 100 4.10 0.24 0.34 -2.33 0.11 0.17 1.49 0.13 0.23
HE 0323-4529   41 5127 100 2.51 0.27 0.37 -3.15 0.13 0.18 1.62 0.14 0.24
HE 0328-1047   52 5301 100 3.03 0.24 0.34 -2.25 0.11 0.18 1.21 0.13 0.23
HE 0330-4004   42 5946 100 3.78 0.27 0.37 -2.20 0.12 0.17 1.53 0.14 0.24
HE 0330-4144   46 5961 100 4.20 0.24 0.34 -1.90 0.10 0.17 1.52 0.14 0.24
HE 0331-4939   40 5206 100 2.60 0.28 0.38 -2.90 0.12 0.18 1.55 0.14 0.24
HE 0333-4001   46 5892 100 4.31 0.26 0.36 -2.64 0.12 0.17 1.30 0.14 0.24
HE 0336-3829   41 5740 100 3.22 0.25 0.35 -2.75 0.13 0.18 1.48 0.15 0.25
HE 0337-5127   46 5247 100 2.86 0.25 0.35 -2.62 0.13 0.18 1.55 0.14 0.24
HE 0338-3945   47 6162 100 4.09 0.25 0.35 -2.41 0.13 0.18 1.33 0.14 0.24
HE 0339-4027   55 5896 100 4.11 0.24 0.34 -1.81 0.11 0.18 1.48 0.14 0.24
HE 0340-3430   49 5914 100 3.81 0.25 0.35 -1.95 0.12 0.18 1.59 0.14 0.24
HE 0340-5355   59 4862 100 1.81 0.25 0.35 -2.89 0.13 0.18 1.87 0.12 0.22
HE 0341-4024   79 6108 100 4.20 0.24 0.34 -1.82 0.12 0.17 1.41 0.13 0.23
HE 0344+0139   42 6291 100 4.18 0.26 0.36 -1.81 0.12 0.18 1.45 0.15 0.25
HE 0347-1819   59 5198 100 4.23 0.24 0.34 -2.78 0.14 0.19 1.61 0.15 0.25
HE 0353-6024   53 5320 100 3.15 0.27 0.37 -3.17 0.13 0.18 1.49 0.14 0.24
HE 0400-2917   61 5065 100 2.39 0.25 0.35 -2.88 0.12 0.18 1.67 0.13 0.23
HE 0401-0138   56 4866 100 1.76 0.27 0.37 -3.34 0.13 0.18 1.45 0.13 0.23
HE 0417-0821   62 5811 100 4.83 0.24 0.34 -2.33 0.12 0.17 1.40 0.14 0.24
HE 0430-4404   49 6214 100 4.27 0.25 0.35 -2.07 0.11 0.17 1.41 0.14 0.24
HE 0430-4901   50 5296 100 3.12 0.25 0.35 -2.72 0.12 0.18 1.32 0.13 0.23
HE 0432-0923   74 5131 100 2.64 0.23 0.33 -3.19 0.13 0.18 1.54 0.12 0.22
HE 0436-4008   40 5431 100 3.34 0.24 0.34 -2.35 0.12 0.18 1.30 0.14 0.24
HE 0441-4343   44 5629 100 3.59 0.25 0.35 -2.52 0.12 0.18 1.29 0.15 0.25
HE 0442-1234   77 4604 100 1.34 0.24 0.34 -2.41 0.14 0.20 2.21 0.12 0.22
HE 0447-4858   18 5995 100 3.86 0.27 0.37 -1.69 0.12 0.18 1.35 0.19 0.29
HE 0450-4705   48 5429 100 3.34 0.28 0.38 -3.10 0.13 0.18 1.49 0.15 0.25
HE 0454-4758   77 5388 100 3.33 0.25 0.35 -3.10 0.13 0.18 1.49 0.13 0.23
HE 0501-5139   21 5861 100 3.54 0.26 0.36 -2.38 0.14 0.19 1.49 0.16 0.26
HE 0501-5644   41 5033 100 2.30 0.25 0.35 -2.41 0.12 0.19 1.76 0.13 0.23
HE 0512-3835   41 4948 100 2.01 0.25 0.35 -2.40 0.12 0.19 1.90 0.14 0.24
HE 0513-4557   19 5629 100 3.62 0.28 0.38 -2.79 0.13 0.18 1.44 0.20 0.30
HE 0516-3820   51 5342 100 3.05 0.24 0.34 -2.33 0.12 0.18 1.48 0.13 0.23
HE 0517-1952   69 5254 100 1.99 0.25 0.35 -2.61 0.14 0.19 2.09 0.12 0.22
HE 0519-5525   26 5580 100 3.48 0.27 0.37 -2.52 0.12 0.18 1.45 0.16 0.26
HE 0520-1748   72 5272 100 3.06 0.24 0.34 -2.52 0.12 0.18 1.46 0.12 0.22
HE 0524-2055   66 4739 100 1.57 0.24 0.34 -2.58 0.12 0.19 1.95 0.12 0.22
HE 0534-4615   53 5506 100 3.40 0.24 0.34 -2.01 0.12 0.18 1.43 0.13 0.23
HE 0538-4515   41 5896 100 3.97 0.25 0.35 -1.52 0.10 0.18 1.52 0.14 0.24
HE 0547-4539   94 5152 100 2.59 0.24 0.34 -3.01 0.13 0.18 1.57 0.12 0.22
HE 0858-0016   39 4447 100 0.75 0.26 0.36 -2.73 0.12 0.19 2.35 0.14 0.24
HE 0926-0508  124 6249 100 4.24 0.25 0.35 -2.78 0.12 0.17 1.60 0.12 0.22
HE 0938+0114  307 6777 100 4.89 0.23 0.33 -2.51 0.12 0.17 1.76 0.11 0.21
HE 0951-1152   41 5349 100 4.75 0.25 0.35 -2.62 0.14 0.18 1.42 0.17 0.27
HE 1006-2218   65 6638 100 4.62 0.30 0.40 -2.69 0.13 0.18 1.79 0.16 0.26
HE 1015-0027   47 6315 100 4.40 0.27 0.37 -2.66 0.12 0.17 1.43 0.15 0.25
HE 1044-2509   51 5227 100 2.78 0.26 0.36 -2.89 0.12 0.18 1.84 0.14 0.24
HE 1052-2548   93 6534 100 4.52 0.25 0.35 -2.29 0.12 0.17 1.57 0.13 0.23
