Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_logepsX,
SDSS_J135751,C-H,2,,5.97,,-2.46,,0.41,0.30,
SDSS_J135751,Na I,2,,3.92,,-2.32,,0.54,0.15,
SDSS_J135751,Mg I,4,,5.16,,-2.44,,0.42,0.15,
SDSS_J135751,Al I,2,,2.69,,-3.76,,-0.90,0.50,
SDSS_J135751,Si I,1,,4.65,,-2.86,,0.00,0.50,
SDSS_J135751,Ca I,4,,3.93,,-2.41,,0.45,0.15,
SDSS_J135751,Sc II,3,,0.59,,-2.56,,0.30,0.30,
SDSS_J135751,Ti II,11,,2.25,,-2.70,,0.16,0.15,
SDSS_J135751,Cr I,4,,2.59,,-3.05,,-0.19,0.15,
SDSS_J135751,Mn I,3,,1.90,,-3.53,,-0.67,0.30,
SDSS_J135751,Fe I,60,,4.64,,-2.86,,0.00,0.20,
SDSS_J135751,Fe II,7,,4.66,,-2.84,,0.02,0.15,
SDSS_J135751,Co I,2,<,3.81,<,-1.19,<,1.68,,
SDSS_J135751,Ni I,1,<,4.53,<,-1.69,<,1.17,,
SDSS_J135751,Sr II,1,<,-1.89,<,-4.76,<,-1.90,,
SDSS_J135751,Ba II,1,<,-2.18,<,-4.36,<,-1.50,,
SDSS_J135759,C-H,2,,6.12,,-2.30,,0.51,0.20,
SDSS_J135759,Na I,2,,4.06,,-2.18,,0.45,0.10,
SDSS_J135759,Mg I,5,,5.36,,-2.24,,0.39,0.12,
SDSS_J135759,Al I,2,,2.78,,-3.67,,-1.18,0.31,
SDSS_J135759,Si I,1,<,5.88,<,-1.63,<,1.00,,
SDSS_J135759,Ca I,8,,4.18,,-2.16,,0.47,0.10,
SDSS_J135759,Sc II,5,,0.32,,-2.83,,-0.20,0.28,
SDSS_J135759,Ti I,2,,2.69,,-2.27,,0.36,0.10,
SDSS_J135759,Ti II,17,,2.45,,-2.50,,0.13,0.11,
SDSS_J135759,Cr I,6,,2.83,,-2.81,,-0.18,0.10,
SDSS_J135759,Mn I,3,,2.80,,-2.63,,-0.00,0.30,
SDSS_J135759,Fe I,109,,4.87,,-2.63,,0.00,0.13,
SDSS_J135759,Fe II,9,,4.89,,-2.61,,0.02,0.10,
SDSS_J135759,Co I,3,,2.18,,-2.81,,-0.18,0.10,
SDSS_J135759,Ni I,3,,3.88,,-2.34,,0.29,0.12,
SDSS_J135759,Sr II,1,<,-2.16,<,-5.03,<,-2.40,,
SDSS_J135759,Ba II,1,<,-2.15,<,-4.33,<,-1.70,,
SDSS_J135756,C-H,2,,5.91,,-2.49,,0.43,0.25,
SDSS_J135756,Na I,2,,3.92,,-2.32,,0.61,0.10,
SDSS_J135756,Mg I,5,,5.10,,-2.50,,0.42,0.12,
SDSS_J135756,Al I,2,,2.47,,-3.98,,-1.05,0.50,
SDSS_J135756,Si I,1,,4.59,,-2.92,,0.00,0.50,
SDSS_J135756,Ca I,6,,3.92,,-2.42,,0.50,0.10,
SDSS_J135756,Sc II,3,,0.05,,-3.10,,-0.18,0.30,
SDSS_J135756,Ti II,12,,2.20,,-2.75,,0.17,0.10,
SDSS_J135756,Cr I,4,,2.50,,-3.14,,-0.21,0.10,
SDSS_J135756,Mn I,3,,1.74,,-3.69,,-0.76,0.27,
SDSS_J135756,Fe I,71,,4.58,,-2.92,,0.00,0.17,
SDSS_J135756,Fe II,5,,4.56,,-2.94,,-0.02,0.10,
SDSS_J135756,Co I,2,,2.13,,-2.86,,0.06,0.10,
SDSS_J135756,Ni I,2,,3.75,,-2.47,,0.45,0.10,
SDSS_J135756,Sr II,1,<,-2.05,<,-4.92,<,-2.00,,
SDSS_J135756,Ba II,1,<,-2.24,<,-4.42,<,-1.50,,
SDSS_J135801,C-H,2,,6.06,,-2.37,,0.51,0.30,
SDSS_J135801,Na I,2,,3.67,,-2.57,,0.30,0.10,
SDSS_J135801,Mg I,4,,4.99,,-2.61,,0.26,0.10,
SDSS_J135801,Al I,1,<,4.28,<,-2.17,<,0.70,,
SDSS_J135801,Si I,1,<,5.64,<,-1.87,<,1.00,,
SDSS_J135801,Ca I,2,,3.83,,-2.51,,0.35,0.10,
SDSS_J135801,Sc II,3,<,0.78,<,-2.37,<,0.50,,
SDSS_J135801,Ti II,11,,2.47,,-2.48,,0.39,0.14,
SDSS_J135801,Cr I,3,,2.56,,-3.08,,-0.21,0.11,
SDSS_J135801,Mn I,3,<,3.06,<,-2.37,<,0.50,,
SDSS_J135801,Fe I,42,,4.63,,-2.87,,0.00,0.11,
SDSS_J135801,Fe II,3,,4.63,,-2.87,,0.00,0.10,
SDSS_J135801,Co I,1,<,3.03,<,-1.96,<,0.91,,
SDSS_J135801,Ni I,1,<,4.34,<,-1.88,<,0.99,,
SDSS_J135801,Sr II,1,<,-1.20,<,-4.07,<,-1.20,,
SDSS_J135801,Ba II,1,<,-1.99,<,-4.17,<,-1.30,,
