Name,Teff,logg,Vmic,Fe/H
SDSS_J135751,5102,2.20,2.00,-2.86
SDSS_J135759,4936,1.80,2.05,-2.63
SDSS_J135756,5013,2.00,2.00,-2.92
SDSS_J135801,5192,2.60,1.65,-2.87
