Name,Ref,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,Fe/H,e_Fe/H
GruI-032,TW,4495,155,0.85,0.37,2.60,0.32,-2.57,0.19
GruI-032,W16,4270,69,0.72,0.22,2.0,,-2.69,0.10
GruI-038,TW,4660,158,1.45,0.39,2.40,0.32,-2.50,0.24
GruI-038,W16,4532,100,0.87,0.31,2.0,,-2.42,0.15
TriII-40,TW,4720,175,1.35,0.42,2.48,0.34,-2.95,0.21
TriII-40,V17,4800,50,1.80,0.06,2.7,0.2,-2.87,0.19
TriII-40,K17,4816,,1.64,,2.51,,-2.92,0.21
TriII-40,K17,4917,,1.89,,1.70,,-2.78,0.11
TriII-46,TW,5150,200,2.7,0.5,2.00,0.5,-1.96,0.28
TriII-46,V17,5050,50,2.60,0.06,2.5,,-2.5,0.2
TriII-46,K17,5282,,2.74,,1.50,,-1.91,0.11
TriII-46,Spec,5260,240,2.7,0.6,2.5,0.5,-2.01,0.26
