Name,Species,N,logepsX_sun,l_logepsX,logepsX,[X/H],[X/Fe],e_[X/H],e_[X/H]_Teff,e_[X/H]_logg,e_[X/H]_Vmic,e_[X/H]_sys,e_[X/H]_tot,e_[X/Fe]_Teff,e_[X/Fe]_logg,e_[X/Fe]_Vmic,e_[X/Fe]_sys,e_[X/Fe]_tot
LMC-003,11.0,2,6.24,,3.36,-2.88,0.09,0.27,0.23,-0.07,-0.1,0.26,0.37,0.01,-0.01,-0.06,0.06,0.28
LMC-003,12.0,3,7.6,,5.01,-2.59,0.38,0.2,0.16,-0.05,-0.02,0.17,0.26,-0.06,0.01,0.02,0.06,0.21
LMC-003,13.0,1,6.45,,2.51,-3.94,-0.97,0.61,0.02,-0.02,-0.1,0.1,0.62,-0.2,0.04,-0.06,0.21,0.65
LMC-003,14.0,1,7.51,,4.19,-3.32,-0.35,0.6,0.15,-0.14,-0.14,0.25,0.65,-0.07,-0.08,-0.1,0.15,0.62
LMC-003,19.0,1,5.03,,2.51,-2.52,0.45,0.2,0.14,-0.04,-0.01,0.15,0.25,-0.08,0.02,0.03,0.09,0.22
LMC-003,20.0,10,6.34,,3.56,-2.78,0.19,0.2,0.13,-0.04,-0.02,0.14,0.24,-0.09,0.02,0.02,0.09,0.22
LMC-003,21.1,7,3.15,,0.02,-3.13,-0.16,0.2,0.08,0.09,-0.04,0.13,0.24,-0.14,0.15,0.0,0.21,0.29
LMC-003,22.0,9,4.95,,2.15,-2.8,0.17,0.2,0.22,-0.06,-0.03,0.23,0.3,-0.0,0.0,0.01,0.01,0.2
LMC-003,22.1,21,4.95,,2.12,-2.83,0.14,0.23,0.06,0.09,-0.04,0.12,0.26,-0.16,0.15,-0.0,0.22,0.32
LMC-003,23.0,1,3.93,<,1.03,-2.9,0.07,,,,,,,,,,,
LMC-003,23.1,1,3.93,<,1.41,-2.52,0.45,,,,,,,,,,,
LMC-003,24.0,2,5.64,,2.26,-3.38,-0.41,0.2,0.2,-0.06,-0.02,0.21,0.29,-0.02,0.0,0.02,0.03,0.2
LMC-003,24.1,1,5.64,,2.73,-2.91,0.06,0.2,-0.03,0.1,-0.01,0.1,0.22,-0.25,0.16,0.03,0.3,0.36
LMC-003,25.0,1,5.43,<,2.35,-3.08,-0.11,,,,,,,,,,,
LMC-003,26.0,85,7.5,,4.53,-2.97,0.0,0.2,0.22,-0.06,-0.04,0.23,0.3,-0.0,0.0,0.0,0.0,0.2
LMC-003,26.1,16,7.5,,4.49,-3.01,-0.04,0.2,-0.0,0.1,-0.02,0.1,0.22,-0.22,0.16,0.02,0.27,0.34
LMC-003,27.0,2,4.99,,2.06,-2.93,0.04,0.26,0.23,-0.05,-0.02,0.24,0.35,0.01,0.01,0.02,0.02,0.26
LMC-003,28.0,3,6.22,,3.53,-2.69,0.28,0.2,0.18,-0.03,-0.01,0.18,0.27,-0.04,0.03,0.03,0.06,0.21
LMC-003,38.1,2,2.87,,-0.23,-3.1,-0.13,0.2,0.06,0.07,-0.19,0.21,0.29,-0.16,0.13,-0.15,0.25,0.32
LMC-003,39.1,1,2.21,<,-0.67,-2.88,0.09,,,,,,,,,,,
LMC-003,40.1,1,2.58,<,0.06,-2.52,0.45,,,,,,,,,,,
LMC-003,56.1,3,2.18,,-1.96,-4.14,-1.17,0.2,0.11,0.09,-0.02,0.14,0.24,-0.11,0.15,0.02,0.19,0.28
LMC-003,57.1,1,1.1,<,-1.73,-2.83,0.14,,,,,,,,,,,
LMC-003,63.1,1,0.52,<,-2.21,-2.73,0.24,,,,,,,,,,,
LMC-003,106.0,2,8.43,,5.08,-3.35,-0.38,0.2,0.34,-0.1,-0.0,0.35,0.4,0.12,-0.04,0.04,0.13,0.24
LMC-100,11.0,1,6.24,,3.49,-2.75,-0.08,0.22,0.23,-0.06,-0.11,0.26,0.34,0.01,-0.02,-0.05,0.05,0.23
LMC-100,12.0,3,7.6,,5.32,-2.28,0.39,0.22,0.17,-0.04,-0.04,0.18,0.28,-0.05,0.0,0.02,0.05,0.23
LMC-100,13.0,1,6.45,,2.82,-3.63,-0.96,0.65,0.14,-0.02,-0.1,0.17,0.67,-0.08,0.02,-0.04,0.09,0.66
LMC-100,14.0,1,7.51,,4.49,-3.02,-0.35,0.69,0.42,-0.19,-0.19,0.5,0.85,0.2,-0.15,-0.13,0.28,0.74
LMC-100,20.0,11,6.34,,3.92,-2.42,0.25,0.22,0.14,-0.03,-0.03,0.15,0.27,-0.08,0.01,0.03,0.09,0.24
LMC-100,21.1,8,3.15,,0.61,-2.54,0.13,0.22,0.07,0.08,-0.06,0.12,0.25,-0.15,0.12,-0.0,0.19,0.29
LMC-100,22.0,8,4.95,,2.27,-2.68,-0.01,0.22,0.22,-0.04,-0.03,0.23,0.32,0.0,0.0,0.03,0.03,0.22
LMC-100,22.1,21,4.95,,2.59,-2.36,0.31,0.22,0.05,0.09,-0.06,0.12,0.25,-0.17,0.13,-0.0,0.21,0.3
LMC-100,23.0,1,3.93,,1.1,-2.83,-0.16,0.33,0.33,0.09,-0.01,0.34,0.47,0.11,0.13,0.05,0.18,0.38
LMC-100,23.1,1,3.93,<,1.86,-2.07,0.6,,,,,,,,,,,
LMC-100,24.0,7,5.64,,2.88,-2.76,-0.09,0.22,0.21,-0.04,-0.03,0.22,0.31,-0.01,0.0,0.03,0.03,0.22
LMC-100,24.1,1,5.64,,3.25,-2.39,0.28,0.22,-0.02,0.1,-0.01,0.1,0.24,-0.24,0.14,0.05,0.28,0.36
LMC-100,25.0,2,5.43,,2.59,-2.84,-0.17,0.22,0.17,-0.03,-0.01,0.17,0.28,-0.05,0.01,0.05,0.07,0.23
LMC-100,26.0,76,7.5,,4.83,-2.67,0.0,0.22,0.22,-0.04,-0.06,0.23,0.32,0.0,0.0,0.0,0.0,0.22
LMC-100,26.1,11,7.5,,4.81,-2.69,-0.02,0.22,-0.0,0.1,-0.05,0.11,0.25,-0.22,0.14,0.01,0.26,0.34
LMC-100,27.0,2,4.99,,2.38,-2.61,0.06,0.22,0.27,-0.02,-0.05,0.28,0.36,0.05,0.02,0.01,0.05,0.23
LMC-100,28.0,3,6.22,,3.56,-2.66,0.01,0.24,0.21,-0.02,-0.02,0.21,0.32,-0.01,0.02,0.04,0.05,0.25
LMC-100,38.1,2,2.87,,-0.82,-3.69,-1.02,0.28,0.09,0.09,-0.16,0.2,0.34,-0.13,0.13,-0.1,0.21,0.35
LMC-100,39.1,1,2.21,<,-0.52,-2.73,-0.06,,,,,,,,,,,
LMC-100,40.1,1,2.58,<,0.69,-1.89,0.78,,,,,,,,,,,
LMC-100,56.1,4,2.18,,-1.24,-3.42,-0.75,0.22,0.11,0.09,-0.04,0.15,0.27,-0.11,0.13,0.02,0.17,0.28
LMC-100,57.1,1,1.1,<,-1.27,-2.37,0.3,,,,,,,,,,,
LMC-100,63.1,1,0.52,<,-1.78,-2.3,0.37,,,,,,,,,,,
LMC-100,106.0,2,8.43,,5.48,-2.95,-0.28,0.22,0.32,-0.1,0.0,0.34,0.4,0.1,-0.06,0.06,0.13,0.26
LMC-109,11.0,2,6.24,,3.21,-3.03,-0.18,0.2,0.24,-0.06,-0.1,0.27,0.34,0.0,-0.02,-0.05,0.05,0.21
LMC-109,12.0,4,7.6,,5.18,-2.42,0.43,0.2,0.16,-0.04,-0.03,0.17,0.26,-0.08,0.0,0.02,0.08,0.22
LMC-109,13.0,1,6.45,,2.4,-4.05,-1.2,0.61,0.25,-0.0,-0.0,0.25,0.66,0.01,0.04,0.05,0.06,0.61
LMC-109,14.0,1,7.51,,5.09,-2.42,0.43,0.59,0.28,-0.18,-0.13,0.36,0.69,0.04,-0.14,-0.08,0.17,0.61
LMC-109,19.0,1,5.03,,2.79,-2.24,0.61,0.2,0.16,-0.03,-0.02,0.16,0.26,-0.08,0.01,0.03,0.09,0.22
LMC-109,20.0,13,6.34,,3.72,-2.62,0.23,0.2,0.15,-0.03,-0.03,0.16,0.26,-0.09,0.01,0.02,0.09,0.22
