Name,Teff,e_Teff,logg,e_logg,vmic,e_vmic,[Fe/H],e_[Fe/H],[C/Fe],e_[C/Fe],ul_[C/Fe],[C/Fe]_c
LMC-319,4631,150,1.29,0.30,2.05,0.2,-2.69,0.24,-0.20,0.36,0,0.41
LMC-323,4609,150,1.25,0.30,2.08,0.2,-2.10,0.32,-0.80,0.47,0,-0.18
LMC-400,4422,150,0.9,0.30,2.26,0.2,-2.85,0.28,-0.42,0.27,0,0.31
LMC-402,4545,150,1.12,0.30,2.14,0.2,-3.20,0.25,-0.10,nan,1,0.64
LMC-403,4504,150,1.05,0.30,2.18,0.2,-2.55,0.36,-0.49,0.28,0,0.26
LMC-404,4676,150,1.38,0.30,2.01,0.2,-2.42,0.32,-0.55,0.34,0,0.03
LMC-405,4653,150,1.33,0.30,2.04,0.2,-2.50,0.31,-0.35,0.28,0,0.26
LMC-406,4463,150,0.97,0.30,2.22,0.2,-2.22,0.41,-0.54,0.28,0,0.19
LMC-407,4631,150,1.29,0.30,2.05,0.2,-2.01,0.42,-0.49,0.28,0,0.09
LMC-409,4504,150,1.04,0.30,2.18,0.2,-2.63,0.21,-0.55,nan,1,0.21
LMC-410,4609,150,1.25,0.30,2.07,0.2,-2.64,0.36,-0.41,0.27,0,0.21
LMC-411,4382,150,0.83,0.30,2.3,0.2,-2.79,0.17,-0.45,nan,1,0.28
LMC-413,4463,150,0.97,0.30,2.22,0.2,-2.37,0.44,-0.68,0.26,0,0.10
LMC-414,4587,150,1.2,0.30,2.1,0.2,-2.30,0.22,-0.37,0.28,0,0.31
LMC-416,4443,150,0.94,0.30,2.24,0.2,-2.48,0.22,-0.59,0.27,0,0.03
