Name,Species,logepsX_sun,lambda,chi,loggf,EW,l_logepsX,logepsX
LMC-204,26.0,7.5,5194.942,1.556,-2.02,112.24,,4.726
LMC-204,26.0,7.5,5202.336,2.174,-1.87,76.97,,4.895
LMC-204,26.0,7.5,5216.274,1.607,-2.08,114.49,,4.877
LMC-204,26.0,7.5,5254.956,0.11,-4.76,65.82,,5.078
LMC-204,26.0,7.5,5324.179,3.211,-0.11,106.56,,4.772
LMC-204,26.0,7.5,5332.9,1.556,-2.78,67.18,,4.914
LMC-204,26.0,7.5,5341.024,1.607,-1.95,112.74,,4.705
LMC-204,26.0,7.5,5397.128,0.914,-1.98,165.53,,4.615
LMC-204,26.0,7.5,5405.775,0.989,-1.85,149.78,,4.343
LMC-204,26.0,7.5,5429.696,0.957,-1.88,165.41,,4.561
LMC-204,26.0,7.5,5434.524,1.01,-2.13,163.19,,4.845
LMC-204,26.0,7.5,5497.516,1.01,-2.83,106.81,,4.735
LMC-204,26.0,7.5,5501.465,0.957,-3.05,104.6,,4.859
LMC-204,26.0,7.5,5506.779,0.989,-2.79,110.53,,4.714
LMC-204,26.0,7.5,5586.756,3.366,-0.11,68.31,,4.465
LMC-204,26.0,7.5,5615.644,3.332,0.04,90.9,,4.544
LMC-204,26.0,7.5,6430.846,2.174,-1.95,54.95,,4.623
LMC-204,26.1,7.5,4178.855,2.583,-2.51,46.57,,4.315
LMC-204,26.1,7.5,4233.163,2.583,-2.02,114.62,,4.785
LMC-204,26.1,7.5,4508.281,2.856,-2.42,59.74,,4.711
LMC-204,26.1,7.5,4515.334,2.844,-2.6,55.23,,4.818
LMC-204,26.1,7.5,4520.221,2.807,-2.65,41.01,,4.62
LMC-204,26.1,7.5,4522.628,2.844,-2.29,89.29,,4.949
LMC-204,26.1,7.5,4555.888,2.828,-2.4,86.92,,5.006
LMC-204,26.1,7.5,4583.829,2.807,-1.94,74.6,,4.358
LMC-204,26.1,7.5,4629.332,2.807,-2.26,62.21,,4.515
LMC-204,26.1,7.5,4923.922,2.891,-1.26,109.7,,4.204
LMC-204,26.1,7.5,5018.435,2.891,-1.1,130.25,,4.326
LMC-204,26.1,7.5,5275.997,3.199,-2.01,63.16,,4.701
LMC-204,27.0,4.99,3994.0,,,,,1.919
LMC-204,27.0,4.99,4121.0,,,,,1.909
LMC-204,28.0,6.22,5476.0,,,,,3.141
LMC-204,38.1,2.87,4078.0,,,,,-1.24
LMC-204,38.1,2.87,4215.0,,,,,-1.565
LMC-204,39.1,2.21,4397.0,,,,<,-0.568
LMC-204,39.1,2.21,4884.0,,,,<,-0.527
LMC-204,39.1,2.21,4900.0,,,,<,-0.418
LMC-204,40.1,2.58,4208.0,,,,<,0.398
LMC-204,56.1,2.18,4554.0,,,,,-1.953
LMC-204,56.1,2.18,4933.0,,,,,-1.818
LMC-204,56.1,2.18,6142.0,,,,,-1.538
LMC-204,56.1,2.18,6496.0,,,,,-1.384
LMC-204,57.1,1.1,4086.0,,,,<,-1.116
LMC-204,63.1,0.52,4129.0,,,,<,-1.684
LMC-204,106.0,8.43,4310.0,,,,,5.424
LMC-204,106.0,8.43,4323.0,,,,,5.474
LMC-207,11.0,6.24,5895.924,0.0,-0.194,123.6,,2.853
LMC-207,12.0,7.6,4571.096,0.0,-5.623,62.83,,4.748
LMC-207,12.0,7.6,5183.604,2.717,-0.167,152.22,,3.982
LMC-207,12.0,7.6,5528.405,4.346,-0.498,34.31,,4.535
LMC-207,13.0,6.45,3962.0,,,,,2.164
LMC-207,14.0,7.51,3906.0,,,,,4.452
LMC-207,20.0,6.34,4283.011,1.886,-0.224,57.3,,3.612
LMC-207,20.0,6.34,4454.779,1.899,0.258,72.37,,3.362
LMC-207,20.0,6.34,6122.217,1.886,-0.316,66.02,,3.691
LMC-207,20.0,6.34,6162.173,1.899,-0.09,62.17,,3.428
LMC-207,20.0,6.34,6439.075,2.524,0.47,39.9,,3.305
LMC-207,21.1,3.15,4246.0,,,,,-0.676
LMC-207,21.1,3.15,4313.0,,,,,-0.14
LMC-207,21.1,3.15,4324.0,,,,,-0.53
LMC-207,21.1,3.15,4399.0,,,,,-0.306
LMC-207,21.1,3.15,4415.0,,,,,-0.265
LMC-207,22.1,4.95,4012.384,0.573,-1.78,88.41,,1.836
LMC-207,22.1,4.95,4025.129,0.607,-2.11,70.18,,1.891
LMC-207,22.1,4.95,4290.215,1.164,-0.87,78.69,,1.448
LMC-207,22.1,4.95,4300.042,1.179,-0.46,104.4,,1.51
LMC-207,22.1,4.95,4395.031,1.083,-0.54,109.8,,1.551
LMC-207,22.1,4.95,4399.765,1.236,-1.2,77.0,,1.825
LMC-207,22.1,4.95,4443.801,1.079,-0.71,111.43,,1.717
LMC-207,22.1,4.95,4444.554,1.115,-2.2,29.7,,1.927
LMC-207,22.1,4.95,4450.482,1.083,-1.52,60.0,,1.689
LMC-207,22.1,4.95,4468.493,1.13,-0.63,118.01,,1.837
LMC-207,22.1,4.95,4501.27,1.115,-0.77,95.18,,1.521
LMC-207,22.1,4.95,4571.971,1.571,-0.31,86.2,,1.477
LMC-207,23.0,3.93,4379.0,,,,<,1.162
LMC-207,23.1,3.93,4006.0,,,,<,1.685
LMC-207,24.0,5.64,4646.162,1.029,-0.74,26.45,,2.211
LMC-207,24.0,5.64,5206.023,0.941,0.02,61.94,,1.861
LMC-207,25.0,5.43,4753.0,,,,<,2.282
LMC-207,25.0,5.43,4762.0,,,,<,2.499
LMC-207,25.0,5.43,4782.0,,,,<,2.258
LMC-207,25.0,5.43,4824.0,,,,<,2.147
LMC-207,26.0,7.5,3876.04,1.01,-2.89,64.57,,4.429
LMC-207,26.0,7.5,3902.946,1.556,-0.44,111.85,,3.619
LMC-207,26.0,7.5,3917.181,0.989,-2.15,106.29,,4.472
LMC-207,26.0,7.5,3949.953,2.174,-1.25,48.55,,3.974
LMC-207,26.0,7.5,3977.741,2.196,-1.12,61.38,,4.079
LMC-207,26.0,7.5,4132.058,1.607,-0.68,105.97,,3.704
LMC-207,26.0,7.5,4143.868,1.556,-0.51,127.89,,3.954
LMC-207,26.0,7.5,4174.913,0.914,-2.94,52.5,,4.124
LMC-207,26.0,7.5,4187.039,2.45,-0.56,76.25,,4.045
LMC-207,26.0,7.5,4199.095,3.045,0.17,52.95,,3.678
LMC-207,26.0,7.5,4216.184,0.0,-3.36,100.91,,4.202
LMC-207,26.0,7.5,4233.603,2.482,-0.6,81.23,,4.205
LMC-207,26.0,7.5,4250.787,1.556,-0.71,111.29,,3.744
LMC-207,26.0,7.5,4282.403,2.174,-0.78,75.26,,3.897
LMC-207,26.0,7.5,4291.463,0.052,-4.08,70.84,,4.44
LMC-207,26.0,7.5,4375.93,0.0,-3.0,122.23,,4.234
LMC-207,26.0,7.5,4389.245,0.052,-4.55,35.63,,4.354
LMC-207,26.0,7.5,4415.123,1.607,-0.62,106.24,,3.562
LMC-207,26.0,7.5,4427.31,0.052,-2.92,112.76,,4.007
LMC-207,26.0,7.5,4442.339,2.196,-1.23,49.13,,3.945
LMC-207,26.0,7.5,4447.717,2.221,-1.36,52.11,,4.151
LMC-207,26.0,7.5,4459.117,2.174,-1.29,35.51,,3.757
LMC-207,26.0,7.5,4461.653,0.087,-3.19,123.75,,4.533
LMC-207,26.0,7.5,4489.739,0.121,-3.9,59.59,,4.151
LMC-207,26.0,7.5,4494.563,2.196,-1.14,62.69,,4.054
LMC-207,26.0,7.5,4528.614,2.174,-0.89,86.37,,4.139
LMC-207,26.0,7.5,4531.148,1.484,-2.1,72.54,,4.268
LMC-207,26.0,7.5,4592.651,1.556,-2.46,40.75,,4.232
LMC-207,26.0,7.5,4602.941,1.484,-2.21,55.83,,4.122
LMC-207,26.0,7.5,4871.318,2.865,-0.34,51.63,,3.889
LMC-207,26.0,7.5,4890.755,2.876,-0.38,47.72,,3.883
LMC-207,26.0,7.5,4903.31,2.882,-0.89,31.81,,4.136
LMC-207,26.0,7.5,4939.687,0.858,-3.25,52.58,,4.286
LMC-207,26.0,7.5,4994.13,0.914,-2.97,68.44,,4.293
LMC-207,26.0,7.5,5041.072,0.957,-3.09,72.75,,4.522
LMC-207,26.0,7.5,5051.635,0.914,-2.76,75.58,,4.18
LMC-207,26.0,7.5,5079.74,0.989,-3.25,43.87,,4.313
LMC-207,26.0,7.5,5083.339,0.957,-2.84,49.59,,3.946
LMC-207,26.0,7.5,5123.72,1.01,-3.06,59.86,,4.374
LMC-207,26.0,7.5,5142.928,0.957,-3.07,59.37,,4.308
LMC-207,26.0,7.5,5150.84,0.989,-3.04,48.49,,4.164
LMC-207,26.0,7.5,5166.282,0.0,-4.12,72.78,,4.311
LMC-207,26.0,7.5,5171.596,1.484,-1.72,126.57,,4.704
LMC-207,26.0,7.5,5194.942,1.556,-2.02,68.57,,4.137
LMC-207,26.0,7.5,5216.274,1.607,-2.08,73.43,,4.331
LMC-207,26.0,7.5,5227.19,1.556,-1.23,127.94,,4.317
LMC-207,26.0,7.5,5324.179,3.211,-0.11,74.39,,4.376
LMC-207,26.0,7.5,5328.039,0.914,-1.47,149.68,,4.109
LMC-207,26.0,7.5,5328.532,1.556,-1.85,83.23,,4.161
LMC-207,26.0,7.5,5371.489,0.957,-1.64,126.99,,3.9
LMC-207,26.0,7.5,5397.128,0.914,-1.98,130.12,,4.235
LMC-207,26.0,7.5,5405.775,0.989,-1.85,163.08,,4.812
LMC-207,26.0,7.5,5429.696,0.957,-1.88,115.68,,3.921
LMC-207,26.0,7.5,5434.524,1.01,-2.13,115.15,,4.229
LMC-207,26.0,7.5,5497.516,1.01,-2.83,89.81,,4.517
LMC-207,26.0,7.5,5501.465,0.957,-3.05,68.81,,4.376
LMC-207,26.0,7.5,5506.779,0.989,-2.79,86.33,,4.399
LMC-207,26.0,7.5,5615.644,3.332,0.04,46.46,,3.957
LMC-207,26.0,7.5,6400.001,3.603,-0.27,34.22,,4.36
LMC-207,26.0,7.5,6430.846,2.174,-1.95,31.06,,4.196
LMC-207,26.1,7.5,4178.855,2.583,-2.51,36.94,,4.123
LMC-207,26.1,7.5,4233.163,2.583,-2.02,76.01,,4.256
LMC-207,26.1,7.5,4508.281,2.856,-2.42,43.01,,4.449
LMC-207,26.1,7.5,4522.628,2.844,-2.29,47.84,,4.379
LMC-207,26.1,7.5,4583.829,2.807,-1.94,48.08,,3.984
LMC-207,26.1,7.5,4629.332,2.807,-2.26,45.72,,4.264
LMC-207,26.1,7.5,4923.922,2.891,-1.26,74.87,,3.776
LMC-207,26.1,7.5,5018.435,2.891,-1.1,86.86,,3.787
LMC-207,27.0,4.99,4121.0,,,,,1.712
LMC-207,38.1,2.87,4078.0,,,,,-0.88
LMC-207,38.1,2.87,4215.0,,,,,-1.179
LMC-207,39.1,2.21,4397.0,,,,<,-0.798
LMC-207,39.1,2.21,4884.0,,,,<,-0.85
LMC-207,39.1,2.21,4900.0,,,,<,-0.944
LMC-207,40.1,2.58,4208.0,,,,<,0.393
LMC-207,56.1,2.18,4554.0,,,,,-2.533
LMC-207,56.1,2.18,4933.0,,,,,-2.711
LMC-207,57.1,1.1,4122.0,,,,<,-1.38
LMC-207,57.1,1.1,4334.0,,,,<,-1.62
LMC-207,63.1,0.52,4129.0,,,,<,-2.226
LMC-207,63.1,0.52,4205.0,,,,<,-2.283
LMC-207,106.0,8.43,4310.0,,,,,4.984
LMC-207,106.0,8.43,4323.0,,,,,4.958
