Code,Name,Simbad_Identifier,Pristine_Name,Teff,e_Teff,logg,n_logg,e_logg,[M/H],e_[M/H],ul[Ca/H],[Ca/H],e_[Ca/H],ul[Fe/H],[Fe/H],e_[Fe/H],ul[C/Fe],[C/Fe],e_[C/Fe]
W,C19-92544,Gaia DR3 2826426202636892544,Pristine 353.79+21.26,5230,100,2.73,,0.10,-3.51,0.15,,-3.21,0.11,,-3.41,0.19,,+0.48,0.32
W,C19-41344,Gaia DR3 2828159930612041344,Pristine 354.63+23.79,5280,100,2.71,,0.10,-3.49,0.17,,-3.20,0.10,,-3.38,0.20,,+0.61,0.63
W,C19-99008,Gaia DR3 2865368434887899008,Pristine 355.13+27.98,4881,100,1.64,,0.10,-3.37,0.14,,-3.02,0.12,,-3.32,0.18,,-0.11,0.82
W,C19-38656,Gaia DR3 2827849249857638656,Pristine 355.26+22.96,5248,100,2.76,,0.10,-3.45,0.16,,-3.17,0.11,,-3.34,0.19,,+0.44,0.36
W,C19-71392,Gaia DR3 2865251577418971392,Pristine 355.32+27.59,4570,100,1.07,,0.10,-3.23,0.19,,-2.92,0.10,,-3.15,0.18,,-0.60,0.46
W,C19-28384,Gaia DR3 2852197625617728384,Pristine 355.40+24.28,5193,100,2.60,,0.10,-3.45,0.15,,-3.11,0.11,,-3.39,0.18,,+0.16,0.23
P,C19-92544,Gaia DR3 2826426202636892544,Pristine 353.79+21.26,5319,180,1.,l,,-3.50,0.12,,,,,,,,,
P,C19-41344,Gaia DR3 2828159930612041344,Pristine 354.63+23.79,5253,340,1.,l,,-3.56,0.15,,,,,,,,,
P,C19-99008,Gaia DR3 2865368434887899008,Pristine 355.13+27.98,4874,105,1.,l,,-3.37,0.12,,,,,,,,,
P,C19-38656,Gaia DR3 2827849249857638656,Pristine 355.26+22.96,5290,186,1.,l,,-3.48,0.14,,,,,,,,,
P,C19-71392,Gaia DR3 2865251577418971392,Pristine 355.32+27.59,5089,106,1.,l,,-3.02,0.18,,,,,,,,,
P,C19-28384,Gaia DR3 2852197625617728384,Pristine 355.40+24.28,5344,142,5.,u,,-3.61,0.11,,,,,,,,,
