Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,K,V,I,U,H,J,R,B,pmdec,rvz_nature,rvz_qual,otype,pmra,plx_value,sp_type,sp_bibcode,sp_qual
True,,Gaia DR3 31707926776039680,02:53:00.07,+13:07:45.44,Gaia DR3 31707926776039680,43.25026082454417,13.129303293004723,0.0275,0.0261,90,O,2020yCat.1350....0G,,,,,,,,,-3.77,,,*,3.027,0.0372,,,
True,,Gaia DR3 1187898485610541696,14:53:08.69,+16:11:04.09,TYC 1478-659-1,223.28633935951,16.1844592094,0.0097,0.0121,90,O,2020yCat.1350....0G,8.343999862670898,11.300000190734863,,,8.489999771118164,9.130999565124512,,12.260000228881836,2.704,s,A,RG*,-24.984,0.2638,,,
True,,Gaia DR3 2472646349146818816,00:59:31.44,-10:58:15.96,Gaia DR3 2472646349146818816,14.880982782222501,-10.971077919980278,0.0142,0.0098,90,O,2020yCat.1350....0G,,,,,,,,,-4.363,s,C,*,1.772,0.0513,,,
True,,Gaia DR3 2504634406573540608,01:59:39.18,-02:42:49.75,TYC 4686-777-1,29.913132241649997,-2.71376338985,0.0188,0.0135,90,O,2020yCat.1350....0G,9.279999732971191,11.696999549865723,,,9.395999908447266,9.928000450134277,,12.697999954223633,-13.42,s,A,RG*,26.888,0.4417,,,
True,,Gaia DR3 2505065101598396416,01:56:29.62,-01:50:45.96,UCAC2  31097957,29.12340908175,-1.8460545177699998,0.0178,0.0132,90,O,2020yCat.1350....0G,9.189000129699707,12.045000076293945,10.850000381469727,,9.314000129699707,9.949000358581543,11.850000381469727,13.192000389099121,-9.566,s,A,RG*,4.648,0.1968,,,
True,,Gaia DR3 2538202737087917184,01:07:27.03,+01:19:27.23,UCAC4 457-001461,16.86261196990542,1.324321112398889,0.0173,0.0117,90,O,2020yCat.1350....0G,10.767000198364258,12.932000160217285,,,10.812999725341797,11.333999633789062,12.897000312805176,13.932999610900879,-20.243,s,A,RG*,2.373,0.4014,,,
True,,Gaia DR3 2543390232947773824,00:40:00.33,+01:01:36.62,UCAC4 456-000862,10.00129128560333,1.0268554268844443,0.0157,0.007,90,O,2020yCat.1350....0G,10.779000282287598,13.057999610900879,,,10.87399959564209,11.354999542236328,12.895999908447266,13.937000274658203,-4.382,s,A,Pe*,18.992,0.2403,,,
True,,Gaia DR3 2558587476508131072,01:30:13.92,+02:07:07.61,UCAC4 461-002049,22.557962240496668,2.118804765146389,0.0125,0.0093,90,O,2020yCat.1350....0G,11.265000343322754,13.5,,,11.355999946594238,11.86299991607666,13.420000076293945,14.42300033569336,-5.856,s,A,Pe*,6.834,0.1338,,,
True,,Gaia DR3 2566035087238555776,01:24:25.38,+06:43:39.83,LAMOST J012425.38+064339.8,21.10575826051458,6.727744079837779,0.0416,0.0267,90,O,2020yCat.1350....0G,,,,,,,,,-3.22,s,E,*,1.429,0.1398,,,
True,,Gaia DR3 2632995998205049216,23:30:29.31,-05:23:43.76,Gaia DR3 2632995998205049216,352.62213504143574,-5.395480318336944,0.0275,0.0202,90,O,2020yCat.1350....0G,,,,,,,,,-2.063,s,D,*,1.04,,,,
