Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,T(V-I),T(V-J),T(V-H),T(V-K),Tavg,logg1,BC,Mbol,Teff,logg,Fe/H,Vmic,EWmin
BL038,[WMO2009] For-0956,DW,Fornax,02:40:20.45,-34:24:00.1,3984,3976,3996,3964,3980,0.69,-0.93,-3.32,3980,0.69,-0.88,2.2,14.24
BL045,[WMO2009] For-1877,DW,Fornax,02:40:07.52,-34:23:31.8,4114,4134,4128,4110,4122,0.85,-0.77,-3.07,4122,0.85,-1.09,2.1,12.15
BL052,[WMO2009] For-1255,DW,Fornax,02:40:10.42,-34:25:17.6,4009,3999,3995,3984,3997,0.72,-0.91,-3.27,3997,0.72,-1.02,2.4,14.24
BL065,GB07 Fnx01,DW,Fornax,02:39:22.15,-34:19:40.3,4315,4340,4334,4332,4330,0.97,-0.59,-2.99,4330,0.97,-1.43,1.9,11.33
BL076,GB07 Fnx03,DW,Fornax,02:39:31.49,-34:23:05.1,4088,4061,4063,4048,4065,0.83,-0.83,-3.05,4065,0.83,-0.85,2.2,13.04
BL077,GB07 Fnx02,DW,Fornax,02:39:51.42,-34:21:20.9,4027,4024,4025,4028,4026,0.80,-0.88,-3.08,4026,0.80,-0.79,2.2,12.71
BL079,DK 39,DW,Fornax,02:39:19.60,-34:24:49.3,3986,3903,3922,3934,3936,0.76,-1.01,-3.08,4036,0.76,-0.52,2.1,17.98
BL081,[WMO2009] For-1233,DW,Fornax,02:39:56.01,-34:24:10.5,4102,4045,4060,4042,4062,0.82,-0.84,-3.07,4062,0.82,-0.62,2.1,14.08
BL084,[LHT2010] BL084,DW,Fornax,02:38:42.96,-34:25:49.1,3972,3964,3966,3970,3968,0.72,-0.95,-3.23,3968,0.60,-0.85,2.1,12.10
BL085,GB07 Fnx06,DW,Fornax,02:38:55.53,-34:25:36.3,4277,4299,4294,4293,4291,0.87,-0.63,-3.19,4291,0.73,-2.59,2.2,9.18
BL091,GB07 Fnx05,DW,Fornax,02:39:04.31,-34:25:18.8,4155,4165,4163,4164,4162,0.86,-0.73,-3.09,4162,0.86,-0.96,2.1,11.99
BL092,2MASS J02384930-3424053,DW,Fornax,02:38:49.28,-34:24:04.9,3965,3956,3959,3963,3961,0.74,-0.96,-3.16,3961,0.74,-0.95,2.0,15.23
BL096,[WMO2006] F01-6,DW,Fornax,02:39:14.33,-34:22:41.5,4012,4008,4009,4013,4010,0.75,-0.90,-3.19,4010,0.75,-0.75,2.1,17.98
BL097,[WMO2009] For-0365,DW,Fornax,02:39:04.07,-34:23:52.7,4058,4059,4059,4062,4060,0.82,-0.84,-3.06,4060,0.82,-0.92,2.3,12.98
BL100,[LHT2010] BL100,DW,Fornax,02:38:56.00,-34:24:44.8,4043,4042,4043,4046,4044,0.84,-0.86,-3.01,4044,0.84,-0.93,2.1,12.04
BL104,[LHT2010] BL104,DW,Fornax,02:39:14.59,-34:23:21.0,4014,4011,4012,4015,4013,0.77,-0.89,-3.15,4013,0.77,-0.96,2.2,13.37
BL113,GB07 Fnx31,DW,Fornax,02:39:08.16,-34:36:53.3,4179,4191,4188,4189,4187,0.83,-0.72,-3.19,4187,0.83,-0.75,2.2,13.91
BL115,2MASS J02384346-3432054,DW,Fornax,02:38:43.45,-34:32:05.3,4112,4117,4116,4118,4116,0.79,-0.77,-3.22,4116,0.63,-1.47,2.0,11.77
BL123,[WMO2006] F01-23,DW,Fornax,02:38:53.75,-34:30:06.6,3995,3990,3991,3995,3993,0.71,-0.92,-3.27,3993,0.71,-0.97,2.3,11.66
BL125,GB07 Fnx16,DW,Fornax,02:39:08.50,-34:30:55.4,4078,4080,4080,4082,4080,0.79,-0.82,-3.17,4080,0.79,-0.73,2.1,13.64
BL132,GB07 Fnx20,DW,Fornax,02:38:53.62,-34:33:04.5,3916,3903,3906,3911,3909,0.65,-1.04,-3.33,3909,0.52,-0.89,2.1,13.75
BL135,GB07 Fnx30,DW,Fornax,02:39:01.55,-34:36:48.7,4057,4058,4058,4061,4058,0.83,-0.84,-3.06,4058,0.83,-0.95,2.2,16.28
BL138,[LHT2010] BL138,DW,Fornax,02:39:16.20,-34:37:00.2,3989,3906,3924,3937,3939,0.71,-0.99,-3.21,3939,0.71,-1.01,2.3,14.85
BL140,GB07 Fnx15,DW,Fornax,02:39:11.56,-34:30:44.7,3995,3989,3991,3994,3992,0.75,-0.92,-3.17,3992,0.75,-0.87,2.1,14.52
BL141,GB07 Fnx09,DW,Fornax,02:39:10.99,-34:28:34.4,4076,4078,4078,4080,4078,0.84,-0.82,-3.04,4078,0.84,-0.82,2.1,13.64
BL146,[LHT2010] BL146,DW,Fornax,02:38:41.76,-34:28:58.4,4074,4076,4076,4078,4076,0.84,-0.82,-3.04,4076,0.84,-0.92,2.3,12.98
BL147,[LHT2010] BL147,DW,Fornax,02:38:44.02,-34:30:51.8,4186,4199,4196,4197,4194,0.94,-0.70,-2.92,4194,0.94,-1.37,1.8,12.21
BL148,[WMO2006] F01-16,DW,Fornax,02:39:11.05,-34:39:08.6,3929,3917,3920,3925,3923,0.72,-1.03,-3.16,4123,0.72,-0.63,2.2,20.62
BL149,GB07 Fnx28,DW,Fornax,02:38:57.19,-34:35:39.8,4097,4101,4100,4102,4100,0.88,-0.80,-2.97,4100,0.88,-0.91,2.2,14.30
BL150,GB07 Fnx10,DW,Fornax,02:39:13.94,-34:28:36.1,4026,4023,4024,4027,4025,0.80,-0.88,-3.08,4025,0.80,-0.83,2.2,15.29
BL151,GB07 Fnx13,DW,Fornax,02:39:00.29,-34:30:30.0,4025,4022,4023,4026,4024,0.81,-0.88,-3.06,4024,0.81,-0.86,2.1,13.37
BL155,[WMO2009] For-1089,DW,Fornax,02:38:40.44,-34:35:25.0,4059,4060,4060,4063,4060,0.90,-0.84,-2.87,4060,0.90,-0.75,2.3,17.21
BL156,2MASS J02390563-3426310,DW,Fornax,02:39:05.62,-34:26:30.6,4096,4100,4099,4101,4099,0.89,-0.79,-2.95,4099,0.89,-1.13,2.2,13.48
BL158,[LHT2010] BL158,DW,Fornax,02:39:06.84,-34:35:45.7,4076,4079,4078,4081,4078,0.87,-0.82,-2.96,4078,0.87,-0.87,2.0,15.79
BL160,[WMO2009] For-1208,DW,Fornax,02:39:01.74,-34:27:19.2,4027,4025,4026,4029,4027,0.84,-0.88,-3.00,4027,0.66,-0.95,2.2,14.30
BL163,[LHT2010] BL163,DW,Fornax,02:38:43.54,-34:32:25.4,4025,4022,4023,4026,4024,0.88,-0.88,-2.89,4124,0.73,-0.77,2.3,15.62
BL166,GB07 Fnx12,DW,Fornax,02:39:16.01,-34:30:12.9,4070,4091,4074,4108,4086,0.84,-0.81,-3.06,4086,0.84,-0.89,2.3,14.24
BL168,[WMO2009] For-0391,DW,Fornax,02:39:14.78,-34:27:29.8,4014,4011,4012,4015,4013,0.83,-0.89,-3.00,4113,0.83,-0.88,2.1,15.40
BL171,[WMO2009] For-0387,DW,Fornax,02:39:15.48,-34:30:46.5,4047,4047,4047,4050,4048,0.87,-0.85,-2.94,4048,0.87,-0.90,2.4,15.79
BL173,GB07 Fnx26,DW,Fornax,02:39:14.36,-34:34:42.3,3991,3985,3987,3990,3988,0.85,-0.93,-2.92,3988,0.57,-0.85,2.3,17.77
BL180,2MASS J02393340-3433584,DW,Fornax,02:39:33.38,-34:33:58.4,4115,4102,4107,4134,4114,0.77,-0.78,-3.25,4114,0.77,-0.91,2.2,13.09
BL185,GB07 Fnx33,DW,Fornax,02:39:27.67,-34:37:48.5,4026,3980,3999,3988,3998,0.69,-0.92,-3.32,4098,0.69,-0.71,2.1,15.84
BL190,GB07 Fnx17,DW,Fornax,02:39:17.80,-34:30:56.8,4004,3954,3967,3990,3979,0.82,-0.94,-2.99,3979,0.82,-0.79,2.3,13.37
BL195,GB07 Fnx18,DW,Fornax,02:39:20.21,-34:31:57.0,4153,4153,4147,4191,4161,0.91,-0.73,-2.95,4261,0.91,-0.97,2.1,11.99
BL196,2MASS J02393411-3433333,DW,Fornax,02:39:34.07,-34:33:33.2,4011,4010,4010,4029,4015,0.76,-0.89,-3.17,4015,0.59,-1.07,2.4,11.93
BL197,2MASS J02392937-3426359,DW,Fornax,02:39:29.33,-34:26:35.5,3958,3953,3963,3948,3956,0.68,-0.97,-3.30,3956,0.68,-0.89,2.2,14.19
BL203,[WMO2009] For-0952,DW,Fornax,02:39:50.64,-34:26:47.0,4043,4035,4046,4025,4037,0.79,-0.87,-3.13,4037,0.79,-0.83,2.1,15.07
BL204,[LHT2010] BL204,DW,Fornax,02:39:16.23,-34:32:29.9,4076,4184,4161,4134,4139,0.97,-0.75,-2.78,4139,0.97,-1.00,2.4,17.54
BL205,GB07 Fnx32,DW,Fornax,02:39:38.06,-34:37:06.2,4229,4237,4263,4244,4243,0.96,-0.67,-2.92,4243,0.96,-0.69,2.2,14.13
BL208,[WMO2009] For-1120,DW,Fornax,02:39:32.94,-34:32:06.2,4140,4166,4161,4170,4159,0.89,-0.74,-3.00,4159,0.89,-0.66,2.1,13.59
BL210,[KGS2010] For   55262,DW,Fornax,02:39:47.65,-34:27:05.4,4057,4064,4072,4057,4062,0.81,-0.84,-3.10,4062,0.81,-0.76,2.2,15.62
BL211,[MOW91]  16,DW,Fornax,02:39:51.18,-34:29:58.6,3940,3961,3964,3966,3958,0.69,-0.97,-3.28,4058,0.69,-0.67,2.1,14.13
BL213,2MASS J02395022-3435595,DW,Fornax,02:39:50.18,-34:35:59.3,4039,4045,4017,4025,4032,0.78,-0.87,-3.14,4032,0.53,-0.93,2.2,13.53
BL216,GB07 Fnx14,DW,Fornax,02:39:41.92,-34:30:35.9,3970,4008,3995,4019,3998,0.75,-0.92,-3.18,3998,0.55,-0.77,2.2,14.08
BL218,WEL  60,DW,Fornax,02:39:50.77,-34:28:36.5,3920,3943,3941,3953,3939,0.67,-1.00,-3.31,3939,0.67,-0.60,2.0,16.17
BL221,2MASS J02393189-3429201,DW,Fornax,02:39:31.85,-34:29:19.9,4051,4051,4057,4064,4056,0.81,-0.84,-3.08,4056,0.81,-0.86,2.1,13.80
BL227,[LHT2010] BL227,DW,Fornax,02:39:45.25,-34:31:57.8,4020,4064,4043,4055,4046,0.84,-0.85,-3.01,4046,0.84,-0.91,2.0,15.40
BL228,[MOW91]   8,DW,Fornax,02:39:53.84,-34:29:56.4,3975,3998,3990,4007,3992,0.71,-0.92,-3.28,3992,0.71,-0.88,2.3,13.31
BL229,GB07 Fnx25,DW,Fornax,02:39:24.80,-34:34:38.1,4022,4008,4012,4013,4014,0.80,-0.90,-3.07,4014,0.80,-0.71,2.3,15.73
BL233,[LHT2010] BL233,DW,Fornax,02:39:53.58,-34:37:50.1,4064,4028,4039,4063,4048,0.83,-0.86,-3.03,4048,0.83,-0.68,2.2,14.52
BL239,[MOW91]  25,DW,Fornax,02:39:47.09,-34:31:49.8,4083,4145,4127,4137,4123,0.89,-0.77,-2.96,4123,0.68,-0.91,2.1,13.80
BL242,GB07 Fnx23,DW,Fornax,02:39:28.03,-34:34:01.2,4064,4058,4057,4074,4063,0.85,-0.83,-3.00,4063,0.58,-1.11,2.1,12.98
BL247,GB07 Fnx36,DW,Fornax,02:39:43.07,-34:40:18.4,4050,4031,4018,4027,4032,0.85,-0.87,-2.98,4032,0.85,-0.82,2.3,18.64
BL250,2MASS J02394507-3440114,DW,Fornax,02:39:45.03,-34:40:11.1,3866,3829,3849,3833,3844,0.65,-1.16,-3.27,4044,0.65,-0.68,2.2,19.14
BL253,GB07 Fnx21,DW,Fornax,02:39:34.08,-34:33:09.6,3989,3995,4006,4022,4003,0.82,-0.91,-3.02,4003,0.58,-0.73,2.3,14.46
