Name,Teff,logg,Fe/H,Vmic,EWmin
BL038,3980,0.69,-0.88,2.2,14.24
BL045,4122,0.85,-1.09,2.1,12.15
BL052,3997,0.72,-1.02,2.4,14.24
BL065,4330,0.97,-1.43,1.9,11.33
BL076,4065,0.83,-0.85,2.2,13.04
BL077,4026,0.80,-0.79,2.2,12.71
BL079,4036,0.76,-0.52,2.1,17.98
BL081,4062,0.82,-0.62,2.1,14.08
BL084,3968,0.60,-0.85,2.1,12.10
BL085,4291,0.73,-2.59,2.2,9.18
BL091,4162,0.86,-0.96,2.1,11.99
BL092,3961,0.74,-0.95,2.0,15.23
BL096,4010,0.75,-0.75,2.1,17.98
BL097,4060,0.82,-0.92,2.3,12.98
BL100,4044,0.84,-0.93,2.1,12.04
BL104,4013,0.77,-0.96,2.2,13.37
BL113,4187,0.83,-0.75,2.2,13.91
BL115,4116,0.63,-1.47,2.0,11.77
BL123,3993,0.71,-0.97,2.3,11.66
BL125,4080,0.79,-0.73,2.1,13.64
BL132,3909,0.52,-0.89,2.1,13.75
BL135,4058,0.83,-0.95,2.2,16.28
BL138,3939,0.71,-1.01,2.3,14.85
BL140,3992,0.75,-0.87,2.1,14.52
BL141,4078,0.84,-0.82,2.1,13.64
BL146,4076,0.84,-0.92,2.3,12.98
BL147,4194,0.94,-1.37,1.8,12.21
BL148,4123,0.72,-0.63,2.2,20.62
BL149,4100,0.88,-0.91,2.2,14.30
BL150,4025,0.80,-0.83,2.2,15.29
BL151,4024,0.81,-0.86,2.1,13.37
BL155,4060,0.90,-0.75,2.3,17.21
BL156,4099,0.89,-1.13,2.2,13.48
BL158,4078,0.87,-0.87,2.0,15.79
BL160,4027,0.66,-0.95,2.2,14.30
BL163,4124,0.73,-0.77,2.3,15.62
BL166,4086,0.84,-0.89,2.3,14.24
BL168,4113,0.83,-0.88,2.1,15.40
BL171,4048,0.87,-0.90,2.4,15.79
BL173,3988,0.57,-0.85,2.3,17.77
BL180,4114,0.77,-0.91,2.2,13.09
BL185,4098,0.69,-0.71,2.1,15.84
BL190,3979,0.82,-0.79,2.3,13.37
BL195,4261,0.91,-0.97,2.1,11.99
BL196,4015,0.59,-1.07,2.4,11.93
BL197,3956,0.68,-0.89,2.2,14.19
BL203,4037,0.79,-0.83,2.1,15.07
BL204,4139,0.97,-1.00,2.4,17.54
BL205,4243,0.96,-0.69,2.2,14.13
BL208,4159,0.89,-0.66,2.1,13.59
BL210,4062,0.81,-0.76,2.2,15.62
BL211,4058,0.69,-0.67,2.1,14.13
BL213,4032,0.53,-0.93,2.2,13.53
BL216,3998,0.55,-0.77,2.2,14.08
BL218,3939,0.67,-0.60,2.0,16.17
BL221,4056,0.81,-0.86,2.1,13.80
BL227,4046,0.84,-0.91,2.0,15.40
BL228,3992,0.71,-0.88,2.3,13.31
BL229,4014,0.80,-0.71,2.3,15.73
BL233,4048,0.83,-0.68,2.2,14.52
BL239,4123,0.68,-0.91,2.1,13.80
BL242,4063,0.58,-1.11,2.1,12.98
BL247,4032,0.85,-0.82,2.3,18.64
BL250,4044,0.65,-0.68,2.2,19.14
BL253,4003,0.58,-0.73,2.3,14.46
BL257,3994,0.78,-0.58,2.3,16.77
BL258,4030,0.68,-0.60,2.2,16.88
BL260,4009,0.75,-0.87,2.4,14.90
BL261,4146,0.57,-0.86,2.0,16.99
BL262,4230,0.84,-0.78,2.1,15.68
BL266,4212,0.83,-1.44,2.0,12.10
BL267,4201,0.80,-0.72,2.1,15.62
BL269,3990,0.75,-0.81,2.0,13.86
BL278,4072,0.64,-0.73,2.3,15.51
BL279,4272,0.95,-1.51,1.6,13.31
BL295,3980,0.70,-0.69,2.3,17.38
BL300,3990,0.71,-0.92,2.2,15.68
BL304,3950,0.46,-0.96,2.3,14.41
BL311,4027,0.79,-0.78,2.2,16.94
BL315,4139,0.86,-0.82,1.8,16.72
BL323,3881,0.53,-0.91,2.3,14.46
