Name,lambda,Species,chi,loggf,EW
BL045,6608.03,Fe I,2.28,-3.94,73.6
BL045,6609.12,Fe I,2.56,-2.66,149.2
BL045,6627.54,Fe I,4.54,-1.68,22.7
BL045,6633.76,Fe I,4.56,-0.82,86.2
BL045,6646.93,Fe I,2.60,-3.99,42.7
BL045,6653.85,Fe I,4.15,-2.52,23.3
BL045,5414.08,Fe II,3.22,-3.61,23.3
BL045,5425.25,Fe II,3.20,-3.36,50.1
BL045,6149.25,Fe II,3.89,-2.72,39.3
BL045,6432.68,Fe II,2.89,-3.71,57.7
BL045,6456.39,Fe II,3.90,-2.08,65.0
BL045,5578.73,Ni I,1.68,-2.67,119.9
BL045,5587.87,Ni I,1.93,-2.37,119.4
BL045,5589.37,Ni I,3.90,-1.15,19.1
BL045,5593.75,Ni I,3.90,-0.79,31.2
BL045,6128.97,Ni I,1.68,-3.39,61.2
BL045,6130.14,Ni I,4.27,-0.98,
BL045,6177.25,Ni I,1.83,-3.60,40.2
BL045,6186.72,Ni I,4.11,-0.90,28.3
BL045,6204.61,Ni I,4.09,-1.15,
BL045,6223.99,Ni I,4.10,-0.97,
BL045,6230.10,Ni I,4.11,-1.20,23.6
BL045,6322.17,Ni I,4.15,-1.21,
BL045,6327.60,Ni I,1.68,-3.09,94.9
BL045,6378.26,Ni I,4.15,-0.82,
BL045,6384.67,Ni I,4.15,-1.00,
BL045,6482.80,Ni I,1.94,-2.85,96.8
BL045,6586.32,Ni I,1.95,-2.79,135.4
BL045,6598.61,Ni I,4.24,-0.93,
BL045,6635.14,Ni I,4.42,-0.75,15.1
BL045,5402.78,Y II,1.84,-0.51,
BL045,6141.73,Ba II,0.70,-0.08,182.3
BL045,6496.91,Ba II,0.60,-0.38,204.4
BL045,6320.43,La II,0.17,-1.56,43.2
BL045,6390.46,La II,0.32,-1.40,
BL045,5416.38,Nd II,0.86,-0.98,
BL045,5431.54,Nd II,1.12,-0.47,
BL045,5485.71,Nd II,1.26,-0.12,19.3
BL045,6645.13,Eu II,1.37,0.20,27.3
BL052,6154.23,Na I,2.10,-1.56,
BL052,6160.75,Na I,2.10,-1.26,23.3
BL052,5528.41,Mg I,4.35,-0.36,212.0
BL052,6318.72,Mg I,5.11,-1.97,
BL052,6319.24,Mg I,5.11,-2.21,26.9
BL052,6319.49,Mg I,5.11,-2.43,
BL052,6125.03,Si I,5.62,-1.57,
BL052,6142.48,Si I,5.62,-1.51,
BL052,6145.02,Si I,5.61,-1.37,
BL052,6155.14,Si I,5.62,-0.80,
BL052,6237.33,Si I,5.61,-1.02,
BL052,6243.82,Si I,5.61,-1.27,23.2
BL052,6122.23,Ca I,1.89,-0.32,218.2
BL052,6156.03,Ca I,2.52,-2.39,23.5
BL052,6161.30,Ca I,2.52,-1.27,106.5
BL052,6162.17,Ca I,1.90,-0.32,249.9
BL052,6166.44,Ca I,2.52,-1.14,107.2
BL052,6169.04,Ca I,2.52,-0.80,120.8
BL052,6169.56,Ca I,2.52,-0.48,135.8
BL052,6439.08,Ca I,2.52,0.39,229.8
BL052,6455.60,Ca I,2.52,-1.29,31.4
BL052,6471.67,Ca I,2.52,-0.76,
BL052,6493.79,Ca I,2.52,-0.32,194.6
BL052,6499.65,Ca I,2.52,-0.82,130.4
BL052,6508.84,Ca I,2.52,-2.41,24.6
BL052,5490.16,Ti I,1.46,-0.93,104.4
BL052,5503.90,Ti I,2.58,-0.19,
BL052,6126.22,Ti I,1.07,-1.42,119.7
BL052,6220.50,Ti I,2.68,-0.14,
BL052,6258.10,Ti I,1.44,-0.35,
BL052,6303.77,Ti I,1.44,-1.57,66.2
BL052,6312.24,Ti I,1.46,-1.55,66.8
BL052,6336.10,Ti I,1.44,-1.74,63.7
BL052,6508.12,Ti I,1.43,-2.05,
BL052,6556.08,Ti I,1.46,-1.07,
BL052,6599.13,Ti I,0.90,-2.09,128.0
BL052,6666.53,Ti I,1.46,-1.62,15.1
BL052,5418.77,Ti II,1.58,-2.11,73.6
BL052,6219.94,Ti II,2.06,-2.82,
BL052,6559.58,Ti II,2.05,-2.02,
BL052,6606.95,Ti II,2.06,-2.79,
BL052,6680.13,Ti II,3.09,-1.86,23.9
BL052,6330.09,Cr I,0.94,-2.92,130.8
BL052,5369.96,Fe I,4.37,0.54,125.0
BL052,5383.37,Fe I,4.31,0.50,158.5
BL052,5386.34,Fe I,4.16,-1.74,30.2
BL052,5393.17,Fe I,3.24,-0.92,173.7
BL052,5395.22,Fe I,4.45,-1.73,
BL052,5405.79,Fe I,0.99,-1.85,
BL052,5415.19,Fe I,4.39,0.51,119.1
BL052,5417.04,Fe I,4.42,-1.42,27.6
BL052,5434.53,Fe I,1.01,-2.12,
BL052,5436.30,Fe I,4.39,-1.35,
BL052,5464.29,Fe I,4.14,-1.62,52.9
BL052,5470.09,Fe I,4.45,-1.60,26.7
BL052,5501.48,Fe I,0.96,-3.05,239.1
BL052,5506.79,Fe I,0.99,-2.79,294.2
BL052,5539.29,Fe I,3.64,-2.59,27.4
BL052,5586.77,Fe I,3.37,-0.10,141.5
BL052,6120.26,Fe I,0.91,-5.94,92.1
BL052,6136.62,Fe I,2.45,-1.50,261.1
BL052,6137.00,Fe I,2.20,-2.95,181.4
BL052,6151.62,Fe I,2.18,-3.37,137.3
BL052,6157.75,Fe I,4.07,-1.26,102.3
BL052,6159.38,Fe I,4.61,-1.97,
BL052,6165.36,Fe I,4.14,-1.47,66.5
BL052,6173.34,Fe I,2.22,-2.85,169.6
BL052,6180.20,Fe I,2.73,-2.78,93.6
BL052,6187.99,Fe I,3.94,-1.58,72.7
BL052,6200.31,Fe I,2.61,-2.44,151.4
BL052,6213.43,Fe I,2.22,-2.66,195.5
BL052,6219.29,Fe I,2.20,-2.44,209.7
BL052,6226.74,Fe I,3.88,-2.20,62.4
BL052,6252.57,Fe I,2.40,-1.76,200.3
BL052,6265.13,Fe I,2.18,-2.55,180.8
BL052,6271.28,Fe I,3.32,-2.96,59.8
BL052,6297.80,Fe I,2.22,-2.74,
BL052,6301.50,Fe I,3.65,-0.72,
BL052,6307.85,Fe I,3.64,-3.27,
BL052,6322.69,Fe I,2.59,-2.43,158.5
BL052,6330.85,Fe I,4.73,-1.22,35.3
BL052,6335.33,Fe I,2.20,-2.23,250.2
BL052,6336.82,Fe I,3.69,-1.05,145.5
BL052,6344.15,Fe I,2.43,-2.92,165.2
BL052,6355.04,Fe I,2.84,-2.29,149.7
BL052,6380.75,Fe I,4.19,-1.50,74.2
BL052,6392.54,Fe I,2.28,-3.95,82.9
BL052,6393.61,Fe I,2.43,-1.63,221.5
BL052,6408.03,Fe I,3.69,-1.00,142.1
BL052,6419.96,Fe I,4.73,-0.24,115.3
BL052,6421.36,Fe I,2.28,-2.01,233.8
BL052,6430.86,Fe I,2.18,-1.95,282.6
BL052,6481.87,Fe I,2.27,-2.98,183.1
BL052,6498.94,Fe I,0.96,-4.69,215.6
BL052,6533.93,Fe I,4.55,-1.46,
BL052,6556.81,Fe I,4.79,-1.72,
BL052,6569.22,Fe I,4.73,-0.42,122.0
BL052,6574.23,Fe I,0.99,-5.02,
BL052,6593.88,Fe I,2.43,-2.39,100.8
BL052,6597.56,Fe I,4.79,-1.07,53.7
BL052,6608.03,Fe I,2.28,-3.94,143.8
BL052,6609.12,Fe I,2.56,-2.66,206.9
BL052,6627.54,Fe I,4.54,-1.68,83.1
BL052,6633.76,Fe I,4.56,-0.82,149.8
BL052,6646.93,Fe I,2.60,-3.99,79.8
BL052,6653.85,Fe I,4.15,-2.52,69.6
BL052,5414.08,Fe II,3.22,-3.61,
BL052,5425.25,Fe II,3.20,-3.36,45.7
BL052,6149.25,Fe II,3.89,-2.72,
BL052,6432.68,Fe II,2.89,-3.71,72.7
BL052,6456.39,Fe II,3.90,-2.08,
BL052,5578.73,Ni I,1.68,-2.67,116.0
BL052,5587.87,Ni I,1.93,-2.37,121.6
BL052,5589.37,Ni I,3.90,-1.15,26.3
BL052,5593.75,Ni I,3.90,-0.79,33.4
BL052,6128.97,Ni I,1.68,-3.39,93.5
BL052,6130.14,Ni I,4.27,-0.98,
BL052,6177.25,Ni I,1.83,-3.60,51.7
BL052,6186.72,Ni I,4.11,-0.90,22.8
BL052,6204.61,Ni I,4.09,-1.15,
BL052,6223.99,Ni I,4.10,-0.97,
BL052,6230.10,Ni I,4.11,-1.20,24.5
BL052,6322.17,Ni I,4.15,-1.21,
BL052,6327.60,Ni I,1.68,-3.09,100.3
BL052,6378.26,Ni I,4.15,-0.82,
BL052,6384.67,Ni I,4.15,-1.00,
BL052,6482.80,Ni I,1.94,-2.85,141.8
BL052,6586.32,Ni I,1.95,-2.79,44.1
BL052,6598.61,Ni I,4.24,-0.93,
BL052,6635.14,Ni I,4.42,-0.75,
BL052,5402.78,Y II,1.84,-0.51,30.7
BL052,6141.73,Ba II,0.70,-0.08,227.5
BL052,6496.91,Ba II,0.60,-0.38,278.5
BL052,6320.43,La II,0.17,-1.56,
BL052,6390.46,La II,0.32,-1.40,57.1
BL052,5416.38,Nd II,0.86,-0.98,
BL052,5431.54,Nd II,1.12,-0.47,43.7
BL052,5485.71,Nd II,1.26,-0.12,25.6
BL052,6645.13,Eu II,1.37,0.20,81.5
BL065,6154.23,Na I,2.10,-1.56,
BL065,6160.75,Na I,2.10,-1.26,
BL065,5528.41,Mg I,4.35,-0.36,165.9
BL065,6318.72,Mg I,5.11,-1.97,
BL065,6319.24,Mg I,5.11,-2.21,
BL065,6319.49,Mg I,5.11,-2.43,
BL065,6125.03,Si I,5.62,-1.57,18.3
BL065,6142.48,Si I,5.62,-1.51,
BL065,6145.02,Si I,5.61,-1.37,
BL065,6155.14,Si I,5.62,-0.80,32.4
BL065,6237.33,Si I,5.61,-1.02,
BL065,6243.82,Si I,5.61,-1.27,
BL065,6122.23,Ca I,1.89,-0.32,176.0
BL065,6156.03,Ca I,2.52,-2.39,
BL065,6161.30,Ca I,2.52,-1.27,44.0
BL065,6162.17,Ca I,1.90,-0.32,200.2
BL065,6166.44,Ca I,2.52,-1.14,51.6
BL065,6169.04,Ca I,2.52,-0.80,91.9
BL065,6169.56,Ca I,2.52,-0.48,112.8
BL065,6439.08,Ca I,2.52,0.39,167.9
BL065,6455.60,Ca I,2.52,-1.29,117.2
BL065,6471.67,Ca I,2.52,-0.76,
BL065,6493.79,Ca I,2.52,-0.32,143.0
BL065,6499.65,Ca I,2.52,-0.82,59.6
BL065,6508.84,Ca I,2.52,-2.41,
BL065,5490.16,Ti I,1.46,-0.93,34.0
BL065,5503.90,Ti I,2.58,-0.19,19.8
BL065,6126.22,Ti I,1.07,-1.42,48.9
BL065,6220.50,Ti I,2.68,-0.14,
BL065,6258.10,Ti I,1.44,-0.35,77.3
BL065,6303.77,Ti I,1.44,-1.57,26.0
BL065,6312.24,Ti I,1.46,-1.55,
BL065,6336.10,Ti I,1.44,-1.74,16.9
BL065,6508.12,Ti I,1.43,-2.05,
BL065,6556.08,Ti I,1.46,-1.07,
BL065,6599.13,Ti I,0.90,-2.09,35.6
BL065,6666.53,Ti I,1.46,-1.62,
BL065,5418.77,Ti II,1.58,-2.11,89.0
BL065,6219.94,Ti II,2.06,-2.82,
BL065,6559.58,Ti II,2.05,-2.02,45.2
BL065,6606.95,Ti II,2.06,-2.79,25.2
BL065,6680.13,Ti II,3.09,-1.86,18.9
BL065,6330.09,Cr I,0.94,-2.92,35.1
BL065,5369.96,Fe I,4.37,0.54,
BL065,5383.37,Fe I,4.31,0.50,126.9
BL065,5386.34,Fe I,4.16,-1.74,31.0
BL065,5393.17,Fe I,3.24,-0.92,149.5
BL065,5395.22,Fe I,4.45,-1.73,
BL065,5405.79,Fe I,0.99,-1.85,268.7
BL065,5415.19,Fe I,4.39,0.51,137.7
BL065,5417.04,Fe I,4.42,-1.42,
BL065,5434.53,Fe I,1.01,-2.12,261.2
BL065,5436.30,Fe I,4.39,-1.35,
BL065,5464.29,Fe I,4.14,-1.62,
BL065,5470.09,Fe I,4.45,-1.60,
BL065,5501.48,Fe I,0.96,-3.05,193.2
BL065,5506.79,Fe I,0.99,-2.79,203.6
BL065,5539.29,Fe I,3.64,-2.59,31.9
BL065,5586.77,Fe I,3.37,-0.10,175.9
BL065,6120.26,Fe I,0.91,-5.94,33.9
BL065,6136.62,Fe I,2.45,-1.50,209.1
BL065,6137.00,Fe I,2.20,-2.95,
BL065,6151.62,Fe I,2.18,-3.37,93.6
BL065,6157.75,Fe I,4.07,-1.26,51.0
BL065,6159.38,Fe I,4.61,-1.97,
BL065,6165.36,Fe I,4.14,-1.47,37.2
BL065,6173.34,Fe I,2.22,-2.85,102.5
BL065,6180.20,Fe I,2.73,-2.78,79.4
BL065,6187.99,Fe I,3.94,-1.58,32.1
BL065,6200.31,Fe I,2.61,-2.44,114.0
BL065,6213.43,Fe I,2.22,-2.66,143.4
BL065,6219.29,Fe I,2.20,-2.44,135.0
BL065,6226.74,Fe I,3.88,-2.20,21.0
BL065,6252.57,Fe I,2.40,-1.76,154.7
BL065,6265.13,Fe I,2.18,-2.55,113.5
BL065,6271.28,Fe I,3.32,-2.96,21.5
BL065,6297.80,Fe I,2.22,-2.74,
BL065,6301.50,Fe I,3.65,-0.72,
BL065,6307.85,Fe I,3.64,-3.27,
BL065,6322.69,Fe I,2.59,-2.43,116.1
BL065,6330.85,Fe I,4.73,-1.22,17.3
BL065,6335.33,Fe I,2.20,-2.23,151.0
BL065,6336.82,Fe I,3.69,-1.05,108.8
BL065,6344.15,Fe I,2.43,-2.92,100.0
BL065,6355.04,Fe I,2.84,-2.29,86.5
BL065,6380.75,Fe I,4.19,-1.50,30.1
BL065,6392.54,Fe I,2.28,-3.95,46.2
BL065,6393.61,Fe I,2.43,-1.63,194.6
BL065,6408.03,Fe I,3.69,-1.00,101.0
BL065,6419.96,Fe I,4.73,-0.24,61.7
BL065,6421.36,Fe I,2.28,-2.01,163.9
BL065,6430.86,Fe I,2.18,-1.95,174.9
BL065,6481.87,Fe I,2.27,-2.98,119.2
BL065,6498.94,Fe I,0.96,-4.69,110.2
BL065,6533.93,Fe I,4.55,-1.46,
BL065,6556.81,Fe I,4.79,-1.72,
BL065,6569.22,Fe I,4.73,-0.42,59.8
BL065,6574.23,Fe I,0.99,-5.02,101.1
BL065,6593.88,Fe I,2.43,-2.39,156.8
BL065,6597.56,Fe I,4.79,-1.07,
BL065,6608.03,Fe I,2.28,-3.94,35.5
BL065,6609.12,Fe I,2.56,-2.66,107.1
BL065,6627.54,Fe I,4.54,-1.68,
BL065,6633.76,Fe I,4.56,-0.82,
BL065,6646.93,Fe I,2.60,-3.99,27.3
BL065,6653.85,Fe I,4.15,-2.52,15.0
BL065,5414.08,Fe II,3.22,-3.61,42.9
BL065,5425.25,Fe II,3.20,-3.36,64.2
BL065,6149.25,Fe II,3.89,-2.72,23.8
BL065,6432.68,Fe II,2.89,-3.71,41.8
BL065,6456.39,Fe II,3.90,-2.08,99.8
BL065,5578.73,Ni I,1.68,-2.67,86.8
BL065,5587.87,Ni I,1.93,-2.37,83.3
BL065,5589.37,Ni I,3.90,-1.15,
BL065,5593.75,Ni I,3.90,-0.79,21.8
BL065,6128.97,Ni I,1.68,-3.39,48.1
