JINA_ID,I/O,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li I,Be I,C I,N I,O I,F I,Na I,Mg I,Al I,Si I,P I,S I,K I,Ca I,Sc II,Ti I,V I,Cr I,Mn I,Fe I,Co I,Ni I,Cu I,Zn I,Ga I,Ge I,As I,Se I,Rb I,Sr II,Y II,Zr II,Nb I,Mo I,Ru I,Rh I,Pd I,Ag I,Cd I,Sn I,Te I,Ba II,La II,Ce II,Pr II,Nd II,Sm II,Eu II,Gd II,Tb I,Dy II,Ho I,Er I,Tm I,Yb I,Lu I,Hf I,W I,Os I,Ir I,Pt I,Au I,Hg I,Pb I,Bi I,Th I,U I,Ca II,Ti II,V II,Cr II,Mn II,Fe II,Added_by
674,0,CAY04,Cayrel+2004,CS 22891-209,BPS CS 22891-0209,,RL,,EMP,,HA,,RG,19:42:02.184,-61:03:44.640,295.5091,-61.0624,74.0,1992AJ....103.1987B,,13.03,12.18,,,10.235,9.745,9.623,4700,1.0,-3.0,2.1,,,4.71,,6.25,,3.55,4.63,2.75,4.6,,,2.35,3.38,-0.06,1.97,,2.01,1.73,4.21,1.83,2.98,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,4.22,Yelland
681,1,CAY04,Cayrel+2004,CS 22896-154,UCAC2   7177623,,R1,,VMP,,HA,,RG,19:42:26.904,-56:58:33.960,295.6121,-56.9761,141.0,1992AJ....103.1987B,,14.27,13.63,,,12.072,11.637,11.54,5250,2.7,-2.7,1.2,,,6.1,,7.02,,3.76,4.97,3.02,5.4,,,2.88,4.03,0.61,2.6,,2.75,2.12,4.82,2.61,3.51,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,,,,4.81,Yelland
688,1,CAY04,Cayrel+2004,CS 22873-055,UCAC2   5726991,,,,VMP,,HA,,RG,19:53:49.776,-59:40:00.120,298.4574,-59.6667,209.31,2013AJ....146..134K,,13.592,12.62,,11.48,10.654,10.127,10.006,4550,0.7,-3.0,2.2,,,4.56,,6.3,,4.05,5.01,3.28,4.9,,,2.6,3.72,0.2,2.19,,2.32,1.98,4.52,2.17,3.3,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,4.51,Yelland
697,0,CAY04,Cayrel+2004,CS 22885-096,BPS CS 22885-0096,,,,EMP,alpha,HA,,RG,20:20:51.168,-39:53:30.120,305.2132,-39.8917,-249.1,2014AJ....147..136R,,14.02,13.33,,,11.63,11.163,11.09,5050,2.6,-4.0,1.8,,,4.95,,,,2.49,3.99,1.9,4.29,,,1.68,2.93,-0.24,1.58,,1.41,1.07,3.69,1.62,2.47,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,3.75,Yelland
725,0,CAY04,Cayrel+2004,CS 22897-008,BPS CS 22897-0008,,RL,,EMP,,HA,,RG,21:03:11.856,-65:05:08.880,315.7994,-65.0858,260.0,1992AJ....103.1987B,,14.02,13.33,,,11.596,11.089,11.002,4900,1.7,-3.5,2.0,,,5.61,,,,2.76,4.43,2.33,4.55,,,2.16,3.24,-0.22,1.88,,1.88,1.76,4.08,1.93,2.91,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,,,,4.1,Yelland
755,1,CAY04,Cayrel+2004,CS 29495-041,BPS CS 29495-0041,,RL,,VMP,alpha,HA,,RG,21:36:33.288,-28:18:48.600,324.1387,-28.3135,77.0,1992AJ....103.1987B,14.111,14.15,13.34,,12.222,11.607,11.116,11.024,4800,1.5,-2.8,1.8,,,5.66,,6.63,,3.75,5.09,2.99,5.3,,,2.84,3.92,0.46,2.43,,2.5,2.08,4.69,2.32,3.38,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,,,,4.67,Yelland
789,0,CAY04,Cayrel+2004,CS 22956-050,BPS CS 22956-0050,,,,EMP,,HA,,RG,21:58:05.832,-65:13:27.120,329.5243,-65.2242,2.0,1992AJ....103.1987B,,14.95,14.25,13.745,13.211,12.597,12.06,12.018,4900,1.7,-3.3,1.8,,,5.46,,,,,4.62,2.49,5.0,,,2.08,3.49,-0.2,2.04,,2.0,1.55,4.18,1.98,2.93,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,4.16,Yelland
806,1,CAY04,Cayrel+2004,BS 17569-049,BPS BS 17569-0049,,R1,,VMP,alpha,HA,,RG,22:04:58.368,+04:01:32.160,331.2432,4.0256,-203.0,2000AJ....120.1516A,14.503,14.263,13.126,13.122,12.259,11.503,10.92,10.853,4700,1.2,-3.0,1.9,,,5.45,5.8,,,3.87,4.95,3.12,5.27,,,2.73,3.89,0.35,2.42,,2.54,2.09,4.65,2.37,3.41,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,,,4.6,Yelland
819,0,CAY04,Cayrel+2004,CS 22892-052,BPS CS 22892-0052,,R2,CE,EMP,,HA,,RG,22:17:01.656,-16:39:27.000,334.2569,-16.6575,13.0,2014AJ....147..136R,,14.03,13.2,13.06,12.19,11.492,11.022,10.929,4850,1.6,-3.0,1.9,,,6.38,5.42,6.21,,3.35,4.77,2.7,4.95,,,2.53,3.65,0.12,2.15,,2.32,1.88,4.46,2.0,3.01,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,4.48,Yelland
842,1,CAY04,Cayrel+2004,CS 29502-042,2MASS J22214882+0228448,,,,EMP,,HA,,RG,22:21:48.816,+02:28:44.760,335.4534,2.4791,-138.05,2009A&A...501..519B,13.291,13.4,12.74,12.325,12.013,11.15,10.724,10.653,5100,2.5,-3.0,1.5,,,5.56,,,,2.69,4.62,2.47,4.65,,,2.23,3.39,0.17,2.09,,2.11,1.64,4.31,2.09,3.0,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,,,,4.31,Yelland
863,1,CAY04,Cayrel+2004,CS 29516-024,2MASS J22261535+0251462,,,,EMP,,HA,,RG,22:26:15.360,+02:51:46.440,336.564,2.8629,-84.27,2009A&A...501..519B,,14.43,13.57,13.011,12.416,11.636,11.061,10.973,4650,1.2,-3.0,1.7,,,5.45,,6.33,,3.63,5.0,2.82,5.05,,,,3.85,0.17,2.21,,2.3,1.89,4.43,2.11,3.04,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,,,4.45,Yelland
888,1,CAY04,Cayrel+2004,CS 29491-053,BPS CS 29491-0053,,RL,,EMP,alpha,HA,,RG,22:36:56.304,-28:31:06.600,339.2346,-28.5185,-147.47,2009A&A...501..519B,,13.76,12.92,12.38,11.812,11.148,10.624,10.532,4700,1.3,-3.0,2.0,,,5.2,,6.49,,3.54,5.07,2.94,5.05,,,2.66,3.72,0.25,2.22,,2.22,1.83,4.47,2.07,3.11,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,4.46,Yelland
930,0,CAY04,Cayrel+2004,CS 22949-037,HE 2323-0256,,,CE,EMP,,HA,,RG,23:26:29.808,-02:39:57.960,351.6242,-2.6661,-125.4,2014AJ....147..136R,,15.12,14.36,,13.358,12.65,12.159,12.075,4900,1.5,-4.0,1.8,,,5.72,6.52,6.78,,3.8,5.17,2.34,4.35,,,1.38,2.73,-0.7,1.4,,1.29,0.96,3.51,1.28,2.19,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,3.56,Yelland
965,0,CAY04,Cayrel+2004,CS 22952-015,HE 2334-0604,,,,EMP,,HA,,RG,23:37:28.680,-05:47:56.760,354.3695,-5.7991,-7.0,1992AJ....103.1987B,,14.03,13.28,12.768,12.249,11.52,10.999,10.916,4800,1.3,-3.4,2.1,,,,,,,,4.15,2.58,4.45,,,2.18,3.07,-0.37,1.69,,1.78,1.63,4.05,1.62,2.7,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,,,4.09,Yelland
984,1,CAY04,Cayrel+2004,CS 22966-057,2MASS J23485776-2939228,,R1,,VMP,alpha,HA,,RG,23:48:57.744,-29:39:22.680,357.2406,-29.6563,101.22,2009A&A...501..519B,14.759,,14.3,,13.512,12.992,12.603,12.532,5300,2.2,-2.6,1.4,,,5.96,,7.14,,4.18,5.08,2.99,5.5,,,2.91,4.1,0.61,2.71,,2.86,2.33,4.89,2.67,3.76,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,4.88,Yelland
1041,0,CAY04,Cayrel+2004,CS 31082-001,BD-16   251,,,,VMP,alpha,HA,,RG,01:29:31.128,-16:00:45.360,22.3797,-16.0126,138.45,2013AJ....146..134K,12.527,12.427,11.642,11.189,10.713,10.053,9.612,9.464,4825,1.5,-2.9,1.8,,,5.82,5.22,6.46,,3.7,5.04,2.83,4.89,,,2.87,3.87,0.28,2.37,,2.43,1.98,4.6,2.28,3.37,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,4.58,Yelland
1058,0,CAY04,Cayrel+2004,BD-18 5550,BD-18  5550,,,,EMP,,HA,,RG,19:58:49.728,-18:12:11.160,299.7072,-18.2031,-125.19,2008A&A...480...91S,10.18,10.03,9.35,9.04,8.74,7.202,6.721,6.555,4750,1.4,-3.0,1.8,,,5.44,,6.13,,3.32,4.83,2.82,4.88,,,2.58,3.71,0.15,2.12,,2.27,1.95,4.44,2.05,3.14,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,4.44,Yelland
1128,0,CAY04,Cayrel+2004,BD+17 3248,BD+17  3248,,R1,,VMP,alpha,HA,,RG,17:28:14.472,+17:30:36.000,262.0603,17.51,-145.2,2006AstL...32..759G,,10.02,9.34,,,7.876,7.391,7.338,5250,1.4,-2.0,1.5,,,6.02,6.42,7.39,,4.95,5.7,3.7,6.0,,,3.88,4.69,1.3,3.18,,3.39,2.86,5.46,3.21,4.19,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,,5.41,Yelland
1241,1,CAY04,Cayrel+2004,CS 22873-166,BPS CS 22873-0166,,RL,,VMP,alpha,HA,,RG,20:19:22.032,-61:30:15.120,304.8418,-61.5042,-16.2,2011ApJ...742...54H,,12.818,11.802,11.52,10.57,9.832,9.263,9.137,4550,0.9,-3.0,2.1,,,5.4,6.0,,,3.69,5.14,3.11,5.0,,,2.66,3.76,0.28,2.25,,2.36,1.92,4.58,2.12,3.2,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,4.49,Yelland
1505,0,CAY04,Cayrel+2004,CD-38 245,CD-38   245,,,NO,UMP,,HA,,RG,00:46:36.192,-37:39:33.480,11.6508,-37.6593,46.4,2006AstL...32..759G,,12.733,11.929,13.39,10.996,10.279,9.762,9.648,4800,1.5,-4.0,2.2,,,<4.0,,,,2.08,3.59,1.61,3.56,,,,2.37,-0.98,1.2,,1.04,0.61,3.3,1.1,1.88,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,3.33,Yelland
1658,0,CAY04,Cayrel+2004,HD 122563,HD 122563,,,,VMP,,HA,,RG,14:02:31.848,+09:41:09.960,210.6327,9.6861,-26.58,2011AAS...21743412C,7.47,7.1,6.19,5.37,4.79,4.33,3.76,3.731,4600,1.1,-2.8,2.0,,,5.3,,6.57,,3.75,5.13,3.28,5.2,,,2.82,3.86,0.46,2.32,,2.46,2.17,4.72,2.39,3.47,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,4.65,Yelland
1782,0,CAY04,Cayrel+2004,HD 186478,HD 186478,,R1,,VMP,alpha,HA,,RG,19:45:14.136,-17:29:27.240,296.3089,-17.4909,30.6,2006AstL...32..759G,,10.116,9.302,8.527,7.961,7.117,6.602,6.443,4700,1.3,-2.6,2.0,,,5.6,5.75,6.93,,3.94,5.38,3.32,5.4,,,3.19,4.21,0.68,2.68,,2.76,2.33,4.93,2.54,3.49,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,4.9,Yelland
1888,1,CAY04,Cayrel+2004,HD 2796,HD   2796,,RL,,VMP,,HA,,RG,00:31:16.920,-16:47:40.920,7.8205,-16.7947,-61.15,2008A&A...480...91S,9.58,9.28,8.5,8.14,8.67,6.853,6.391,6.256,4950,1.5,-2.4,2.1,,,5.55,,6.8,,4.2,5.36,3.35,5.48,,,3.25,4.22,0.79,2.75,,2.95,2.54,5.05,2.59,3.7,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,5.02,Yelland
2062,0,CAY04,Cayrel+2004,CS 22948-066,HE 2141-3741,,,,EMP,,HA,,RG,21:44:51.168,-37:27:55.080,326.2132,-37.4653,-166.0,1992AJ....103.1987B,,14.1,13.47,,,11.966,11.505,11.441,5100,1.8,-3.0,2.0,,,5.36,,6.52,,3.34,4.72,2.5,4.7,,,2.43,3.49,0.29,2.16,,2.24,2.13,4.35,2.2,3.25,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,4.37,Yelland
2673,1,CAY04,Cayrel+2004,BS 16467-062,BPS BS 16467-0062,,,,EMP,alpha,HA,,RG,13:42:00.624,+17:48:40.680,205.5026,17.8113,-85.0,2013MNRAS.434.1681C,,14.69,14.09,13.665,13.216,12.68,12.221,12.198,5200,2.5,-4.0,1.6,,,5.0,,,,2.39,3.97,1.8,4.2,,,1.78,2.94,-0.59,1.65,,1.49,1.07,3.67,1.7,2.56,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,3.79,Yelland
