JINA_ID,I/O,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li I,Be I,C I,N I,O I,F I,Na I,Mg I,Al I,Si I,P I,S I,K I,Ca I,Sc II,Ti I,V I,Cr I,Mn I,Fe I,Co I,Ni I,Cu I,Zn I,Ga I,Ge I,As I,Se I,Rb I,Sr II,Y II,Zr II,Nb I,Mo I,Ru I,Rh I,Pd I,Ag I,Cd I,Sn I,Te I,Ba II,La II,Ce II,Pr II,Nd II,Sm II,Eu II,Gd II,Tb I,Dy II,Ho I,Er I,Tm I,Yb I,Lu I,Hf I,W I,Os I,Ir I,Pt I,Au I,Hg I,Pb I,Bi I,Th I,U I,Ca II,Ti II,V II,Cr II,Mn II,Fe II,Added_by
129,0,CAY04,Cayrel+2004,CS 22953-003,BPS CS 22953-0003,,R2,,VMP,,HA,,RG,01:02:15.864,-61:43:45.840,15.5661,-61.7294,209.0,1992AJ....103.1987B,,14.43,13.75,13.339,12.886,12.173,11.726,11.642,5100,2.3,-3.0,1.7,,,6.0,,6.68,,3.64,4.87,2.65,4.96,,,2.59,3.74,0.32,2.33,,2.43,2.19,4.65,2.25,3.33,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,,4.68,Yelland
168,1,CAY04,Cayrel+2004,CS 29518-051,BPS CS 29518-0051,,RL,,VMP,alpha,HA,,RG,01:24:10.008,-28:15:21.240,21.0417,-28.2559,96.42,2009A&A...501..519B,13.567,13.62,13.02,12.594,12.162,11.54,11.15,11.032,5100,2.4,-2.8,1.4,,,5.7,,7.01,,3.95,5.09,2.99,5.38,,,2.84,4.05,0.62,2.67,,2.76,2.28,4.85,2.57,3.65,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,4.78,Yelland
220,0,CAY04,Cayrel+2004,CS 22189-009,HE 0239-1340,,,,EMP,,HA,,RG,02:41:42.384,-13:28:10.560,40.4266,-13.4696,-42.0,1992AJ....103.1987B,,14.73,13.97,13.566,13.08,12.391,11.895,11.798,4900,1.7,-3.5,1.9,,,5.3,,,,2.54,4.2,2.06,4.35,,,2.03,3.07,-0.32,1.66,,1.76,1.65,4.01,1.8,2.82,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,4.01,Yelland
244,0,CAY04,Cayrel+2004,CS 22968-014,HE 0305-5442,,,,EMP,,HA,,RG,03:06:29.496,-54:30:32.400,46.6229,-54.509,158.3,2013ApJ...778...56C,,14.44,13.7,13.212,12.715,12.026,11.533,11.467,4850,1.7,-3.5,1.9,,,5.26,,6.11,,2.41,4.22,2.13,4.2,,,1.78,2.83,-0.35,1.57,,1.66,1.6,3.93,1.92,2.91,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,3.96,Yelland
257,1,CAY04,Cayrel+2004,CS 22172-002,2MASS J03142084-1035112,,,,EMP,,HA,,RG,03:14:20.856,-10:35:11.400,48.5869,-10.5865,255.0,2013MNRAS.434.1681C,,13.54,12.73,12.204,11.693,10.898,10.431,10.32,4800,1.3,-4.0,2.2,,,4.63,,<5.95,,2.12,3.92,1.81,4.1,,,1.71,2.87,-0.8,1.51,,1.4,0.94,3.64,1.53,2.24,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,3.64,Yelland
311,0,CAY04,Cayrel+2004,CS 22169-035,HE 0409-1212,,RL,,EMP,,HA,,RG,04:12:13.872,-12:05:04.920,63.0578,-12.0847,16.14,2013AJ....146..134K,,13.843,12.897,,11.764,11.002,10.48,10.353,4700,1.2,-3.0,2.2,,,5.2,,,,,4.63,2.56,4.8,,,2.5,3.45,-0.05,1.94,,2.2,2.06,4.46,1.78,2.93,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,4.46,Yelland
331,1,CAY04,Cayrel+2004,CS 22186-025,BPS CS 22186-0025,,R1,,EMP,alpha,HA,,RG,04:24:32.808,-37:09:02.520,66.1367,-37.1507,-122.35,2009A&A...501..519B,,14.99,14.24,13.74,13.269,12.568,12.066,12.032,4900,1.5,-3.0,2.0,,,4.9,,6.36,,3.67,4.94,2.69,5.0,,,2.67,3.71,0.32,2.34,,2.33,2.01,4.5,2.15,3.23,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,4.5,Yelland
576,1,CAY04,Cayrel+2004,BS 16477-003,BPS BS 16477-0003,,RL,,EMP,alpha,HA,,RG,14:32:56.928,+06:46:06.960,218.2372,6.7686,-191.0,2013MNRAS.434.1681C,,14.94,14.22,13.727,13.224,12.518,12.093,11.941,4900,1.7,-3.4,1.8,,,5.5,,,,3.04,4.5,2.51,4.69,,,2.23,3.38,-0.18,1.98,,1.94,1.53,4.14,1.93,2.92,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,4.15,Yelland
596,1,CAY04,Cayrel+2004,CS 30325-094,2MASS J14543927+0421380,,,,EMP,,HA,,RG,14:54:39.264,+04:21:38.160,223.6636,4.3606,-138.0,2013MNRAS.434.1681C,,13.02,12.32,11.849,11.376,10.661,10.208,10.123,4950,2.0,-3.4,1.5,,,5.2,,6.19,,3.12,4.66,2.59,5.06,,,2.55,3.44,0.2,1.99,,1.93,1.54,4.2,1.91,3.03,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,4.2,Yelland
645,0,CAY04,Cayrel+2004,CS 22878-101,BPS CS 22878-0101,,,,EMP,alpha,HA,,RG,16:45:31.440,+08:14:45.600,251.381,8.246,-110.0,2013MNRAS.434.1681C,,14.59,13.79,,12.673,11.873,11.369,11.242,4800,1.3,-3.0,2.0,,,5.0,,,,3.22,4.77,2.46,4.65,,,,3.47,0.04,2.06,,2.01,1.6,4.21,1.89,2.77,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,,4.29,Yelland
