     361  -0.039   0.010  -0.072  -0.014  -0.042  -0.013   0.027   0.019   0.002  -0.056   0.106   0.079
    1461  -0.032  -0.108   0.103   0.007   0.044   0.014  -0.016   0.007   0.005   0.045  -0.052  -0.039
    2071  -0.020  -0.022  -0.032   0.001  -0.001   0.002   0.024   0.029   0.005  -0.029   0.032   0.039
    4915   0.020   0.039  -0.039   0.048   0.020   0.014   0.045   0.064   0.006  -0.037   0.036   0.032
    6204  -0.129  -0.097  -0.107  -0.062  -0.078  -0.044   0.019  -0.009   0.005  -0.064   0.129   0.122
    7134   0.029   0.094  -0.033   0.037   0.021   0.049   0.047   0.052  -0.018  -0.029  -0.015  -0.110
    8406  -0.036  -0.028  -0.060   0.000  -0.020  -0.010   0.031   0.030   0.010  -0.041   0.048   0.050
   11505   0.132   0.280   0.024   0.182   0.199   0.118   0.109   0.178  -0.001   0.012  -0.048  -0.118
   12264  -0.065   0.004  -0.063  -0.038  -0.053  -0.030   0.019   0.004   0.014  -0.045   0.091   0.094
   12387   0.207   0.301   0.077   0.191   0.226   0.131   0.100   0.191  -0.001   0.033  -0.026  -0.072
   13724  -0.081  -0.093   0.038  -0.001   0.006   0.006   0.015   0.012   0.019   0.028  -0.005   0.009
   19467   0.141   0.246   0.052   0.168   0.183   0.088   0.070   0.139  -0.005   0.013  -0.031  -0.062
   20619   0.000   0.055  -0.031   0.027   0.004  -0.001   0.031   0.033   0.001  -0.050   0.047   0.032
   20766   0.019   0.103  -0.032   0.073   0.064   0.025   0.037   0.070   0.007  -0.019  -0.034  -0.096
   20782  -0.014   0.020  -0.083   0.008   0.016  -0.006   0.013   0.024  -0.004  -0.044  -0.094  -0.112
   20807   0.049   0.096  -0.027   0.055   0.033   0.033   0.023   0.037  -0.012  -0.024  -0.038  -0.123
   27063  -0.084  -0.075  -0.045  -0.017  -0.030  -0.019   0.023   0.011   0.015  -0.022   0.050   0.067
   28471  -0.021   0.004  -0.010   0.034   0.065   0.021   0.025   0.045  -0.008  -0.006  -0.044  -0.068
   28821   0.014   0.087  -0.067   0.085   0.106   0.026   0.057   0.087   0.002  -0.033  -0.077  -0.093
   31527   0.019   0.070   0.006   0.024   0.019   0.033   0.025   0.032  -0.009  -0.016   0.019  -0.054
   38277  -0.011   0.040  -0.070   0.010   0.013   0.004   0.008   0.003  -0.017  -0.042  -0.072  -0.130
