Name,Species,l_[X/Fe],[X/Fe]
HD 19467,Mg,,0.168
HD 20619,Mg,,0.027
HD 20766,Mg,,0.073
HD 20782,Mg,,0.008
HD 20807,Mg,,0.055
HD 27063,Mg,,-0.017
HD 28471,Mg,,0.034
HD 28821,Mg,,0.085
HD 31527,Mg,,0.024
HD 38277,Mg,,0.010
HD 38858,Mg,,0.022
HD 45184,Mg,,-0.007
HD 45289,Mg,,0.098
HD 59711,Mg,,0.018
HD 59967,Mg,,-0.061
HD 66428,Mg,,0.033
HD 67458,Mg,,0.017
HD 71334,Mg,,0.036
HD 75302,Mg,,-0.029
HD 78429,Mg,,0.020
HD 88084,Mg,,0.027
HD 89454,Mg,,-0.030
HD 92719,Mg,,0.003
HD 95521,Mg,,0.014
HD 96116,Mg,,-0.039
HD 96423,Mg,,0.022
HD 102117,Mg,,0.035
HD 102365,Mg,,0.153
HD 104982,Mg,,0.061
HD 106116,Mg,,0.011
HD 108309,Mg,,0.010
HD 109271,Mg,,-0.025
HD 111031,Mg,,-0.006
HD 114853,Mg,,0.052
HD 115674,Mg,,0.035
HD 117105,Mg,,0.093
HD 117207,Mg,,-0.007
HD 126525,Mg,,0.041
HD 134606,Mg,,0.034
HD 134664,Mg,,-0.022
HD 134987,Mg,,0.021
HD 145927,Mg,,0.018
HD 146233,Mg,,-0.010
HD 160691,Mg,,0.005
HD 177409,Mg,,-0.002
HD 183658,Mg,,0.007
HD 186408,Mg,,0.023
HD 186427,Mg,,0.025
HD 189567,Mg,,0.096
HD 189625,Mg,,-0.023
HD 190647,Mg,,0.073
HD 196390,Mg,,-0.030
HD 198075,Mg,,0.010
HD 200633,Mg,,-0.020
HD 202628,Mg,,-0.006
HD 204313,Mg,,0.010
HD 208704,Mg,,0.015
HD 210918,Mg,,0.070
HD 211415,Mg,,0.048
HD 220507,Mg,,0.125
HD 222582,Mg,,0.035
HD 361,Al,,-0.042
HD 1461,Al,,0.044
HD 2071,Al,,-0.001
HD 4915,Al,,0.020
HD 6204,Al,,-0.078
HD 7134,Al,,0.021
HD 8406,Al,,-0.020
HD 11505,Al,,0.199
HD 12264,Al,,-0.053
HD 12387,Al,,0.226
HD 13724,Al,,0.006
HD 19467,Al,,0.183
HD 20619,Al,,0.004
HD 20766,Al,,0.064
HD 20782,Al,,0.016
HD 20807,Al,,0.033
HD 27063,Al,,-0.030
HD 28471,Al,,0.065
HD 28821,Al,,0.106
HD 31527,Al,,0.019
HD 38277,Al,,0.013
HD 38858,Al,,0.008
HD 45184,Al,,-0.015
HD 45289,Al,,0.127
HD 59711,Al,,0.017
HD 59967,Al,,-0.078
HD 66428,Al,,0.049
HD 67458,Al,,0.000
HD 71334,Al,,0.063
HD 75302,Al,,-0.036
HD 78429,Al,,0.035
HD 88084,Al,,0.055
HD 89454,Al,,-0.029
HD 92719,Al,,-0.013
HD 95521,Al,,0.001
HD 96116,Al,,-0.063
HD 96423,Al,,0.056
HD 102117,Al,,0.076
HD 102365,Al,,0.153
HD 104982,Al,,0.068
HD 106116,Al,,0.045
HD 108309,Al,,0.046
HD 109271,Al,,0.025
HD 111031,Al,,0.039
HD 114853,Al,,0.060
HD 115674,Al,,0.021
HD 117105,Al,,0.071
HD 117207,Al,,0.020
HD 126525,Al,,0.066
HD 134606,Al,,0.058
HD 134664,Al,,-0.036
HD 134987,Al,,0.055
HD 145927,Al,,0.034
HD 146233,Al,,-0.019
HD 160691,Al,,0.054
HD 177409,Al,,-0.027
HD 183658,Al,,0.017
HD 186408,Al,,0.032
HD 186427,Al,,0.044
HD 189567,Al,,0.107
HD 189625,Al,,-0.018
HD 190647,Al,,0.133
HD 196390,Al,,-0.021
HD 198075,Al,,-0.010
HD 200633,Al,,-0.005
HD 202628,Al,,-0.036
HD 204313,Al,,0.034
HD 208704,Al,,0.025
HD 210918,Al,,0.103
HD 211415,Al,,0.030
HD 220507,Al,,0.153
HD 222582,Al,,0.059
HD 361,Si,,-0.013
HD 1461,Si,,0.014
HD 2071,Si,,0.002
HD 4915,Si,,0.014
HD 6204,Si,,-0.044
HD 7134,Si,,0.049
HD 8406,Si,,-0.010
HD 11505,Si,,0.118
HD 12264,Si,,-0.030
HD 12387,Si,,0.131
HD 13724,Si,,0.006
HD 19467,Si,,0.088
HD 20619,Si,,-0.001
HD 20766,Si,,0.025
HD 20782,Si,,-0.006
HD 20807,Si,,0.033
HD 27063,Si,,-0.019
HD 28471,Si,,0.021
HD 28821,Si,,0.026
HD 31527,Si,,0.033
HD 38277,Si,,0.004
HD 38858,Si,,0.013
HD 45184,Si,,-0.004
HD 45289,Si,,0.053
HD 59711,Si,,0.008
HD 59967,Si,,-0.045
HD 66428,Si,,0.034
HD 67458,Si,,0.010
HD 71334,Si,,0.018
HD 75302,Si,,-0.034
HD 78429,Si,,-0.003
HD 88084,Si,,0.021
HD 89454,Si,,-0.019
HD 92719,Si,,0.005
HD 95521,Si,,0.004
HD 96116,Si,,-0.035
HD 96423,Si,,0.005
HD 102117,Si,,0.018
HD 102365,Si,,0.079
HD 104982,Si,,0.017
HD 106116,Si,,0.005
HD 108309,Si,,0.003
HD 109271,Si,,-0.026
HD 111031,Si,,0.021
HD 114853,Si,,0.019
HD 115674,Si,,0.001
HD 117105,Si,,0.070
HD 117207,Si,,0.001
HD 126525,Si,,0.026
HD 134606,Si,,0.041
HD 134664,Si,,-0.019
HD 134987,Si,,0.034
HD 145927,Si,,0.007
HD 146233,Si,,-0.006
HD 160691,Si,,0.030
HD 177409,Si,,-0.004
HD 183658,Si,,0.008
HD 186408,Si,,0.009
HD 186427,Si,,0.009
HD 189567,Si,,0.047
HD 189625,Si,,-0.009
HD 190647,Si,,0.052
HD 196390,Si,,-0.022
HD 198075,Si,,0.008
HD 200633,Si,,-0.010
HD 202628,Si,,-0.017
HD 204313,Si,,0.015
HD 208704,Si,,0.006
HD 210918,Si,,0.028
HD 211415,Si,,0.032
HD 220507,Si,,0.069
