JINA_ID,I/O,Ref,Reference,Name,Simbad_Identifier,ulLi,ulBe,ulC,ulN,ulO,ulF,ulNa,ulMg,ulAl,ulSi,ulP,ulS,ulK,ulCa,ulSc,ulTi,ulV,ulCr,ulMn,ulFe,ulCo,ulNi,ulCu,ulZn,ulGa,ulGe,ulAs,ulSe,ulRb,ulSr,ulY,ulZr,ulNb,ulMo,ulRu,ulRh,ulPd,ulAg,ulCd,ulSn,ulTe,ulBa,ulLa,ulCe,ulPr,ulNd,ulSm,ulEu,ulGd,ulTb,ulDy,ulHo,ulEr,ulTm,ulYb,ulLu,ulHf,ulW,ulOs,ulIr,ulPt,ulAu,ulHg,ulPb,ulBi,ulTh,ulU,ulCaII,ulTiII,ulVII,ulCrII,ulMnII,ulFeII
1122,0,ROE12a,Roederer+2012a,BD+173248,BD+17_3248,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1123,0,SPI11,Spite+2011,BD+173248,BD+17_3248,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1124,0,SPI12,Spite+2012,BD+173248,BD+17_3248,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1125,1,FUL00,Fulbright+2000,HIP109558,BD+17_4708,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1126,1,BUR00,Burris+2000,BD+182757,BD+18_2757,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1127,0,BUR00,Burris+2000,BD+182890,BD+18_2890,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1128,1,JOH02a,Johnson+2002a,BD+182890,BD+18_2890,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1129,1,ARN05,Arnone+2005,BD+202030,BD+20_2030,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1130,0,HOS09,Hosford+2009,BD+202030,BD+20_2030,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1131,0,RIC09,Rich+2009,BD+202030,BD+20_2030,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
