Name,Species,N,l_logepsX,logepsX,e_stat,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe]
J220409,C-H,,,5.41,0.20,,-3.02,0.47,,-0.33,0.31
J220409,C-N,,<,+7.83,,<,-0.69,,<,+2.00,
J220409,Na I,2,,3.57,0.20,,-2.67,0.30,,0.02,0.27
J220409,Mg I,5,,5.44,0.17,,-2.18,0.27,,0.51,0.25
J220409,Al I,2,,2.79,0.20,,-3.66,0.50,,-0.97,0.32
J220409,Si I,1,,4.89,0.20,,-2.62,0.43,,0.07,0.28
J220409,K I,2,,2.55,0.20,,-2.48,0.30,,0.21,0.27
J220409,Ca I,13,,3.69,0.26,,-2.65,0.32,,0.04,0.33
J220409,Sc II,6,,0.55,0.09,,-2.60,0.24,,0.09,0.23
J220409,Ti I,4,,2.33,0.23,,-2.62,0.38,,0.07,0.29
J220409,Ti II,11,,2.34,0.25,,-2.61,0.29,,0.08,0.33
J220409,V II,2,,1.52,0.20,,-2.41,0.26,,0.28,0.30
J220409,Cr I,4,,2.53,0.10,,-3.11,0.27,,-0.42,0.21
J220409,Mn I,3,,2.22,0.30,,-3.21,0.56,,-0.52,0.39
J220409,Fe I,94,,4.82,0.17,,-2.69,0.34,,,
J220409,Fe II,10,,4.81,0.21,,-2.76,0.25,,,
J220409,Co I,1,,2.25,0.20,,-2.74,0.39,,-0.05,0.27
J220409,Ni I,2,,3.29,0.20,,-2.93,0.21,,-0.24,0.29
J220409,Cu I,,<,+1.40,,<,-2.79,,<,-0.10,
J220409,Zn I,,<,+2.07,,<,-2.49,,<,+0.20,
J220409,Sr II,2,,-1.70,0.20,,-4.57,0.29,,-1.88,0.31
J220409,Y II,,<,-0.78,,<,-2.99,,<,-0.30,
J220409,Zr II,,<,-0.61,,<,-3.19,,<,-0.50,
J220409,Ba II,3,,-1.77,0.19,,-3.95,0.38,,-1.26,0.26
J220409,La II,,<,-1.59,,<,-2.69,,<,+0.00,
J220409,Ce II,,<,-0.91,,<,-2.49,,<,+0.20,
J220409,Pr II,,<,-1.17,,<,-1.89,,<,+0.80,
J220409,Nd II,,<,-0.57,,<,-1.99,,<,+0.70,
J220409,Sm II,,,,,,,,,,
J220409,Eu II,,<,-2.07,,<,-2.59,,<,+0.10,
J220409,Gd II,,<,-0.92,,<,-1.99,,<,+0.70,
J220409,Dy II,,<,-0.59,,<,-1.69,,<,+1.00,
J220409,Er II,,<,-1.27,,<,-1.19,,<,+0.50,
J220423,C-H,,,5.22,0.20,,-3.21,0.47,,-0.72,0.32
J220423,C-N,,<,+7.34,,<,-0.49,,<,+2.00,
J220423,Na I,2,,3.85,0.20,,-2.39,0.30,,0.10,0.28
J220423,Mg I,5,,5.55,0.21,,-2.05,0.30,,0.44,0.29
J220423,Al I,2,,3.15,0.20,,-3.30,0.46,,-0.81,0.26
J220423,Si I,1,,5.22,0.20,,-2.29,0.43,,0.20,0.38
J220423,K I,2,,2.96,0.20,,-2.07,0.30,,0.42,0.28
J220423,Ca I,13,,3.96,0.24,,-2.38,0.30,,0.11,0.32
J220423,Sc II,5,,0.44,0.16,,-2.71,0.27,,-0.22,0.28
J220423,Ti I,8,,2.48,0.20,,-2.47,0.36,,0.02,0.27
J220423,Ti II,19,,2.58,0.22,,-2.37,0.26,,0.12,0.32
J220423,V II,1,,1.50,0.20,,-2.43,0.26,,0.06,0.31
J220423,Cr I,7,,2.62,0.22,,-3.02,0.34,,-0.53,0.29
J220423,Mn I,7,,2.43,0.17,,-3.00,0.50,,-0.51,0.31
J220423,Fe I,116,,5.01,0.18,,-2.49,0.34,,,
J220423,Fe II,14,,5.01,0.16,,-2.49,0.20,,,
J220423,Co I,2,,2.31,0.20,,-2.68,0.39,,-0.19,0.28
J220423,Ni I,7,,3.70,0.26,,-2.52,0.32,,-0.03,0.34
J220423,Cu I,,<,+1.40,,<,-2.79,,<,-0.30,
J220423,Zn I,2,,2.07,0.20,,-2.49,0.29,,0.00,0.30
J220423,Sr II,2,,-0.75,0.20,,-3.62,0.29,,-1.13,0.32
J220423,Y II,1,,-1.18,0.20,,-3.39,0.23,,-0.90,0.33
J220423,Zr II,1,,-0.41,0.20,,-2.99,0.30,,-0.50,0.29
J220423,Ba II,3,,-0.80,0.06,,-2.98,0.33,,-0.49,0.19
J220423,La II,2,,-1.21,0.20,,-2.31,0.53,,0.18,0.33
J220423,Ce II,,<,-0.61,,<,-2.19,,<,+0.30,
J220423,Pr II,3,,-1.48,0.03,,-2.20,0.26,,0.29,0.20
J220423,Nd II,4,,-0.99,0.07,,-2.41,0.24,,0.08,0.23
J220423,Sm II,,<,-1.03,,<,-1.99,,<,+0.50,
J220423,Eu II,3,,-1.66,0.10,,-2.18,0.21,,0.31,0.25
J220423,Gd II,,<,-0.62,,<,-1.69,,<,+0.80,
J220423,Dy II,,<,-0.69,,<,-1.79,,<,+0.70,
J220423,Er II,,<,-1.07,,<,-1.99,,<,+0.50,
J220352,C-H,,,6.01,0.20,,-2.44,0.47,,0.52,0.30
J220352,C-N,,<,+6.89,,<,-0.94,,<,+2.00,
J220352,Na I,2,,2.85,0.32,,-3.39,0.39,,-0.45,0.36
J220352,Mg I,2,,5.38,0.20,,-2.22,0.29,,0.72,0.26
J220352,Al I,,,,,,,,,,
J220352,Si I,2,,4.62,0.20,,-2.89,0.43,,0.05,0.26
J220352,K I,1,,2.34,0.20,,-2.69,0.30,,0.25,0.26
J220352,Ca I,5,,3.55,0.27,,-2.79,0.33,,0.15,0.33
J220352,Sc II,2,,0.27,0.20,,-2.88,0.30,,0.06,0.28
J220352,Ti I,,,,,,,,,,
J220352,Ti II,7,,1.79,0.29,,-3.16,0.32,,-0.22,0.36
J220352,V II,,<,+1.73,,<,-2.44,,<,+0.50,
