
Name,Teff_photo,e_Teff_photo,Teff_spec,e_Teff_spec,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,Fe/H,e_Fe/H
J220423,4556,97,4585,150,4585,150,1.22,0.3,2.25,0.3,-2.49,0.18
J220409,4740,73,4720,150,4720,150,1.55,0.3,2.35,0.3,-2.69,0.17
J220352,5121,81,4920,150,4920,150,1.91,0.3,2.25,0.3,-2.94,0.15
