Species,lambda,chi,loggf,BM-235,HE0033-2141,HE0050-0918,HE1210-2729,HE2234-4757,BM-028,BM-209,BM-308,HE0012-5643,HE0017-3646,HE0048-1109,HE0324-0122,BM-056,BM-121,HE0007-1752,HE0039-0216,HE0429-4620,HE1401-0010,HE2138-0314,HE2315-4306,HE2319-5228,HE2322-6125
Ca I,6499.65,2.52,0.00,56.5,,47.8,16.2,7.0,11.4,,19.6,,,,,27.6,,13.8,,10.3,,,,,
Ca I,6449.81,2.52,0.00,82.1,,72.2,12.9,10.0,28.6,28.5,33.9,,16.6,5.4,,47.5,,14.7,,,8.7,,27.5,16.5,24.6
Ca I,6439.08,2.52,0.47,137.6,42.2,125.8,47.8,45.1,85.5,61.7,87.0,15.7,52.1,36.5,,100.3,,50.9,,,25.7,23.2,61.5,52.2,57.8
Ca I,4435.68,1.89,0.00,,26.3,,30.9,,55.2,,83.1,,29.4,22.5,,82.9,,,14.3,,,9.3,45.1,39.5,40.3
Ca I,5590.11,2.52,0.00,64.8,5.3,61.2,17.4,,16.1,19.1,27.3,,10.8,,,38.0,20.5,12.1,,,,,21.1,11.8,
Ca I,4425.44,1.88,0.00,109.5,34.1,106.3,39.5,42.5,59.0,,74.5,5.0,36.3,21.3,57.1,84.9,,43.0,21.6,51.1,13.4,19.4,52.2,58.9,45.9
Ca I,4434.96,1.89,0.00,,58.8,,67.7,,97.1,,,11.7,62.2,36.7,,122.5,,61.3,,69.9,29.5,39.1,,68.3,70.0
Sc II,4325.00,0.60,0.00,,66.6,,,,104.9,,,,65.2,14.9,,,,,,,,,70.9,,
Sc II,5239.81,1.45,0.00,,,62.2,,19.2,17.9,6.9,26.9,,,,,,35.5,,,,,,,,
Sc II,4314.08,0.62,0.00,,72.3,,,107.6,,,,10.5,83.1,34.4,,,,,20.9,,,,,,
Ti I,4544.69,0.82,0.00,85.5,,61.1,,,,,27.9,,,,,41.1,34.5,,,,,,,,
Ti I,4656.47,0.00,0.00,86.7,11.3,53.7,18.2,20.4,5.9,,34.0,,3.7,,14.8,49.2,57.9,,,,,,11.6,,
Ti I,4535.57,0.82,0.14,122.8,30.0,96.9,33.3,34.6,32.3,,58.9,,14.1,9.5,,75.4,79.8,10.4,7.2,,,9.9,31.2,,28.9
Ti I,5035.90,1.46,0.22,85.8,,65.1,,,16.0,22.3,26.1,,,,,45.2,,,,,,,,,
Ti I,4534.78,0.84,0.35,,31.4,84.2,36.2,32.1,35.4,,60.5,,24.6,12.6,,72.1,75.1,16.8,,36.6,6.3,11.3,36.4,20.8,28.1
Ti I,5024.84,0.82,0.00,73.0,,43.6,18.9,,,,23.9,,,,,35.6,,,,,,,,,
Ti I,5192.97,0.02,0.00,119.0,10.8,86.0,29.9,33.5,9.8,28.7,57.0,,9.5,,27.1,73.3,86.8,,,17.3,,11.3,,11.4,30.6
Ti I,4512.73,0.84,0.00,71.8,6.2,44.8,12.6,11.2,,13.8,25.2,,,,,37.0,38.2,5.4,,,,,,,9.4
Ti I,4840.87,0.90,0.00,70.2,,43.0,12.2,5.3,,,17.4,,,,,32.5,,,,,,,,,
Ti I,4533.24,0.85,0.54,112.0,30.0,93.5,45.3,44.1,46.3,47.3,70.1,,36.7,15.7,44.3,82.8,84.0,23.3,,,13.0,24.4,51.4,25.7,35.3
Ti I,6258.10,1.44,0.00,44.8,,22.6,,,,4.3,14.3,,,,,15.4,,,,,,,,,
Ti I,4999.50,0.82,0.32,119.4,25.9,96.1,40.4,52.8,40.1,42.5,70.4,,25.0,,,75.4,83.1,,,,,,,,
Ti I,4991.07,0.84,0.45,128.7,29.2,,58.1,63.0,54.9,,66.9,,44.8,15.6,49.0,,,,,,,,,,57.3
Ti I,4518.02,0.82,0.00,80.7,11.1,58.8,21.7,,18.9,29.9,,5.8,,13.3,47.7,,,,13.6,,2.6,13.9,,,
Ti I,5020.03,0.84,0.00,83.7,,57.3,16.6,,,15.9,30.0,,,,,49.8,,,,,,,,8.3,
Ti I,5036.46,1.44,0.14,71.0,,51.1,12.4,,,22.3,22.3,,,,,31.4,,,,,,,,,
Ti I,5210.38,0.05,0.00,114.2,19.3,79.0,40.9,34.3,16.5,33.0,56.4,,20.8,5.7,,73.5,89.0,7.7,,,,,,19.8,
Ti I,5009.65,0.02,0.00,34.7,,,,,,,,,,,,9.0,,,,,,,,,
Ti I,5016.16,0.85,0.00,73.2,,,,,,,24.0,,,,,36.3,,,,,,,,,
Ti I,5038.40,1.43,0.02,,,52.6,,,,,21.5,,,,,25.6,,,,,,,,,
Ti I,5039.96,0.02,0.00,94.5,,61.3,,16.8,,,40.6,,,,28.8,57.1,,,,,,,,,
Ti I,5173.74,0.00,0.00,111.4,,72.3,,,13.5,,48.9,,,,,65.7,77.5,,,,,,26.4,,
Ti I,5064.65,0.05,0.00,105.2,11.6,71.0,32.8,,,21.3,53.7,,,,,65.7,85.4,,,,,,,,
Ti I,5014.28,0.81,0.04,,,,,,28.6,,,,,,,,,,,,,,,,
Ti I,4548.76,0.82,0.00,75.8,,53.1,14.6,16.4,,,30.2,,,,12.2,43.7,39.9,,3.9,,,,14.9,,
Ti I,3989.76,0.02,0.00,,50.8,,71.1,,57.7,,100.7,,47.6,18.7,66.2,116.4,,35.7,,,,14.8,65.6,43.0,62.8
Ti I,4555.48,0.85,0.00,75.4,,44.8,,,,,23.2,,,,8.8,34.3,36.1,,,,,,,,
Ti I,4681.91,0.05,0.00,103.0,13.6,68.1,21.1,24.7,7.5,24.1,43.1,,11.7,,20.0,58.6,64.6,7.5,3.8,,,,,,13.0
Ti I,3998.64,0.05,0.02,133.8,45.0,107.0,69.6,63.1,52.9,,82.0,,49.1,21.3,60.9,94.8,112.4,33.9,,62.7,,26.5,59.6,38.3,56.8
Ti I,3904.78,0.90,0.15,90.4,,,20.4,22.1,18.5,,47.5,,,,27.9,,,,,,,11.9,26.3,,
Ti I,4008.93,0.02,0.00,106.5,12.2,,,,11.9,,40.1,,,,,56.6,66.0,9.3,,,,,,,
Ti I,5007.21,0.82,0.17,137.4,,122.1,49.9,61.1,44.4,45.9,74.9,,,10.3,,96.5,92.7,,,,,,,,
Ti I,4981.73,0.85,0.57,,41.0,105.3,57.1,51.2,46.9,46.4,82.1,,38.7,15.0,,85.3,,,,,,16.6,47.2,,42.8
Ti II,4053.82,1.89,0.00,88.9,11.2,84.4,44.3,35.9,,36.2,,,,7.3,32.2,67.6,,,,23.1,,,,,
Ti II,5268.61,2.60,0.00,32.1,,32.8,,,,,,,,,,,12.3,,,,,,,,
Ti II,4028.34,1.89,0.00,113.9,,114.6,,50.9,,,,,48.2,17.8,,87.7,,22.1,,,,,38.7,46.4,37.2
Ti II,5188.68,1.58,0.00,,46.3,,85.3,76.3,128.3,,,,70.0,,,,,,,,,,,,60.6
Ti II,5185.90,1.89,0.00,89.6,31.6,94.3,37.4,26.5,,,48.6,,32.5,,,58.7,67.3,,,,,2.6,31.3,20.3,
Ti II,5129.16,1.89,0.00,92.8,11.8,104.2,38.1,40.1,,28.9,59.3,,26.5,,31.9,71.1,81.0,,,,,,,,25.6
Ti II,5226.54,1.56,0.00,,37.4,132.3,77.0,,,49.5,87.4,,,,,95.2,118.8,,,,,17.7,,,
Ti II,4012.38,0.57,0.00,,61.7,,104.8,,,,113.2,11.7,90.1,35.3,,,,,,66.9,21.8,41.5,79.0,72.8,78.6
Ti II,3913.46,1.12,0.00,,104.5,,,,,,136.7,36.6,,74.0,,,,78.5,57.8,,59.9,,,97.5,97.5
Ti II,4025.13,0.61,0.00,115.7,,,,,106.6,,91.0,,59.6,17.5,57.1,94.5,,27.8,,,,,55.8,65.4,56.9
Ti II,3383.76,0.00,0.15,,,,,,,,,,,,,,,167.5,,,,,,,
Ti II,4161.53,1.08,0.00,101.9,25.0,,50.4,48.9,,,63.9,,,6.6,,75.9,83.4,10.0,,,,8.0,29.9,,
Ti II,4418.33,1.24,0.00,94.3,22.4,94.1,54.6,43.1,,,62.9,,,8.5,,73.8,84.7,10.7,,30.3,,8.8,,37.4,22.5
Ti II,4589.96,1.24,0.00,115.0,,109.0,73.4,61.7,91.0,48.2,83.0,,54.3,18.5,46.9,88.8,104.5,20.7,8.2,38.6,,24.4,52.1,35.7,38.9
Ti II,4583.41,1.16,0.00,61.3,,54.9,15.4,25.5,,11.6,24.9,,,,,33.9,,,,,,,11.2,3.4,
Ti II,4441.73,1.18,0.00,98.5,11.0,84.2,37.7,31.6,37.0,,50.1,,17.3,,22.4,65.1,76.2,5.6,,14.4,,8.1,19.7,14.3,22.0
Ti II,4571.97,1.57,0.00,,74.9,165.6,113.9,104.3,181.5,86.1,118.7,23.3,107.8,59.8,89.5,131.7,154.3,61.6,45.1,78.4,38.4,57.3,,91.7,80.3
Ti II,4443.80,1.08,0.00,162.3,87.1,165.4,119.8,112.7,,,121.6,23.1,116.0,62.9,95.3,134.8,158.2,68.8,50.8,91.6,49.0,67.2,96.4,,90.7
Ti II,4444.55,1.12,0.00,102.9,17.6,104.3,46.1,41.0,,,58.6,,25.6,5.7,,71.1,84.4,11.9,,,,,22.0,23.7,22.2
Ti II,4563.76,1.22,0.00,,78.0,152.9,109.8,103.7,166.6,,115.5,17.6,105.1,53.8,86.1,124.2,149.8,57.3,36.1,78.2,38.5,54.6,84.4,75.9,77.9
Ti II,4450.48,1.08,0.00,,51.3,,88.1,76.8,116.0,,98.7,,65.9,23.0,64.7,104.8,123.0,32.9,16.8,52.9,11.8,25.3,64.8,53.3,59.9
Ti II,4545.13,1.13,0.00,81.7,,77.1,29.1,22.2,,,44.0,,,,,53.6,64.1,,,,,,,,9.4
Ti II,4464.45,1.16,0.00,104.5,30.2,107.2,69.4,58.8,81.6,,80.1,,42.5,11.2,,,,16.1,5.6,33.4,,16.1,,36.6,36.4
Ti II,4533.97,1.24,0.00,,89.1,,123.9,121.8,,95.0,132.5,23.4,,64.2,94.7,,,68.7,47.7,90.7,48.2,68.0,97.5,,95.1
Ti II,4468.49,1.13,0.00,,89.5,173.1,121.1,121.2,,,128.3,27.9,119.7,67.2,,140.1,,72.2,53.4,88.5,46.6,67.3,,98.3,92.4
Ti II,4470.86,1.16,0.00,95.8,24.9,96.0,45.3,41.1,,27.6,60.4,,,4.9,,72.3,,10.8,,21.5,,7.7,24.4,,30.2
Ti II,4529.48,1.57,0.00,,20.7,,38.7,36.8,,,63.5,,27.9,8.1,,75.1,84.3,12.2,,23.2,,,28.6,20.3,21.8
Ti II,4501.27,1.12,0.00,167.4,84.5,162.6,116.5,111.5,176.5,,120.5,20.9,117.7,61.5,94.7,132.0,157.5,66.1,,92.5,45.6,61.8,97.2,90.8,89.5
Ti II,4488.32,3.12,0.00,51.0,,69.3,,,,13.9,19.5,,,,,27.2,,,,,,,11.8,,
Ti II,4417.72,1.16,0.00,139.0,62.5,137.6,95.1,88.2,,,102.1,,86.1,33.0,,112.9,,43.3,21.3,66.9,14.5,42.7,,,72.5
Ti II,4409.52,1.23,0.00,76.5,6.7,,23.7,,,,28.5,,,,,41.5,,,,,,,12.7,,
Ti II,4399.77,1.24,0.00,,56.4,136.3,88.2,90.6,130.8,,108.0,,75.4,29.2,69.6,117.5,,38.7,,67.9,12.5,40.5,79.3,,69.5
Ti II,4398.29,1.21,0.00,,,56.5,12.7,,,,,,,,,,,,,,,,,,
Ti II,4163.64,2.59,0.00,100.3,34.7,113.3,52.4,40.3,111.8,,65.1,,56.0,,,74.6,73.7,19.5,21.5,,6.5,10.7,36.5,,45.8
Ti II,4184.31,1.08,0.00,106.4,,,33.6,35.1,,,51.4,,,,32.9,68.6,70.0,19.3,,,,,16.8,,
Ti II,4911.19,3.12,0.00,50.2,,57.2,,,,,18.4,,6.2,,,25.3,,,,,,,,,
Ti II,4865.61,1.12,0.00,68.7,,,19.7,20.3,,,,,,,9.6,43.6,43.7,,,,,,,,
Ti II,4805.08,2.06,0.00,100.7,24.8,99.5,42.4,34.8,77.5,,63.3,,39.8,11.9,32.0,71.7,73.3,14.4,,,,15.7,35.8,,30.2
Ti II,5336.79,1.58,0.00,103.2,22.0,99.7,58.6,42.8,,34.0,63.5,,30.5,12.4,31.8,77.5,87.3,9.1,8.6,,,13.8,24.2,27.3,32.5
Ti II,4798.53,1.08,0.00,85.0,9.0,79.9,29.6,24.8,,,38.5,,11.3,,13.5,52.1,57.7,,,16.5,,,14.7,,13.0
Ti II,4779.98,2.05,0.00,82.4,12.3,84.1,30.0,25.3,,21.4,43.3,,,6.6,21.4,57.0,,5.6,,,,,19.7,,16.5
Ti II,5005.17,1.56,0.00,33.9,,31.9,8.6,,,,11.3,,,,,16.7,21.1,,,,,,,,
Ti II,4708.66,1.24,0.00,80.9,11.5,75.4,28.7,20.5,,18.0,44.1,,21.4,,18.2,55.2,,6.0,,,,6.6,,,13.3
Ti II,4300.04,1.18,0.00,,86.7,,133.4,,186.2,,,33.0,116.3,65.3,,,,81.3,52.6,,52.7,,,,115.8
Ti II,4330.70,1.18,0.00,106.7,17.6,106.0,49.8,46.0,,,60.5,,37.9,,24.3,72.6,86.0,,,,,,33.3,,23.1
Ti II,4337.92,1.08,0.00,,,,107.2,107.7,,,118.4,,,,,131.4,,,,,,,,,
Ti II,4657.20,1.24,0.00,86.4,16.1,90.4,41.8,34.0,,,47.0,,,3.4,16.5,57.8,,3.2,,,4.2,,,12.7,10.9
Ti II,4636.32,1.16,0.00,40.1,,,9.3,6.2,,7.1,,,,,,,,,,,,,,6.4,
Ti II,4394.06,1.22,0.00,122.4,33.8,111.7,60.3,57.8,,,76.7,,44.4,10.8,45.9,87.9,97.3,17.0,,44.1,10.7,,52.9,,
Ti II,4395.03,1.08,0.00,,92.1,,132.9,134.8,,,147.4,33.6,128.3,73.1,105.4,,,73.1,,109.4,57.3,72.9,109.2,,100.4
Ti II,4395.84,1.24,0.00,102.1,18.6,92.7,46.0,42.8,,,57.7,,33.8,6.8,31.3,69.9,,8.0,,,4.8,,24.8,,24.9
Ti II,4290.22,1.16,0.00,,79.8,,106.3,110.6,,,,17.8,104.1,49.2,94.1,,,54.4,38.0,82.0,31.8,49.8,90.3,,84.6
Ti II,3882.29,1.12,0.00,,,,70.7,65.2,,,,,,,,,,,,,,,,,
Ti II,4493.52,1.08,0.00,66.7,8.4,57.7,17.0,12.4,,5.2,23.5,,,,,36.7,46.7,,,15.5,,,,,
Ti II,3759.29,0.61,0.28,,133.3,,204.0,196.0,,,221.6,77.4,,118.9,149.5,,,114.4,,164.1,100.1,115.2,162.1,157.5,
Ti II,3387.83,0.03,0.00,,,,,,,,,,,96.9,,,,102.1,,,,,,,
Ti II,3489.74,0.14,0.00,,,,,,,,,,,,,,,79.4,,,,,,,
Ti II,3394.57,0.01,0.00,,,,,,,,,,,,,,,93.6,,,,,138.2,,
Ti II,3491.05,0.11,0.00,,,189.8,,,,,136.7,,,72.1,,,,86.5,,,,,116.0,,
Ti II,5381.02,1.56,0.00,87.2,15.7,78.6,31.0,28.4,,16.0,46.0,,18.3,,19.3,58.5,69.2,11.9,,,,,23.1,,
Ti II,3761.32,0.57,0.18,,135.3,278.7,197.6,186.5,,,204.5,67.2,,,155.8,,,119.1,104.8,150.8,100.3,116.9,155.4,138.1,
Ti II,5418.77,1.58,0.00,74.0,,69.1,26.6,14.5,,13.5,41.1,,,,8.4,48.3,57.2,,,,,,,11.4,
Ti II,3813.39,0.61,0.00,,54.1,,94.5,95.4,,,,,,27.1,,,,36.2,14.0,47.0,,,72.1,,
V II,4023.38,1.80,0.00,,,,,24.2,40.2,,,,21.6,9.6,,,,,,,,5.5,,,
V II,4035.62,1.79,0.00,,,,,,53.4,,,,26.9,,,,,,,,,,,,
Cr I,3578.70,0.00,0.42,,,,,,,,,38.5,,,,,,91.0,49.5,,,,112.9,,
Cr I,4789.34,2.54,0.00,48.6,,,,,,,,,,,,,,,,,,,,,
Cr I,4652.16,1.00,0.00,88.1,,68.8,24.3,23.4,18.3,20.3,48.8,,,5.6,,54.9,60.9,18.9,,12.0,,,24.0,8.6,15.6
Cr I,4651.29,0.98,0.00,68.1,5.3,50.1,9.2,10.2,7.2,,27.6,,,,,35.6,37.3,10.6,,,,,9.4,,
Cr I,4337.56,0.97,0.00,112.8,,,,,,,,,,,,,,,,,,,,,
Cr I,4646.16,1.03,0.00,104.2,21.6,84.2,28.7,31.9,,32.7,58.7,,15.1,8.1,32.1,68.5,,25.7,,,,7.9,32.4,9.6,23.0
Cr I,4254.35,0.00,0.00,191.7,82.3,155.8,110.7,118.6,148.9,100.5,131.4,35.6,103.2,57.9,,141.9,,91.0,41.6,,44.7,,,91.2,91.9
Cr I,4616.12,0.98,0.00,82.6,8.7,60.7,15.8,18.9,14.1,,40.1,,6.5,,14.0,51.1,51.6,14.4,,,,,21.5,,10.0
Cr I,5208.41,0.94,0.17,,,,105.5,121.1,134.9,,,16.5,83.5,43.0,,,,,,,,,,65.7,
Cr I,4274.81,0.00,0.00,212.7,80.3,151.5,106.3,,142.6,,140.3,28.9,101.3,54.9,,,,92.9,37.4,102.9,38.8,67.3,103.2,,96.0
Cr I,4626.17,0.97,0.00,75.6,7.2,52.9,17.9,13.2,11.5,,36.3,,7.7,,13.1,43.6,47.2,11.0,,,,,18.1,,13.6
Cr I,5409.78,1.03,0.00,124.1,28.5,93.8,38.7,37.7,30.5,38.6,68.1,,25.0,,39.3,80.8,92.8,32.2,,,,17.4,34.6,,38.1
Cr I,4600.75,1.00,0.00,78.4,,57.3,15.4,17.1,11.8,,36.5,,,,19.7,43.2,40.3,11.9,,,,,17.9,,6.6
Cr I,5247.56,0.96,0.00,75.2,,47.2,,,,9.8,28.0,,,,,34.4,40.6,,,,,,,,
Cr I,4289.73,0.00,0.00,,,,99.3,110.1,,,127.0,21.6,87.4,,,,163.7,83.5,35.0,92.5,29.8,62.4,101.4,,90.4
Cr I,5206.02,0.94,0.02,166.3,56.0,134.6,81.8,92.1,102.0,73.0,109.3,8.9,68.0,29.6,76.8,113.3,137.1,,,,,34.3,75.1,43.8,64.5
Cr I,5345.80,1.00,0.00,109.1,,76.4,19.7,32.4,24.7,25.5,54.9,,,,28.0,66.8,76.7,,,,,,,,
Cr I,4580.05,0.94,0.00,77.3,,58.5,12.8,14.9,,,31.1,,,,11.5,40.8,,8.1,,,,,,,
Cr I,5348.31,1.00,0.00,90.3,,59.6,11.8,17.3,17.1,14.2,38.8,,8.1,,19.0,47.4,58.0,,,,,,17.1,,
Cr I,5300.74,0.98,0.00,41.9,,17.6,,,,,10.7,,,,,11.6,15.5,,,,,,,,
Cr I,3908.76,1.00,0.00,,,,,,,,,,,,,,,15.4,,,,,,,
Cr I,4545.95,0.94,0.00,75.7,,55.9,,10.9,11.4,,34.8,,,,,42.2,41.5,12.2,,,,,11.0,,13.6
Cr I,5298.27,0.98,0.00,116.0,,86.3,21.0,22.8,17.9,18.6,54.1,,10.6,,,61.0,70.7,17.3,,,,,16.0,,
Cr I,5296.69,0.98,0.00,86.7,,53.7,8.1,16.4,,14.8,36.3,,,,,44.7,54.6,10.0,,,,,,,
Cr II,4558.65,4.07,0.00,70.6,11.3,87.8,22.9,24.8,70.1,,39.7,,28.8,10.1,29.7,45.5,43.8,18.0,,,,,27.2,,
Cr II,4588.20,4.07,0.00,53.6,17.5,70.6,18.5,18.7,54.5,13.7,32.2,,,5.2,,34.3,,11.7,,,,,18.9,,
Cr II,4592.05,4.07,0.00,28.2,,38.5,,,22.7,,18.3,,,,,11.5,9.0,,,,,,,,
Cr II,3408.77,2.48,0.00,,,,,,,,,,,,,,,91.3,,,,,,,
Mn I,3823.51,2.14,0.06,71.3,,,,,,,,,,,,,,,,,,,,,
Fe I,4707.27,3.24,0.00,95.3,12.3,78.9,15.7,25.4,30.5,25.7,55.4,,,6.2,25.7,56.1,,23.4,,,,5.5,,,30.7
Fe I,6082.71,2.22,0.00,26.6,,10.9,,,,,5.7,,,,,7.3,,,,,,,,,
Fe I,6136.62,2.45,0.00,128.6,29.2,98.5,46.0,60.9,46.5,52.4,,,35.0,13.0,54.0,95.6,,48.9,,,,,57.2,22.0,
Fe I,6136.99,2.20,0.00,,,,,9.8,,,,,,,,,,,,,,,,,
Fe I,6065.48,2.61,0.00,114.2,20.9,87.2,28.6,39.5,26.5,41.6,67.2,,21.5,4.5,38.0,77.9,83.9,34.2,,,,10.7,,,22.2
Fe I,4889.00,2.20,0.00,,,,12.1,,,,,,,,,,,,,7.4,,,,,
Fe I,4691.41,2.99,0.00,,11.2,75.5,14.4,18.5,15.8,23.2,44.6,,14.7,2.9,21.3,55.8,,16.9,,,,,,,
